0 0.9000  -454.9121 -1194371.8300 1246.8489
1 0.9178  -454.9703 -1194524.5993 1094.0796
2 0.9356  -455.0224 -1194661.3961 957.2828
3 0.9534  -455.0690 -1194783.7318 834.9471
4 0.9712  -455.1106 -1194892.9806 725.6983
5 0.9890  -455.1477 -1194990.3896 628.2893
6 1.0068  -455.1808 -1195077.0864 541.5926
7 1.0246  -455.2101 -1195154.0878 464.5912
8 1.0424  -455.2361 -1195222.3111 396.3678
9 1.0602  -455.2590 -1195282.5863 336.0926
10 1.0780  -455.2792 -1195335.6665 283.0125
11 1.0958  -455.2970 -1195382.2377 236.4412
12 1.1136  -455.3125 -1195422.9267 195.7522
13 1.1314  -455.3260 -1195458.3058 160.3731
14 1.1492  -455.3376 -1195488.8964 129.7825
15 1.1670  -455.3476 -1195515.1723 103.5066
16 1.1848  -455.3561 -1195537.5627 81.1163
17 1.2026  -455.3633 -1195556.4568 62.2221
18 1.2204  -455.3693 -1195572.2085 46.4704
19 1.2382  -455.3743 -1195585.1406 33.5383
20 1.2560  -455.3782 -1195595.5486 23.1303
21 1.2737  -455.3813 -1195603.7034 14.9755
22 1.2915  -455.3837 -1195609.8538 8.8252
23 1.3093  -455.3853 -1195614.2274 4.4515
24 1.3271  -455.3864 -1195617.0327 1.6462
25 1.3449  -455.3870 -1195618.4592 0.2198
26 1.3627  -455.3870 -1195618.6789 0.0000
27 1.3805  -455.3867 -1195617.8483 0.8306
28 1.3983  -455.3861 -1195616.1091 2.5698
29 1.4161  -455.3851 -1195613.5906 5.0883
30 1.4339  -455.3839 -1195610.4107 8.2683
31 1.4517  -455.3825 -1195606.6766 12.0023
32 1.4695  -455.3809 -1195602.4863 16.1926
33 1.4873  -455.3791 -1195597.9286 20.7503
34 1.5051  -455.3773 -1195593.0842 25.5948
35 1.5229  -455.3754 -1195588.0254 30.6535
36 1.5407  -455.3734 -1195582.8170 35.8619
37 1.5585  -455.3714 -1195577.5161 41.1628
38 1.5763  -455.3693 -1195572.1731 46.5059
39 1.5941  -455.3673 -1195566.8317 51.8472
40 1.6119  -455.3653 -1195561.5301 57.1488
41 1.6297  -455.3633 -1195556.3006 62.3783
42 1.6475  -455.3613 -1195551.1711 67.5078
43 1.6653  -455.3594 -1195546.1645 72.5144
44 1.6831  -455.3576 -1195541.3000 77.3789
45 1.7009  -455.3558 -1195536.5929 82.0860
46 1.7187  -455.3540 -1195532.0552 86.6238
47 1.7365  -455.3524 -1195527.6955 90.9834
48 1.7543  -455.3508 -1195523.5197 95.1592
49 1.7721  -455.3493 -1195519.5309 99.1480
50 1.7899  -455.3478 -1195515.7298 102.9491
51 1.8077  -455.3465 -1195512.1152 106.5637
52 1.8255  -455.3451 -1195508.6840 109.9949
53 1.8433  -455.3439 -1195505.4318 113.2472
54 1.8611  -455.3427 -1195502.3529 116.3260
55 1.8789  -455.3416 -1195499.4412 119.2378
56 1.8967  -455.3406 -1195496.6896 121.9894
57 1.9145  -455.3396 -1195494.0910 124.5880
58 1.9323  -455.3387 -1195491.6381 127.0409
59 1.9501  -455.3378 -1195489.3235 129.3554
60 1.9679  -455.3369 -1195487.1399 131.5390
61 1.9857  -455.3362 -1195485.0800 133.5989
62 2.0034  -455.3354 -1195483.1365 135.5424
63 2.0212  -455.3347 -1195481.3023 137.3766
64 2.0390  -455.3341 -1195479.5704 139.1085
65 2.0568  -455.3334 -1195477.9339 140.7450
66 2.0746  -455.3328 -1195476.3861 142.2928
67 2.0924  -455.3323 -1195474.9206 143.7583
68 2.1102  -455.3318 -1195473.5311 145.1479
69 2.1280  -455.3313 -1195472.2117 146.4672
70 2.1458  -455.3308 -1195470.9572 147.7218
71 2.1636  -455.3303 -1195469.7623 148.9166
72 2.1814  -455.3299 -1195468.6226 150.0563
73 2.1992  -455.3295 -1195467.5339 151.1451
74 2.2170  -455.3291 -1195466.4922 152.1868
75 2.2348  -455.3287 -1195465.4940 153.1850
76 2.2526  -455.3283 -1195464.5361 154.1428
77 2.2704  -455.3280 -1195463.6155 155.0634
78 2.2882  -455.3276 -1195462.7294 155.9496
79 2.3060  -455.3273 -1195461.8751 156.8038
80 2.3238  -455.3270 -1195461.0502 157.6287
81 2.3416  -455.3267 -1195460.2525 158.4265
82 2.3594  -455.3264 -1195459.4796 159.1993
83 2.3772  -455.3261 -1195458.7298 159.9491
84 2.3950  -455.3258 -1195458.0013 160.6776
85 2.4128  -455.3256 -1195457.2925 161.3865
86 2.4306  -455.3253 -1195456.6020 162.0770
87 2.4484  -455.3251 -1195455.9287 162.7502
88 2.4662  -455.3248 -1195455.2717 163.4072
89 2.4840  -455.3246 -1195454.6302 164.0487
90 2.5018  -455.3243 -1195454.0035 164.6755
91 2.5196  -455.3241 -1195453.3909 165.2880
92 2.5374  -455.3239 -1195452.7920 165.8869
93 2.5552  -455.3236 -1195452.2063 166.4727
94 2.5730  -455.3234 -1195451.6333 167.0456
95 2.5908  -455.3232 -1195451.0728 167.6061
96 2.6086  -455.3230 -1195450.5244 168.1545
97 2.6264  -455.3228 -1195449.9881 168.6908
98 2.6442  -455.3226 -1195449.4638 169.2152
99 2.6620  -455.3224 -1195448.9518 169.7271
100 2.6798  -455.3223 -1195448.7803 169.8987
101 2.6976  -455.3222 -1195448.3094 170.3695
102 2.7154  -455.3220 -1195447.8464 170.8325
103 2.7331  -455.3218 -1195447.3917 171.2872
104 2.7509  -455.3216 -1195446.9456 171.7334
