0 0.9000  -879.5587 -2309281.2625 1212.4419
1 0.9200  -879.6230 -2309450.2702 1043.4342
2 0.9401  -879.6798 -2309599.3147 894.3897
3 0.9601  -879.7298 -2309730.5024 763.2020
4 0.9801  -879.7737 -2309845.7409 647.9634
5 1.0001  -879.8121 -2309946.7228 546.9815
6 1.0202  -879.8457 -2310034.9781 458.7263
7 1.0402  -879.8750 -2310111.8510 381.8534
8 1.0602  -879.9004 -2310178.5586 315.1458
9 1.0802  -879.9224 -2310236.1705 257.5338
10 1.1003  -879.9412 -2310285.6704 208.0340
11 1.1203  -879.9573 -2310327.9259 165.7784
12 1.1403  -879.9710 -2310363.7426 129.9618
13 1.1603  -879.9824 -2310393.8232 99.8812
14 1.1804  -879.9919 -2310418.8206 74.8837
15 1.2004  -879.9997 -2310439.2943 54.4100
16 1.2204  -880.0060 -2310455.7722 37.9321
17 1.2404  -880.0109 -2310468.7030 25.0014
18 1.2605  -880.0147 -2310478.5224 15.1820
19 1.2805  -880.0174 -2310485.5950 8.1094
20 1.3005  -880.0192 -2310490.2851 3.4192
21 1.3205  -880.0201 -2310492.8871 0.8173
22 1.3406  -880.0205 -2310493.7044 0.0000
23 1.3606  -880.0202 -2310492.9689 0.7355
24 1.3806  -880.0194 -2310490.9350 2.7694
25 1.4006  -880.0182 -2310487.7787 5.9256
26 1.4207  -880.0167 -2310483.7306 9.9738
27 1.4407  -880.0148 -2310478.9006 14.8037
28 1.4607  -880.0129 -2310473.8209 19.8835
29 1.4807  -880.0135 -2310475.3759 18.3284
30 1.5008  -880.0112 -2310469.4917 24.2127
31 1.5208  -880.0089 -2310463.3662 30.3382
32 1.5408  -880.0065 -2310457.0949 36.6095
33 1.5608  -880.0041 -2310450.7660 42.9383
34 1.5809  -880.0017 -2310444.4484 49.2560
35 1.6009  -879.9993 -2310438.2169 55.4875
36 1.6209  -879.9970 -2310432.1105 61.5939
37 1.6409  -879.9947 -2310426.1895 67.5148
38 1.6610  -879.9926 -2310420.4800 73.2244
39 1.6810  -879.9905 -2310415.0101 78.6943
40 1.7010  -879.9885 -2310409.8302 83.8742
41 1.7210  -879.9866 -2310404.9224 88.7819
42 1.7411  -879.9849 -2310400.3123 93.3921
43 1.7611  -879.9832 -2310396.0010 97.7033
44 1.7811  -879.9817 -2310391.9997 101.7047
45 1.8011  -879.9803 -2310388.2929 105.4114
46 1.8212  -879.9790 -2310384.8894 108.8150
47 1.8412  -879.9778 -2310381.7622 111.9422
48 1.8612  -879.9767 -2310378.9033 114.8011
49 1.8812  -879.9757 -2310376.3020 117.4023
50 1.9013  -879.9761 -2310377.2047 116.4997
51 1.9213  -879.9753 -2310375.1819 118.5224
52 1.9413  -879.9746 -2310373.3531 120.3513
53 1.9613  -879.9740 -2310371.7042 122.0002
