0 0.9000  -915.3195 -2403171.2699 1296.1672
1 0.9200  -915.3843 -2403341.3699 1126.0672
2 0.9401  -915.4416 -2403491.9784 975.4587
3 0.9601  -915.4923 -2403625.1551 842.2820
4 0.9801  -915.5371 -2403742.7547 724.6824
5 1.0001  -915.5766 -2403846.4411 620.9960
6 1.0202  -915.6114 -2403937.6994 529.7378
7 1.0402  -915.6419 -2404017.8516 449.5856
8 1.0602  -915.6687 -2404088.0755 379.3616
9 1.0802  -915.6920 -2404149.4238 318.0133
10 1.1003  -915.7124 -2404202.8414 264.5957
11 1.1203  -915.7300 -2404249.1793 218.2578
12 1.1403  -915.7453 -2404289.2026 178.2346
13 1.1603  -915.7584 -2404323.5970 143.8401
14 1.1804  -915.7696 -2404352.9739 114.4632
15 1.2004  -915.7790 -2404377.8785 89.5586
16 1.2204  -915.7870 -2404398.7964 68.6407
17 1.2404  -915.7936 -2404416.1637 51.2734
18 1.2605  -915.7990 -2404430.3742 37.0629
19 1.2805  -915.8034 -2404441.7844 25.6527
20 1.3005  -915.8068 -2404450.7174 16.7197
21 1.3205  -915.8094 -2404457.4648 9.9724
22 1.3406  -915.8112 -2404462.2884 5.1487
23 1.3606  -915.8124 -2404465.4224 2.0147
24 1.3806  -915.8130 -2404467.0761 0.3610
25 1.4006  -915.8132 -2404467.4371 0.0000
26 1.4207  -915.8129 -2404466.6741 0.7630
27 1.4407  -915.8122 -2404464.9392 2.4979
28 1.4607  -915.8112 -2404462.3696 5.0675
29 1.4807  -915.8100 -2404459.0893 8.3478
30 1.5008  -915.8085 -2404455.2093 12.2278
31 1.5208  -915.8068 -2404450.8289 16.6082
32 1.5408  -915.8050 -2404446.0364 21.4007
33 1.5608  -915.8031 -2404440.9099 26.5272
34 1.5809  -915.8010 -2404435.5186 31.9185
35 1.6009  -915.7989 -2404429.9233 37.5139
36 1.6209  -915.7967 -2404424.1781 43.2591
37 1.6409  -915.7945 -2404418.3306 49.1065
38 1.6610  -915.7922 -2404412.4229 55.0143
39 1.6810  -915.7899 -2404406.4921 60.9450
40 1.7010  -915.7877 -2404400.5711 66.8660
41 1.7210  -915.7854 -2404394.6886 72.7485
42 1.7411  -915.7832 -2404388.8697 78.5674
43 1.7611  -915.7810 -2404383.1364 84.3007
44 1.7811  -915.7789 -2404377.5079 89.9292
45 1.8011  -915.7768 -2404371.9998 95.4373
46 1.8212  -915.7748 -2404366.6272 100.8099
47 1.8412  -915.7728 -2404361.4010 106.0361
48 1.8612  -915.7708 -2404356.3315 111.1056
49 1.8812  -915.7690 -2404351.4276 116.0096
50 1.9013  -915.7672 -2404346.6975 120.7396
51 1.9213  -915.7654 -2404342.1488 125.2883
52 1.9413  -915.7638 -2404337.7891 129.6481
53 1.9613  -915.7622 -2404333.6266 133.8106
54 1.9814  -915.7607 -2404329.6719 137.7652
55 2.0014  -915.7593 -2404325.9401 141.4970
56 2.0214  -915.7579 -2404322.4549 144.9822
57 2.0414  -915.7567 -2404319.2510 148.1861
58 2.0615  -915.7556 -2404316.3812 151.0559
59 2.0815  -915.7547 -2404313.9146 153.5225
60 2.1015  -915.7539 -2404311.9230 155.5141
61 2.1215  -915.7534 -2404310.4377 156.9994
