0 0.9000  -1154.7587 -3031819.0441 1421.8188
1 0.9200  -1154.8215 -3031983.7371 1257.1258
2 0.9401  -1154.8767 -3032128.7153 1112.1475
3 0.9601  -1154.9252 -3032256.0718 984.7911
4 0.9801  -1154.9677 -3032367.7355 873.1273
5 1.0001  -1155.0049 -3032465.4304 775.4325
6 1.0202  -1155.0374 -3032550.5951 690.2678
7 1.0402  -1155.0655 -3032624.5164 616.3464
8 1.0602  -1155.0898 -3032688.3704 552.4925
9 1.0802  -1155.1108 -3032743.3882 497.4747
10 1.1003  -1155.1287 -3032790.2844 450.5784
11 1.1203  -1155.1438 -3032829.9978 410.8651
12 1.1403  -1155.1565 -3032863.3187 377.5441
13 1.1603  -1155.1670 -3032890.9576 349.9052
14 1.1804  -1155.1756 -3032913.5523 327.3106
15 1.2004  -1155.1825 -3032931.6736 309.1892
16 1.2204  -1155.1879 -3032945.8336 295.0293
17 1.2404  -1155.1920 -3032956.4944 284.3684
18 1.2605  -1155.1948 -3032964.0747 276.7881
19 1.2805  -1155.1967 -3032968.9556 271.9073
20 1.3005  -1155.1977 -3032971.4840 269.3789
21 1.3205  -1155.1979 -3032971.9757 268.8872
22 1.3406  -1155.1974 -3032970.7184 270.1445
23 1.3606  -1155.1963 -3032967.9769 272.8859
24 1.3806  -1155.2067 -3032995.2762 245.5867
25 1.4006  -1155.2056 -3032992.2590 248.6039
26 1.4207  -1155.2041 -3032988.3319 252.5309
27 1.4407  -1155.2023 -3032983.6613 257.2016
28 1.4607  -1155.2003 -3032978.3984 262.4645
29 1.4807  -1155.1981 -3032972.6791 268.1838
30 1.5008  -1155.1958 -3032966.6288 274.2341
31 1.5208  -1155.1934 -3032960.3653 280.4976
32 1.5408  -1155.1911 -3032954.1462 286.7167
33 1.5608  -1155.2004 -3032978.6500 262.2128
34 1.5809  -1155.1986 -3032973.8246 267.0383
35 1.6009  -1155.1967 -3032968.8459 272.0170
36 1.6209  -1155.1947 -3032963.7622 277.1006
37 1.6409  -1155.1928 -3032958.6149 282.2480
38 1.6610  -1155.1908 -3032953.4367 287.4261
39 1.6810  -1155.1888 -3032948.2639 292.5990
40 1.7010  -1155.1869 -3032943.1202 297.7426
41 1.7210  -1155.1849 -3032938.0421 302.8208
42 1.7411  -1155.1830 -3032933.0395 307.8234
43 1.7611  -1155.1812 -3032928.1426 312.7203
44 1.7811  -1155.1793 -3032923.3620 317.5008
45 1.8011  -1155.1776 -3032918.7149 322.1480
46 1.8212  -1155.1759 -3032914.2146 326.6482
47 1.8412  -1155.1742 -3032909.8734 330.9894
48 1.8612  -1155.1726 -3032905.7030 335.1599
49 1.8812  -1155.1711 -3032901.7155 339.1474
50 1.9013  -1155.1697 -3032897.9251 342.9378
51 1.9213  -1155.1683 -3032894.3508 346.5121
52 1.9413  -1155.1670 -3032891.0120 349.8509
53 1.9613  -1155.1659 -3032887.9456 352.9172
54 1.9814  -1155.2429 -3033090.2418 150.6210
55 2.0014  -1155.2454 -3033096.9039 143.9590
56 2.0214  -1155.2479 -3033103.3474 137.5154
