0 0.9000  -530.9106 -1393905.6692 1591.0230
1 0.9200  -530.9750 -1394074.8977 1421.7944
2 0.9401  -531.0323 -1394225.4011 1271.2911
3 0.9601  -531.0832 -1394359.0610 1137.6312
4 0.9801  -531.1284 -1394477.6177 1019.0745
5 1.0001  -531.1684 -1394582.6281 914.0640
6 1.0202  -531.2038 -1394675.4888 821.2034
7 1.0402  -531.2350 -1394757.4457 739.2465
8 1.0602  -531.2625 -1394829.6136 667.0786
9 1.0802  -531.2866 -1394892.9925 603.6996
10 1.1003  -531.3077 -1394948.4843 548.2078
11 1.1203  -531.3262 -1394996.9052 499.7870
12 1.1403  -531.3422 -1395038.9931 457.6991
13 1.1603  -531.3561 -1395075.4125 421.2796
14 1.1804  -531.3680 -1395106.7596 389.9325
15 1.2004  -531.3782 -1395133.5675 363.1246
16 1.2204  -531.3869 -1395156.3139 340.3782
17 1.2404  -531.3942 -1395175.4286 321.2635
18 1.2605  -531.4002 -1395191.3011 305.3910
19 1.2805  -531.4052 -1395204.2847 292.4075
20 1.3005  -531.4091 -1395214.6992 281.9930
21 1.3205  -531.4122 -1395222.8349 273.8572
22 1.3406  -531.4146 -1395228.9520 267.7402
23 1.3606  -531.4162 -1395233.2834 263.4088
24 1.3806  -531.4173 -1395236.0370 260.6552
25 1.4006  -531.4178 -1395237.3990 259.2932
26 1.4207  -531.4178 -1395237.5367 259.1555
27 1.4407  -531.4175 -1395236.6011 260.0911
28 1.4607  -531.4168 -1395234.7282 261.9639
29 1.4807  -531.4157 -1395232.0408 264.6514
30 1.5008  -531.4145 -1395228.6497 268.0424
31 1.5208  -531.4129 -1395224.6493 272.0429
32 1.5408  -531.4112 -1395220.1459 276.5463
33 1.5608  -531.4093 -1395215.1971 281.4951
34 1.5809  -531.4073 -1395209.9064 286.7858
35 1.6009  -531.4052 -1395204.3366 292.3556
36 1.6209  -531.4030 -1395198.5386 298.1536
37 1.6409  -531.4007 -1395192.5513 304.1408
38 1.6610  -531.3984 -1395186.4085 310.2837
39 1.6810  -531.3960 -1395180.1407 316.5515
40 1.7010  -531.3936 -1395173.7761 322.9160
41 1.7210  -531.3911 -1395167.3401 329.3521
42 1.7411  -531.3886 -1395160.8551 335.8371
43 1.7611  -531.3862 -1395154.3405 342.3517
44 1.7811  -531.3837 -1395147.8134 348.8788
45 1.8011  -531.3812 -1395141.2885 355.4037
46 1.8212  -531.3787 -1395134.7790 361.9132
47 1.8412  -531.3762 -1395128.2962 368.3959
48 1.8612  -531.3738 -1395121.8505 374.8417
49 1.8812  -531.3713 -1395115.4505 381.2417
50 1.9013  -531.3689 -1395109.1039 387.5883
51 1.9213  -531.3665 -1395102.8181 393.8741
52 1.9413  -531.3642 -1395096.5980 400.0942
53 1.9613  -531.3618 -1395090.4496 406.2426
54 1.9814  -531.3595 -1395084.3760 412.3162
55 2.0014  -531.3572 -1395078.3820 418.3102
56 2.0214  -531.3550 -1395072.4694 424.2228
57 2.0414  -531.3527 -1395066.6419 430.0503
58 2.0615  -531.3506 -1395060.9001 435.7921
59 2.0815  -531.3484 -1395055.2481 441.4441
60 2.1015  -531.3463 -1395049.6839 447.0082
61 2.1215  -531.3442 -1395044.2125 452.4797
62 2.1416  -531.3422 -1395038.8268 457.8654
63 2.1616  -531.3401 -1395033.5319 463.1603
64 2.1816  -531.3382 -1395028.3209 468.3713
65 2.2016  -531.3362 -1395023.1970 473.4952
66 2.2217  -531.3343 -1395018.1602 478.5320
67 2.2417  -531.3324 -1395013.2108 483.4814
68 2.2617  -531.3306 -1395008.3916 488.3006
69 2.2817  -531.3287 -1395003.6222 493.0700
70 2.3018  -531.3270 -1394998.9383 497.7539
71 2.3218  -531.3252 -1394994.3401 502.3521
72 2.3418  -531.3235 -1394989.8274 506.8647
73 2.3618  -531.3218 -1394985.3997 511.2925
74 2.3819  -531.3202 -1394981.0567 515.6355
75 2.4019  -531.3186 -1394977.0090 519.6831
76 2.4219  -531.3170 -1394972.8279 523.8643
77 2.4419  -531.3155 -1394968.7290 527.9632
78 2.4620  -531.3139 -1394964.7129 531.9793
79 2.4820  -531.3124 -1394960.7797 535.9125
80 2.5020  -531.3110 -1394956.9340 539.7582
81 2.5220  -531.3095 -1394953.1687 543.5234
82 2.5421  -531.3081 -1394949.5093 547.1829
83 2.5621  -531.3068 -1394945.9145 550.7777
84 2.5821  -531.3054 -1394942.4050 554.2871
85 2.6021  -531.3041 -1394938.9898 557.7024
86 2.6222  -531.3029 -1394935.6740 561.0182
87 2.6422  -531.3016 -1394932.4499 564.2423
88 2.6622  -531.3005 -1394929.3391 567.3531
89 2.6822  -531.5101 -1395479.7625 16.9297
90 2.7023  -531.5105 -1395480.8092 15.8829
91 2.7223  -531.5109 -1395481.7857 14.9064
92 2.7423  -531.5112 -1395482.7004 13.9918
93 2.7623  -531.5115 -1395483.5536 13.1386
94 2.7824  -531.5118 -1395484.3552 12.3370
95 2.8024  -531.5121 -1395485.1030 11.5892
96 2.8224  -531.5124 -1395485.7987 10.8935
97 2.8424  -531.5126 -1395486.4507 10.2415
98 2.8625  -531.5129 -1395487.0577 9.6345
