0 0.9000  -1415.9901 -3717682.1077 1451.7885
1 0.9100  -1416.0234 -3717769.5339 1364.3623
2 0.9201  -1416.0547 -3717851.6573 1282.2390
3 0.9301  -1416.0841 -3717928.8498 1205.0464
4 0.9401  -1416.1117 -3718001.3249 1132.5713
5 0.9501  -1416.1377 -3718069.5244 1064.3718
6 0.9602  -1416.1620 -3718133.4415 1000.4548
7 0.9702  -1416.1849 -3718193.4005 940.4957
8 0.9802  -1416.2063 -3718249.6130 884.2833
9 0.9902  -1416.2264 -3718302.3017 831.5945
10 1.0003  -1416.2452 -3718351.6494 782.2469
11 1.0103  -1416.2627 -3718397.8385 736.0577
12 1.0203  -1416.2792 -3718441.0480 692.8482
13 1.0303  -1416.2946 -3718481.4364 652.4598
14 1.0404  -1416.3090 -3718519.1618 614.7344
15 1.0504  -1416.3224 -3718554.3674 579.5288
16 1.0604  -1416.3349 -3718587.1949 546.7013
17 1.0704  -1416.3465 -3718617.7717 516.1245
18 1.0805  -1416.3574 -3718646.2276 487.6686
19 1.0905  -1416.3674 -3718672.6747 461.2215
20 1.1005  -1416.3768 -3718697.2358 436.6604
21 1.1105  -1416.3855 -3718720.0061 413.8901
22 1.1206  -1416.3935 -3718741.1048 392.7914
23 1.1306  -1416.4009 -3718760.6085 373.2877
24 1.1406  -1416.4078 -3718778.6295 355.2667
25 1.1506  -1416.4141 -3718795.2267 338.6695
26 1.1607  -1416.4199 -3718810.4807 323.4155
27 1.1707  -1416.4253 -3718824.5286 309.3676
28 1.1807  -1416.4301 -3718837.3584 296.5378
29 1.1907  -1416.4346 -3718849.0629 284.8333
30 1.2008  -1416.4387 -3718859.7487 274.1475
31 1.2108  -1416.4424 -3718869.4168 264.4794
32 1.2208  -1416.4457 -3718878.1442 255.7520
33 1.2308  -1416.4487 -3718886.0140 247.8822
34 1.2409  -1416.4514 -3718893.0413 240.8549
35 1.2509  -1416.4537 -3718899.2904 234.6058
36 1.2609  -1416.4558 -3718904.8092 229.0870
37 1.2709  -1416.4577 -3718909.6431 224.2531
38 1.2810  -1416.4593 -3718913.8755 220.0207
39 1.2910  -1416.4607 -3718917.5455 216.3507
40 1.3010  -1416.4619 -3718920.6482 213.2480
41 1.3110  -1416.4629 -3718923.3311 210.5651
42 1.3211  -1416.4637 -3718925.4688 208.4274
43 1.3311  -1416.4643 -3718927.1445 206.7517
44 1.3411  -1416.4648 -3718928.4318 205.4644
45 1.3511  -1416.4652 -3718929.3009 204.5953
46 1.3612  -1416.4654 -3718929.7957 204.1005
47 1.3712  -1416.4654 -3718929.9768 203.9194
48 1.3812  -1416.4654 -3718929.8223 204.0739
49 1.3912  -1416.4652 -3718929.3703 204.5259
50 1.4013  -1416.4649 -3718928.6442 205.2520
51 1.4113  -1416.4646 -3718927.7049 206.1913
52 1.4213  -1416.4641 -3718926.5095 207.3867
53 1.4313  -1416.4636 -3718925.0993 208.7969
54 1.4414  -1416.4630 -3718923.4934 210.4028
55 1.4514  -1416.4623 -3718921.7486 212.1476
56 1.4614  -1416.4616 -3718919.8240 214.0722
57 1.4714  -1416.4608 -3718917.7494 216.1468
58 1.4815  -1416.4599 -3718915.5637 218.3325
59 1.4915  -1416.4591 -3718913.2482 220.6480
60 1.5015  -1416.4581 -3718910.8339 223.0623
61 1.5115  -1416.4572 -3718908.3239 225.5724
62 1.5216  -1416.4562 -3718905.7376 228.1586
63 1.5316  -1416.4552 -3718903.0778 230.8184
64 1.5416  -1416.4541 -3718900.3616 233.5346
65 1.5516  -1416.4531 -3718897.5912 236.3050
66 1.5617  -1416.4520 -3718894.7810 239.1152
67 1.5717  -1416.4509 -3718891.9337 241.9625
68 1.5817  -1416.4498 -3718889.0615 244.8348
69 1.5917  -1416.4487 -3718886.1669 247.7293
70 1.6018  -1416.4476 -3718883.2602 250.6360
71 1.6118  -1416.4465 -3718880.3444 253.5518
72 1.6218  -1416.4454 -3718877.4269 256.4693
73 1.6318  -1416.4443 -3718874.5136 259.3826
74 1.6419  -1416.4432 -3718871.6079 262.2883
75 1.6519  -1416.4421 -3718868.7154 265.1808
76 1.6619  -1416.4410 -3718865.8405 268.0557
77 1.6719  -1416.4399 -3718862.9875 270.9087
78 1.6820  -1416.4388 -3718860.1601 273.7361
79 1.6920  -1416.4378 -3718857.3620 276.5342
80 1.7020  -1416.4367 -3718854.5968 279.2994
81 1.7120  -1416.4357 -3718851.8676 282.0286
82 1.7221  -1416.4347 -3718849.1773 284.7189
83 1.7321  -1416.4336 -3718846.5288 287.3674
84 1.7421  -1416.4327 -3718843.9246 289.9716
85 1.7521  -1416.4317 -3718841.3672 292.5290
86 1.7622  -1416.4307 -3718838.8588 295.0374
87 1.7722  -1416.4298 -3718836.3987 297.4975
88 1.7822  -1416.4289 -3718833.9981 299.8982
89 1.7922  -1416.4280 -3718831.6460 302.2502
90 1.8023  -1416.4271 -3718829.3582 304.5380
91 1.8123  -1416.4263 -3718827.1227 306.7735
92 1.8223  -1416.4254 -3718824.9588 308.9374
93 1.8323  -1416.4246 -3718822.8503 311.0459
94 1.8424  -1416.4239 -3718820.8242 313.0720
95 1.8524  -1416.4231 -3718818.8718 315.0245
96 1.8624  -1416.4224 -3718816.9861 316.9101
97 1.8724  -1416.4217 -3718815.2015 318.6947
98 1.8825  -1416.4237 -3718820.4467 313.4495
99 1.8925  -1416.4231 -3718818.8118 315.0844
100 1.9025  -1416.4225 -3718817.2259 316.6703
101 1.9125  -1416.4219 -3718815.7501 318.1461
102 1.9226  -1416.4214 -3718814.2997 319.5965
103 1.9326  -1416.4208 -3718812.9104 320.9858
104 1.9426  -1416.4203 -3718811.5770 322.3192
105 1.9526  -1416.4207 -3718812.5770 321.3192
106 1.9627  -1416.4202 -3718811.2676 322.6286
107 1.9727  -1416.4197 -3718810.0120 323.8843
108 1.9827  -1416.4193 -3718808.8160 325.0802
109 1.9927  -1416.4188 -3718807.6674 326.2288
110 2.0028  -1416.4184 -3718806.6004 327.2958
111 2.0128  -1416.4180 -3718805.5715 328.3247
