0 0.9000  -1349.9023 -3544168.3586 1445.9024
1 0.9200  -1349.9655 -3544334.2912 1279.9699
2 0.9401  -1350.0211 -3544480.3409 1133.9202
3 0.9601  -1350.0699 -3544608.6193 1005.6418
4 0.9801  -1350.1127 -3544721.0207 893.2404
5 1.0001  -1350.1502 -3544819.2425 795.0185
6 1.0202  -1350.1827 -3544904.8008 709.4603
7 1.0402  -1350.2110 -3544979.0462 635.2149
8 1.0602  -1350.2355 -3545043.1831 571.0780
9 1.0802  -1350.2564 -3545098.2899 515.9712
10 1.1003  -1350.2744 -3545145.3383 468.9228
11 1.1203  -1350.2896 -3545185.2421 429.0190
12 1.1403  -1350.3023 -3545218.7643 395.4968
13 1.1603  -1350.3129 -3545246.6187 367.6424
14 1.1804  -1350.3216 -3545269.4320 344.8291
15 1.2004  -1350.3286 -3545287.7775 326.4836
16 1.2204  -1350.3341 -3545302.1676 312.0935
17 1.2404  -1350.3382 -3545313.0642 301.1969
18 1.2605  -1350.3412 -3545320.8854 293.3757
19 1.2805  -1350.3432 -3545326.0116 288.2495
20 1.3005  -1350.3442 -3545328.7883 285.4727
21 1.3205  -1350.3445 -3545329.5287 284.7324
22 1.3406  -1350.3441 -3545328.5156 285.7455
23 1.3606  -1350.3432 -3545326.0043 288.2568
24 1.3806  -1350.3417 -3545322.2261 292.0349
25 1.4006  -1350.3399 -3545317.3921 296.8690
26 1.4207  -1350.3377 -3545311.6798 302.5813
27 1.4407  -1350.3573 -3545363.2161 251.0450
28 1.4607  -1350.3565 -3545361.0831 253.1780
29 1.4807  -1350.3555 -3545358.3758 255.8853
30 1.5008  -1350.3543 -3545355.1666 259.0945
31 1.5208  -1350.3529 -3545351.5224 262.7387
32 1.5408  -1350.3514 -3545347.5128 266.7483
33 1.5608  -1350.3497 -3545343.2002 271.0609
34 1.5809  -1350.3480 -3545338.6448 275.6163
35 1.6009  -1350.3462 -3545333.9018 280.3593
36 1.6209  -1350.3443 -3545329.0200 285.2410
37 1.6409  -1350.3424 -3545324.0424 290.2186
38 1.6610  -1350.3405 -3545319.0096 295.2515
39 1.6810  -1350.3386 -3545313.9565 300.3046
40 1.7010  -1350.3367 -3545308.9145 305.3465
41 1.7210  -1350.3348 -3545303.9105 310.3506
42 1.7411  -1350.3329 -3545298.9708 315.2902
43 1.7611  -1350.3310 -3545294.1178 320.1433
44 1.7811  -1350.3292 -3545289.3706 324.8905
45 1.8011  -1350.3275 -3545284.7453 329.5157
46 1.8212  -1350.3258 -3545280.2579 334.0031
47 1.8412  -1350.3241 -3545275.9189 338.3422
48 1.8612  -1350.3225 -3545271.7398 342.5213
49 1.8812  -1350.3210 -3545267.7293 346.5317
50 1.9013  -1350.3195 -3545263.8940 350.3671
51 1.9213  -1350.3181 -3545260.2010 354.0601
52 1.9413  -1350.3168 -3545256.7588 357.5022
53 1.9613  -1350.3156 -3545253.5322 360.7289
54 1.9814  -1350.3144 -3545250.5261 363.7350
55 2.0014  -1350.3134 -3545247.7459 366.5152
56 2.0214  -1350.3124 -3545245.2025 369.0586
57 2.0414  -1350.3115 -3545242.9024 371.3587
58 2.0615  -1350.3107 -3545240.8556 373.4054
59 2.0815  -1350.3101 -3545239.1237 375.1374
60 2.1015  -1350.3095 -3545237.6282 376.6328
61 2.1215  -1350.3092 -3545236.9287 377.3324
62 2.1416  -1350.3091 -3545236.5995 377.6615
63 2.1616  -1350.3089 -3545236.0092 378.2519
64 2.1816  -1350.3155 -3545253.2703 360.9908
65 2.2016  -1350.3159 -3545254.4608 359.8003
66 2.2217  -1350.3164 -3545255.6211 358.6400
67 2.2417  -1350.3168 -3545256.7475 357.5136
68 2.2617  -1350.3172 -3545257.8388 356.4223
69 2.2817  -1350.3176 -3545258.8919 355.3692
70 2.3018  -1350.3180 -3545259.9051 354.3560
71 2.3218  -1350.3184 -3545260.8765 353.3846
72 2.3418  -1350.3187 -3545261.8029 352.4582
73 2.3618  -1350.3191 -3545262.6901 351.5710
74 2.3819  -1350.3194 -3545263.5353 350.7258
75 2.4019  -1350.3197 -3545264.3386 349.9224
76 2.4219  -1350.3200 -3545265.1003 349.1608
77 2.4419  -1350.3203 -3545265.8213 348.4398
78 2.4620  -1350.3205 -3545266.5031 347.7580
79 2.4820  -1350.3208 -3545267.1463 347.1148
80 2.5020  -1350.3210 -3545267.7538 346.5073
81 2.5220  -1350.3212 -3545268.2323 346.0288
82 2.5421  -1350.3214 -3545268.7809 345.4802
83 2.5621  -1350.3216 -3545269.2940 344.9670
84 2.5821  -1350.3218 -3545269.7740 344.4871
85 2.6021  -1350.3219 -3545270.2213 344.0398
86 2.6222  -1350.3221 -3545270.6361 343.6249
87 2.6422  -1350.3222 -3545271.0287 343.2324
88 2.6622  -1350.3224 -3545271.3898 342.8713
89 2.6822  -1350.3225 -3545271.7286 342.5324
90 2.7023  -1350.3226 -3545272.0228 342.2383
91 2.7223  -1350.3227 -3545272.3197 341.9413
92 2.7423  -1350.3228 -3545272.5916 341.6695
93 2.7623  -1350.3229 -3545272.8405 341.4205
94 2.7824  -1350.3230 -3545273.0531 341.2080
95 2.8024  -1350.3231 -3545273.2716 340.9895
96 2.8224  -1350.3232 -3545273.4699 340.7912
97 2.8424  -1350.3232 -3545273.6500 340.6111
98 2.8625  -1350.3233 -3545273.8031 340.4580
99 2.8825  -1350.3234 -3545273.9645 340.2965
100 2.9025  -1350.3234 -3545274.1084 340.1527
101 2.9225  -1350.3235 -3545274.2490 340.0121
102 2.9426  -1350.3235 -3545274.3768 339.8843
103 2.9626  -1350.3236 -3545274.4905 339.7706
104 2.9826  -1350.3236 -3545274.6039 339.6571
