0 0.9000  -544.8304 -1430452.1653 1281.7698
1 0.9200  -544.8959 -1430624.2651 1109.6700
2 0.9401  -544.9539 -1430776.4130 957.5221
3 0.9601  -545.0050 -1430910.7225 823.2126
4 0.9801  -545.0501 -1431029.0892 704.8459
5 1.0001  -545.0898 -1431133.2105 600.7246
6 1.0202  -545.1246 -1431224.6013 509.3338
7 1.0402  -545.1551 -1431304.6111 429.3240
8 1.0602  -545.1817 -1431374.4434 359.4917
9 1.0802  -545.2048 -1431435.1760 298.7591
10 1.1003  -545.2248 -1431487.7789 246.1562
11 1.1203  -545.2421 -1431533.1281 200.8070
12 1.1403  -545.2569 -1431572.0143 161.9208
13 1.1603  -545.2695 -1431605.1497 128.7854
14 1.1804  -545.2802 -1431633.1727 100.7624
15 1.2004  -545.2891 -1431656.6548 77.2803
16 1.2204  -545.2966 -1431676.1084 57.8267
17 1.2404  -545.3026 -1431691.9951 41.9400
18 1.2605  -545.3075 -1431704.7329 29.2022
19 1.2805  -545.3113 -1431714.7011 19.2340
20 1.3005  -545.3141 -1431722.2437 11.6914
21 1.3205  -545.3162 -1431727.6723 6.2628
22 1.3406  -545.3176 -1431731.2672 2.6678
23 1.3606  -545.3183 -1431733.2799 0.6552
24 1.3806  -545.3186 -1431733.9351 0.0000
25 1.4006  -545.3184 -1431733.4341 0.5010
26 1.4207  -545.3178 -1431731.9577 1.9774
27 1.4407  -545.3170 -1431729.6681 4.2670
28 1.4607  -545.3158 -1431726.7105 7.2246
29 1.4807  -545.3145 -1431723.2154 10.7197
30 1.5008  -545.3130 -1431719.2988 14.6363
31 1.5208  -545.3114 -1431715.0629 18.8722
32 1.5408  -545.3097 -1431710.5971 23.3380
33 1.5608  -545.3079 -1431705.9786 27.9565
34 1.5809  -545.3061 -1431701.2714 32.6637
35 1.6009  -545.3043 -1431696.5379 37.3972
36 1.6209  -545.3025 -1431691.8186 42.1165
37 1.6409  -545.3008 -1431687.1546 46.7805
38 1.6610  -545.2990 -1431682.5778 51.3573
39 1.6810  -545.2973 -1431678.1139 55.8211
40 1.7010  -545.2957 -1431673.7834 60.1517
41 1.7210  -545.2941 -1431669.6016 64.3335
42 1.7411  -545.2925 -1431665.5798 68.3553
43 1.7611  -545.2911 -1431661.7252 72.2099
44 1.7811  -545.2897 -1431658.0421 75.8930
45 1.8011  -545.2883 -1431654.5317 79.4034
46 1.8212  -545.2871 -1431651.1927 82.7424
47 1.8412  -545.2859 -1431648.0222 85.9129
48 1.8612  -545.2847 -1431645.0156 88.9195
49 1.8812  -545.2836 -1431642.1673 91.7678
50 1.9013  -545.2826 -1431639.4712 94.4639
51 1.9213  -545.2816 -1431636.9205 97.0146
52 1.9413  -545.2807 -1431634.5083 99.4268
53 1.9613  -545.2798 -1431632.2279 101.7072
54 1.9814  -545.2790 -1431630.0720 103.8631
55 2.0014  -545.2782 -1431628.0337 105.9014
56 2.0214  -545.2775 -1431626.1059 107.8292
57 2.0414  -545.2768 -1431624.2814 109.6537
58 2.0615  -545.2762 -1431622.5528 111.3823
59 2.0815  -545.2755 -1431620.9139 113.0212
60 2.1015  -545.2749 -1431619.3571 114.5780
61 2.1215  -545.2744 -1431617.8761 116.0590
62 2.1416  -545.2738 -1431616.4647 117.4704
63 2.1616  -545.2733 -1431615.1175 118.8176
64 2.1816  -545.2728 -1431613.8292 120.1059
65 2.2016  -545.2724 -1431612.5952 121.3399
66 2.2217  -545.2719 -1431611.4113 122.5238
67 2.2417  -545.2715 -1431610.2737 123.6614
68 2.2617  -545.2711 -1431609.1789 124.7562
69 2.2817  -545.2707 -1431608.1235 125.8116
70 2.3018  -545.2703 -1431607.1044 126.8307
71 2.3218  -545.2699 -1431606.1189 127.8162
72 2.3418  -545.2695 -1431605.1642 128.7709
73 2.3618  -545.2692 -1431604.2377 129.6974
74 2.3819  -545.2688 -1431603.3372 130.5979
75 2.4019  -545.2685 -1431602.4608 131.4743
76 2.4219  -545.2682 -1431601.6065 132.3286
77 2.4419  -545.2679 -1431600.7732 133.1619
78 2.4620  -545.2676 -1431599.9595 133.9756
79 2.4820  -545.2672 -1431599.1644 134.7707
80 2.5020  -545.2670 -1431598.3872 135.5479
81 2.5220  -545.2667 -1431597.6272 136.3079
82 2.5421  -545.2664 -1431596.8837 137.0514
83 2.5621  -545.2661 -1431596.1563 137.7788
84 2.5821  -545.2658 -1431595.4443 138.4908
85 2.6021  -545.2656 -1431594.7472 139.1879
86 2.6222  -545.2653 -1431594.0644 139.8707
87 2.6422  -545.2651 -1431593.3954 140.5397
88 2.6622  -545.2648 -1431592.7398 141.1953
89 2.6822  -545.2646 -1431592.0969 141.8382
90 2.7023  -545.2643 -1431591.4664 142.4687
91 2.7223  -545.2641 -1431590.8479 143.0872
92 2.7423  -545.2639 -1431590.2411 143.6940
93 2.7623  -545.2636 -1431589.6457 144.2894
94 2.7824  -545.2634 -1431589.0615 144.8736
95 2.8024  -545.2632 -1431588.4886 145.4465
96 2.8224  -545.2630 -1431587.9268 146.0083
97 2.8424  -545.2628 -1431587.3761 146.5590
98 2.8625  -545.2626 -1431586.8366 147.0985
99 2.8825  -545.2624 -1431586.3083 147.6268
100 2.9025  -545.2622 -1431585.7910 148.1441
101 2.9225  -545.2620 -1431585.2848 148.6503
102 2.9426  -545.2618 -1431584.7896 149.1455
103 2.9626  -545.2616 -1431584.3051 149.6299
104 2.9826  -545.2614 -1431583.8315 150.1036
105 3.0026  -545.2612 -1431583.3684 150.5666
