0 0.9000  -969.5060 -2545437.9155 1454.1157
1 0.9200  -969.5695 -2545604.6569 1287.3743
2 0.9401  -969.6254 -2545751.4996 1140.5315
3 0.9601  -969.6746 -2545880.5484 1011.4828
4 0.9801  -969.7177 -2545993.6991 898.3321
5 1.0001  -969.7553 -2546092.6482 799.3829
6 1.0202  -969.7882 -2546178.9153 713.1159
7 1.0402  -969.8168 -2546253.9894 638.0418
8 1.0602  -969.8415 -2546318.8190 573.2122
9 1.0802  -969.8627 -2546374.5974 517.4338
10 1.1003  -969.8809 -2546422.2972 469.7340
11 1.1203  -969.8963 -2546462.7964 429.2348
12 1.1403  -969.9093 -2546496.9479 395.0832
13 1.1603  -969.9201 -2546525.3435 366.6877
14 1.1804  -969.9290 -2546548.6837 343.3475
15 1.2004  -969.9362 -2546567.5411 324.4901
16 1.2204  -969.9419 -2546582.4304 309.6008
17 1.2404  -969.9462 -2546593.8149 298.2163
18 1.2605  -969.9494 -2546602.1168 289.9144
19 1.2805  -969.9515 -2546607.7210 284.3101
20 1.3005  -969.9528 -2546610.9816 281.0496
21 1.3205  -969.9766 -2546673.5198 218.5114
22 1.3406  -969.9783 -2546677.9326 214.0986
23 1.3606  -969.9793 -2546680.7194 211.3118
24 1.3806  -969.9798 -2546682.0916 209.9396
25 1.4006  -969.9799 -2546682.2534 209.7778
26 1.4207  -969.9796 -2546681.3671 210.6641
27 1.4407  -969.9789 -2546679.6009 212.4303
28 1.4607  -969.9779 -2546677.0817 214.9495
29 1.4807  -969.9767 -2546673.9449 218.0863
30 1.5008  -969.9754 -2546670.2940 221.7372
31 1.5208  -969.9738 -2546666.2348 225.7963
32 1.5408  -969.9721 -2546661.8493 230.1818
33 1.5608  -969.9704 -2546657.2195 234.8117
34 1.5809  -969.9685 -2546652.4083 239.6229
35 1.6009  -969.9667 -2546647.4718 244.5594
36 1.6209  -969.9648 -2546642.4627 249.5685
37 1.6409  -969.9628 -2546637.4217 254.6095
38 1.6610  -969.9609 -2546632.3859 259.6453
39 1.6810  -969.9590 -2546627.3883 264.6428
40 1.7010  -969.9571 -2546622.4714 269.5598
41 1.7210  -969.9553 -2546617.6325 274.3987
42 1.7411  -969.9535 -2546612.9044 279.1268
43 1.7611  -969.9517 -2546608.3044 283.7267
44 1.7811  -969.9500 -2546603.8474 288.1838
45 1.8011  -969.9484 -2546599.5449 292.4863
46 1.8212  -969.9468 -2546595.3983 296.6328
47 1.8412  -969.9453 -2546591.4378 300.5934
48 1.8612  -969.9439 -2546587.6509 304.3803
49 1.8812  -969.9425 -2546584.0440 307.9872
50 1.9013  -969.9412 -2546580.6202 311.4110
51 1.9213  -969.9400 -2546577.3676 314.6636
52 1.9413  -969.9388 -2546574.3145 317.7166
53 1.9613  -969.9377 -2546571.4215 320.6097
54 1.9814  -969.9368 -2546569.0419 322.9893
55 2.0014  -969.9358 -2546566.5105 325.5207
56 2.0214  -969.9349 -2546564.1286 327.9026
57 2.0414  -969.9341 -2546561.8913 330.1399
58 2.0615  -969.9333 -2546559.7926 332.2386
59 2.0815  -969.9325 -2546557.8272 334.2040
60 2.1015  -969.9318 -2546555.9885 336.0427
61 2.1215  -969.9312 -2546554.4261 337.6051
62 2.1416  -969.9306 -2546552.8721 339.1590
63 2.1616  -969.9301 -2546551.4242 340.6070
64 2.1816  -970.0272 -2546806.3143 85.7169
65 2.2016  -970.0290 -2546811.1493 80.8819
66 2.2217  -970.0308 -2546815.7575 76.2737
67 2.2417  -970.0324 -2546820.1340 71.8972
68 2.2617  -970.0340 -2546824.2910 67.7402
69 2.2817  -970.0355 -2546828.2348 63.7964
70 2.3018  -970.0369 -2546831.9726 60.0585
71 2.3218  -970.0383 -2546835.5097 56.5215
72 2.3418  -970.0396 -2546838.8807 53.1505
73 2.3618  -970.0408 -2546842.0495 49.9817
74 2.3819  -970.0419 -2546845.0415 46.9897
75 2.4019  -970.0430 -2546847.8646 44.1666
76 2.4219  -970.0440 -2546850.5259 41.5053
77 2.4419  -970.0450 -2546853.0327 38.9985
78 2.4620  -970.0459 -2546855.4202 36.6110
79 2.4820  -970.0467 -2546857.6444 34.3868
80 2.5020  -970.0475 -2546859.7324 32.2987
81 2.5220  -970.0483 -2546861.6912 30.3399
82 2.5421  -970.0490 -2546863.5395 28.4917
83 2.5621  -970.0496 -2546865.2630 26.7682
84 2.5821  -970.0502 -2546866.8755 25.1557
85 2.6021  -970.0508 -2546868.3816 23.6496
86 2.6222  -970.0514 -2546869.8295 22.2017
87 2.6422  -970.0519 -2546871.1550 20.8761
88 2.6622  -970.0523 -2546872.3931 19.6381
89 2.6822  -970.0528 -2546873.5481 18.4830
90 2.7023  -970.0532 -2546874.6247 17.4065
91 2.7223  -970.0536 -2546875.6273 16.4038
92 2.7423  -970.0548 -2546878.8327 13.1985
93 2.7623  -970.0551 -2546879.6315 12.3996
94 2.7824  -970.0554 -2546880.3736 11.6575
95 2.8024  -970.0556 -2546881.0615 10.9697
96 2.8224  -970.0559 -2546881.7000 10.3312
97 2.8424  -970.0561 -2546882.2897 9.7415
98 2.8625  -970.0563 -2546882.8367 9.1945
99 2.8825  -970.0565 -2546883.3806 8.6506
100 2.9025  -970.0567 -2546883.8503 8.1809
101 2.9225  -970.0569 -2546884.2808 7.7504
102 2.9426  -970.0570 -2546884.6754 7.3558
103 2.9626  -970.0571 -2546885.0374 6.9938
104 2.9826  -970.0573 -2546885.3690 6.6622
105 3.0026  -970.0574 -2546885.6725 6.3587
106 3.0227  -970.0575 -2546886.0106 6.0206
107 3.0427  -970.0576 -2546886.2698 5.7613
108 3.0627  -970.0577 -2546886.5057 5.5255
109 3.0827  -970.0578 -2546886.7201 5.3110
110 3.1028  -970.0579 -2546886.9152 5.1160
111 3.1228  -970.0579 -2546887.0924 4.9388
112 3.1428  -970.0580 -2546887.2533 4.7779
113 3.1628  -970.0580 -2546887.3969 4.6343
114 3.1829  -970.0581 -2546887.5280 4.5032
115 3.2029  -970.0582 -2546887.7217 4.3095
116 3.2229  -970.0582 -2546887.8327 4.1985
117 3.2429  -970.0582 -2546887.9313 4.0999
118 3.2630  -970.0583 -2546888.0184 4.0128
119 3.2830  -970.0583 -2546888.0950 3.9361
120 3.3030  -970.0583 -2546888.1623 3.8689
121 3.3230  -970.0584 -2546888.2188 3.8124
122 3.3431  -970.0584 -2546888.3113 3.7199
123 3.3631  -970.0584 -2546888.3599 3.6713
124 3.3831  -970.0584 -2546888.3990 3.6322
125 3.4031  -970.0584 -2546888.4306 3.6006
126 3.4232  -970.0585 -2546888.5103 3.5208
127 3.4432  -970.0585 -2546888.5373 3.4939
128 3.4632  -970.0585 -2546888.5571 3.4740
129 3.4832  -970.0585 -2546888.5709 3.4603
130 3.5033  -970.0585 -2546888.5896 3.4416
131 3.5233  -970.0585 -2546888.5967 3.4345
132 3.5433  -970.0585 -2546888.5992 3.4319
133 3.5633  -970.0585 -2546888.5982 3.4329
134 3.5834  -970.0585 -2546888.5943 3.4369
135 3.6034  -970.0585 -2546888.5863 3.4449
136 3.6234  -970.0585 -2546888.6666 3.3646
137 3.6434  -970.0585 -2546888.6674 3.3638
138 3.6635  -970.0585 -2546888.6904 3.3408
139 3.6835  -970.0585 -2546888.6880 3.3432
140 3.7035  -970.0585 -2546888.6809 3.3503
141 3.7235  -970.0585 -2546888.6698 3.3614
142 3.7436  -970.0585 -2546888.6804 3.3507
143 3.7636  -970.0585 -2546888.6694 3.3618
144 3.7836  -970.0585 -2546888.6599 3.3713
145 3.8036  -970.0585 -2546888.6426 3.3886
146 3.8237  -970.0585 -2546888.6217 3.4095
147 3.8437  -970.0585 -2546888.5984 3.4328
148 3.8637  -970.0585 -2546888.5723 3.4589
149 3.8837  -970.0585 -2546888.6336 3.3976
150 3.9038  -970.0585 -2546888.6263 3.4049
151 3.9238  -970.0585 -2546888.6199 3.4113
152 3.9438  -970.0585 -2546888.6096 3.4216
153 3.9638  -970.0585 -2546888.6335 3.3977
154 3.9839  -970.0585 -2546888.6369 3.3943
155 4.0039  -970.0585 -2546888.6310 3.4002
156 4.0239  -970.0585 -2546888.6281 3.4031
157 4.0439  -970.0585 -2546888.6203 3.4109
158 4.0640  -970.0585 -2546888.6087 3.4225
159 4.0840  -970.0585 -2546888.5937 3.4375
160 4.1040  -970.0585 -2546888.5791 3.4521
161 4.1240  -970.0585 -2546888.5640 3.4672
162 4.1441  -970.0585 -2546888.5454 3.4858
163 4.1641  -970.0585 -2546888.5236 3.5076
164 4.1841  -970.0585 -2546888.5001 3.5310
165 4.2041  -970.0585 -2546888.4760 3.5552
166 4.2242  -970.0584 -2546888.4468 3.5843
167 4.2442  -970.0584 -2546888.4149 3.6163
168 4.2642  -970.0584 -2546888.4494 3.5817
169 4.2842  -970.0584 -2546888.4326 3.5986
170 4.3043  -970.0584 -2546888.4132 3.6180
171 4.3243  -970.0584 -2546888.3896 3.6416
172 4.3443  -970.0584 -2546888.3615 3.6697
173 4.3643  -970.0584 -2546888.3324 3.6988
174 4.3844  -970.0584 -2546888.2987 3.7324
175 4.4044  -970.0584 -2546888.2654 3.7658
176 4.4244  -970.0584 -2546888.2276 3.8036
177 4.4444  -970.0583 -2546888.1877 3.8435
178 4.4645  -970.0583 -2546888.1490 3.8822
179 4.4845  -970.0583 -2546888.1062 3.9250
180 4.5045  -970.0583 -2546888.0620 3.9692
181 4.5245  -970.0583 -2546888.0198 4.0113
182 4.5446  -970.0583 -2546887.9750 4.0562
183 4.5646  -970.0582 -2546887.9313 4.0999
184 4.5846  -970.0582 -2546887.8860 4.1452
185 4.6046  -970.0582 -2546887.8426 4.1886
186 4.6247  -970.0582 -2546887.7974 4.2338
187 4.6447  -970.0582 -2546887.7537 4.2775
188 4.6647  -970.0582 -2546887.7086 4.3226
189 4.6847  -970.0581 -2546887.6629 4.3683
190 4.7048  -970.0581 -2546887.6177 4.4135
191 4.7248  -970.0581 -2546887.5708 4.4604
192 4.7448  -970.0581 -2546887.5253 4.5059
193 4.7648  -970.0581 -2546887.4787 4.5525
194 4.7849  -970.0581 -2546887.4336 4.5975
195 4.8049  -970.0580 -2546887.3880 4.6432
196 4.8249  -970.0580 -2546887.3450 4.6862
197 4.8449  -970.0580 -2546887.3012 4.7300
198 4.8650  -970.0580 -2546887.2603 4.7709
199 4.8850  -970.0580 -2546887.2188 4.8124
200 4.9050  -970.0580 -2546887.1841 4.8470
201 4.9250  -970.0579 -2546887.1455 4.8857
202 4.9451  -970.0579 -2546887.1089 4.9222
203 4.9651  -970.0579 -2546887.0726 4.9586
204 4.9851  -970.0579 -2546887.0394 4.9917
205 5.0051  -970.0579 -2546887.0073 5.0239
206 5.0252  -970.0579 -2546886.9778 5.0534
207 5.0452  -970.0579 -2546886.9495 5.0817
208 5.0652  -970.0579 -2546886.9442 5.0869
