0 0.9000  -1244.7221 -3268017.8609 1440.3746
1 0.9200  -1244.7839 -3268180.0682 1278.1674
2 0.9401  -1244.8382 -3268322.6856 1135.5499
3 0.9601  -1244.8859 -3268447.8034 1010.4321
4 0.9801  -1244.9275 -3268557.2559 900.9796
5 1.0001  -1244.9639 -3268652.7377 805.4978
6 1.0202  -1244.9955 -3268735.7503 722.4852
7 1.0402  -1245.0229 -3268807.6634 650.5721
8 1.0602  -1245.0465 -3268869.6181 588.6174
9 1.0802  -1245.0667 -3268922.7090 535.5265
10 1.1003  -1245.0839 -3268967.9040 490.3315
11 1.1203  -1245.0985 -3269006.0809 452.1546
12 1.1403  -1245.1107 -3269038.0380 420.1975
13 1.1603  -1245.1238 -3269072.6046 385.6309
14 1.1804  -1245.1325 -3269095.3127 362.9228
15 1.2004  -1245.1396 -3269114.0715 344.1640
16 1.2204  -1245.1451 -3269128.5274 329.7081
17 1.2404  -1245.1493 -3269139.4902 318.7454
18 1.2605  -1245.1523 -3269147.3760 310.8595
19 1.2805  -1245.1543 -3269152.5643 305.6712
20 1.3005  -1245.1554 -3269155.4001 302.8354
21 1.3205  -1245.1557 -3269156.1961 302.0395
22 1.3406  -1245.1553 -3269155.2325 303.0030
23 1.3606  -1245.1544 -3269152.7629 305.4726
24 1.3806  -1245.1529 -3269149.0144 309.2212
25 1.4006  -1245.1511 -3269144.1941 314.0414
26 1.4207  -1245.1489 -3269138.4910 319.7445
27 1.4407  -1245.1465 -3269132.0763 326.1592
28 1.4607  -1245.1438 -3269125.1091 333.1265
29 1.4807  -1245.1410 -3269117.7377 340.4978
30 1.5008  -1245.1381 -3269110.1081 348.1274
31 1.5208  -1245.1620 -3269172.7020 285.5335
32 1.5408  -1245.1607 -3269169.3679 288.8677
33 1.5608  -1245.1593 -3269165.6648 292.5708
34 1.5809  -1245.1577 -3269161.6581 296.5775
35 1.6009  -1245.1561 -3269157.4077 300.8278
36 1.6209  -1245.1544 -3269152.9668 305.2687
37 1.6409  -1245.1527 -3269148.3839 309.8516
38 1.6610  -1245.1509 -3269143.7016 314.5339
39 1.6810  -1245.1491 -3269138.9591 319.2764
40 1.7010  -1245.1473 -3269134.1920 324.0435
41 1.7210  -1245.1455 -3269129.4383 328.7973
42 1.7411  -1245.1437 -3269124.7168 333.5188
43 1.7611  -1245.1419 -3269120.0584 338.1772
44 1.7811  -1245.1402 -3269115.4959 342.7396
45 1.8011  -1245.1385 -3269111.0404 347.1952
46 1.8212  -1245.1368 -3269106.7388 351.4967
47 1.8412  -1245.1353 -3269102.6315 355.6041
48 1.8612  -1245.1338 -3269098.7780 359.4575
49 1.8812  -1245.1990 -3269269.9095 188.3260
50 1.9013  -1245.2018 -3269277.4194 180.8161
51 1.9213  -1245.2046 -3269284.7553 173.4802
52 1.9413  -1245.2074 -3269291.9072 166.3283
53 1.9613  -1245.2100 -3269298.8668 159.3688
54 1.9814  -1245.2126 -3269305.6271 152.6084
55 2.0014  -1245.2151 -3269312.1816 146.0540
56 2.0214  -1245.2175 -3269318.5266 139.7089
57 2.0414  -1245.2198 -3269324.6584 133.5771
