0 0.9000  -773.5538 -2030965.5054 1557.0426
1 0.9214  -773.6188 -2031136.2609 1386.2871
2 0.9427  -773.6757 -2031285.6340 1236.9140
3 0.9641  -773.7255 -2031416.2385 1106.3095
4 0.9854  -773.7690 -2031530.5994 991.9486
5 1.0068  -773.8087 -2031634.6879 887.8601
6 1.0282  -773.8431 -2031725.1037 797.4443
7 1.0495  -773.8730 -2031803.6573 718.8908
8 1.0709  -773.8989 -2031871.6520 650.8961
9 1.0923  -773.9213 -2031930.3077 592.2403
10 1.1136  -773.9405 -2031980.8784 541.6697
11 1.1350  -773.9571 -2032024.4125 498.1355
12 1.1563  -773.9717 -2032062.5697 459.9784
13 1.1777  -773.9844 -2032096.1536 426.3945
14 1.1991  -773.9954 -2032124.9542 397.5939
15 1.2204  -774.0047 -2032149.3567 373.1913
16 1.2418  -774.0125 -2032169.8071 352.7410
17 1.2632  -774.0189 -2032186.7320 335.8160
18 1.2845  -774.0242 -2032200.5267 322.0213
19 1.3059  -774.0284 -2032211.5512 310.9968
20 1.3272  -774.0317 -2032220.1297 302.4183
21 1.3486  -774.0341 -2032226.5526 295.9954
22 1.3700  -774.0358 -2032231.0772 291.4709
23 1.3913  -774.0369 -2032233.9308 288.6173
24 1.4127  -774.0374 -2032235.3211 287.2270
25 1.4340  -774.0375 -2032235.4255 287.1225
26 1.4554  -774.0371 -2032234.4127 288.1353
27 1.4768  -774.0363 -2032232.4242 290.1238
28 1.4981  -774.0353 -2032229.5950 292.9531
29 1.5195  -774.0339 -2032226.0427 296.5053
30 1.5409  -774.0323 -2032221.8723 300.6758
31 1.5622  -774.0305 -2032217.1769 305.3712
32 1.5836  -774.0286 -2032212.0385 310.5095
33 1.6049  -774.0265 -2032206.5301 316.0180
34 1.6263  -774.0243 -2032200.7159 321.8321
35 1.6477  -774.0220 -2032194.6542 327.8938
36 1.6690  -774.0196 -2032188.3956 334.1524
37 1.6904  -774.0171 -2032181.9871 340.5609
38 1.7117  -774.0147 -2032175.4683 347.0797
39 1.7331  -774.0121 -2032168.8779 353.6702
40 1.7545  -774.0096 -2032162.2465 360.3015
41 1.7758  -774.0071 -2032155.6067 366.9413
42 1.7972  -774.0046 -2032148.9831 373.5650
43 1.8186  -774.0021 -2032142.4017 380.1464
44 1.8399  -773.9996 -2032135.8890 386.6590
45 1.8613  -773.9971 -2032129.4742 393.0738
46 1.8826  -773.9947 -2032123.1978 399.3502
47 1.9040  -773.9924 -2032117.1416 405.4064
48 1.9254  -773.9903 -2032111.5561 410.9919
49 1.9467  -773.9884 -2032106.5009 416.0471
50 1.9681  -773.9868 -2032102.2842 420.2638
51 1.9895  -774.0019 -2032141.9608 380.5873
52 2.0108  -774.0025 -2032143.6629 378.8851
53 2.0322  -774.0032 -2032145.3706 377.1774
54 2.0535  -774.0038 -2032147.0809 375.4672
55 2.0749  -774.0045 -2032148.7854 373.7626
56 2.0963  -774.0051 -2032150.4699 372.0781
57 2.1176  -774.0058 -2032152.1308 370.4172
58 2.1390  -774.0064 -2032153.7551 368.7929
59 2.1603  -774.0070 -2032155.3419 367.2062
60 2.1817  -774.0076 -2032156.8821 365.6660
61 2.2031  -774.0081 -2032158.3748 364.1732
62 2.2244  -774.0087 -2032159.8150 362.7331
63 2.2458  -774.0092 -2032161.2013 361.3468
64 2.2672  -774.0097 -2032162.5296 360.0184
65 2.2885  -774.0102 -2032163.8004 358.7476
66 2.3099  -774.0107 -2032165.0127 357.5353
67 2.3312  -774.0111 -2032166.1666 356.3814
68 2.3526  -774.0115 -2032167.2623 355.2858
69 2.3740  -774.0119 -2032168.3007 354.2473
70 2.3953  -774.0123 -2032169.2826 353.2654
71 2.4167  -774.0126 -2032170.2091 352.3389
72 2.4381  -774.0130 -2032171.0867 351.4613
73 2.4594  -774.0133 -2032171.9110 350.6370
74 2.4808  -774.0136 -2032172.6841 349.8639
75 2.5021  -774.0139 -2032173.4093 349.1387
76 2.5235  -774.0141 -2032174.0882 348.4598
77 2.5449  -774.0144 -2032174.7231 347.8249
78 2.5662  -774.0146 -2032175.3172 347.2308
79 2.5876  -774.0148 -2032175.8711 346.6770
80 2.6089  -774.0150 -2032176.3868 346.1612
81 2.6303  -774.0152 -2032176.8688 345.6792
82 2.6517  -774.0154 -2032177.3362 345.2118
