0 0.9000  -620.9028 -1630180.2460 1550.5234
1 0.9178  -620.9578 -1630324.6735 1406.0959
2 0.9356  -621.0070 -1630453.7714 1276.9980
3 0.9534  -621.0509 -1630569.0500 1161.7194
4 0.9712  -621.0900 -1630671.8730 1058.8964
5 0.9890  -621.1249 -1630763.4711 967.2983
6 1.0068  -621.1560 -1630844.9486 885.8209
7 1.0246  -621.1835 -1630917.2969 813.4725
8 1.0424  -621.2079 -1630981.3960 749.3734
9 1.0602  -621.2301 -1631039.7396 691.0298
10 1.0780  -621.2505 -1631093.1964 637.5731
11 1.0958  -621.2689 -1631141.4351 589.3344
12 1.1136  -621.2907 -1631198.7465 532.0229
13 1.1314  -621.3058 -1631238.4518 492.3176
14 1.1492  -621.3192 -1631273.6019 457.1675
15 1.1670  -621.3310 -1631304.6070 426.1624
16 1.1848  -621.3414 -1631331.8411 398.9283
17 1.2026  -621.3505 -1631355.6450 375.1244
18 1.2204  -621.3583 -1631376.3299 354.4395
19 1.2382  -621.3651 -1631394.1784 336.5910
20 1.2560  -621.3710 -1631409.4535 321.3159
21 1.2737  -621.3759 -1631422.3894 308.3800
22 1.2915  -621.3800 -1631433.2152 297.5542
23 1.3093  -621.3834 -1631442.1217 288.6477
24 1.3271  -621.3861 -1631449.3038 281.4656
25 1.3449  -621.3883 -1631454.9179 275.8515
26 1.3627  -621.3899 -1631459.1212 271.6482
27 1.3805  -621.3910 -1631462.0516 268.7179
28 1.3983  -621.3917 -1631463.8333 266.9361
29 1.4161  -621.3920 -1631464.5806 266.1889
30 1.4339  -621.3919 -1631464.4052 266.3642
31 1.4517  -621.3915 -1631463.3941 267.3754
32 1.4695  -621.3908 -1631461.6395 269.1299
33 1.4873  -621.3899 -1631459.2324 271.5370
34 1.5051  -621.3888 -1631456.2212 274.5482
35 1.5229  -621.3874 -1631452.6852 278.0843
36 1.5407  -621.3859 -1631448.6854 282.0840
37 1.5585  -621.3842 -1631444.2772 286.4922
38 1.5763  -621.3824 -1631439.5107 291.2588
39 1.5941  -621.3805 -1631434.4311 296.3383
40 1.6119  -621.3784 -1631429.0797 301.6897
41 1.6297  -621.3763 -1631423.4898 307.2796
42 1.6475  -621.3741 -1631417.7072 313.0622
43 1.6653  -621.3718 -1631411.7474 319.0220
44 1.6831  -621.3695 -1631405.6521 325.1173
45 1.7009  -621.3671 -1631399.4369 331.3326
46 1.7187  -621.3647 -1631393.1238 337.6456
47 1.7365  -621.3623 -1631386.7456 344.0238
48 1.7543  -621.3599 -1631380.3089 350.4605
49 1.7721  -621.3574 -1631373.8344 356.9350
50 1.7899  -621.3549 -1631367.3373 363.4322
51 1.8077  -621.3524 -1631360.8309 369.9385
52 1.8255  -621.3500 -1631354.3275 376.4419
53 1.8433  -621.3475 -1631347.8373 382.9321
54 1.8611  -621.3450 -1631341.3713 389.3981
55 1.8789  -621.3426 -1631334.9370 395.8324
56 1.8967  -621.3401 -1631328.5422 402.2273
57 1.9145  -621.3377 -1631322.1940 408.5754
58 1.9323  -621.3353 -1631315.8985 414.8709
59 1.9501  -621.3330 -1631309.6613 421.1081
60 1.9679  -621.3306 -1631303.4873 427.2821
61 1.9857  -621.3283 -1631297.3805 433.3889
62 2.0034  -621.3260 -1631291.3449 439.4245
63 2.0212  -621.3237 -1631285.3838 445.3856
64 2.0390  -621.3215 -1631279.5000 451.2694
65 2.0568  -621.3193 -1631273.6958 457.0736
66 2.0746  -621.3171 -1631267.9733 462.7961
67 2.0924  -621.3149 -1631262.3341 468.4353
68 2.1102  -621.3128 -1631256.7796 473.9898
69 2.1280  -621.3107 -1631251.3110 479.4585
70 2.1458  -621.3087 -1631245.9289 484.8405
71 2.1636  -621.3067 -1631240.6341 490.1353
72 2.1814  -621.3047 -1631235.4272 495.3423
73 2.1992  -621.3027 -1631230.3083 500.4611
74 2.2170  -621.3008 -1631225.2776 505.4918
75 2.2348  -621.2989 -1631220.3351 510.4343
76 2.2526  -621.2971 -1631215.4805 515.2889
77 2.2704  -621.2953 -1631210.7141 520.0554
78 2.2882  -621.2935 -1631206.0350 524.7344
79 2.3060  -621.2917 -1631201.4429 529.3265
