0 0.9000  -1506.5046 -3955327.7860 1445.4059
1 0.9200  -1506.5680 -3955494.1750 1279.0169
2 0.9401  -1506.6238 -3955640.7122 1132.4797
3 0.9601  -1506.6728 -3955769.4926 1003.6993
4 0.9801  -1506.7158 -3955882.4117 890.7802
5 1.0001  -1506.7534 -3955981.1531 792.0388
6 1.0202  -1506.7862 -3956067.2363 705.9556
7 1.0402  -1506.8147 -3956142.0090 631.1829
8 1.0602  -1506.8393 -3956206.6729 566.5190
9 1.0802  -1506.8605 -3956262.3042 510.8877
10 1.1003  -1506.8786 -3956309.8714 463.3205
11 1.1203  -1506.8940 -3956350.2504 422.9415
12 1.1403  -1506.9070 -3956384.2322 388.9597
13 1.1603  -1506.9177 -3956412.5293 360.6626
14 1.1804  -1506.9266 -3956435.7796 337.4123
15 1.2004  -1506.9337 -3956454.5553 318.6366
16 1.2204  -1506.9394 -3956469.3680 303.8239
17 1.2404  -1506.9437 -3956480.6808 292.5111
18 1.2605  -1506.9468 -3956488.9130 284.2789
19 1.2805  -1506.9489 -3956494.4483 278.7436
20 1.3005  -1506.9502 -3956497.6346 275.5573
21 1.3205  -1506.9506 -3956498.7887 274.4032
22 1.3406  -1506.9504 -3956498.1939 274.9980
23 1.3606  -1506.9496 -3956496.1066 277.0853
24 1.3806  -1506.9483 -3956492.7606 280.4313
25 1.4006  -1506.9466 -3956488.3754 284.8165
26 1.4207  -1506.9446 -3956483.1699 290.0220
27 1.4407  -1506.9579 -3956517.8380 255.3539
28 1.4607  -1506.9571 -3956515.7386 257.4533
29 1.4807  -1506.9560 -3956513.0738 260.1181
30 1.5008  -1506.9548 -3956509.9414 263.2505
31 1.5208  -1506.9535 -3956506.4485 266.7434
32 1.5408  -1506.9521 -3956502.6188 270.5731
33 1.5608  -1506.9505 -3956498.5688 274.6232
34 1.5809  -1506.9489 -3956494.2813 278.9106
35 1.6009  -1506.9472 -3956489.8419 283.3500
36 1.6209  -1506.9454 -3956485.2623 287.9297
37 1.6409  -1506.9437 -3956480.5875 292.6044
38 1.6610  -1506.9419 -3956475.8760 297.3160
39 1.6810  -1506.9401 -3956471.1303 302.0616
40 1.7010  -1506.9383 -3956466.4098 306.7821
41 1.7210  -1506.9365 -3956461.7218 311.4702
42 1.7411  -1506.9347 -3956457.1009 316.0910
43 1.7611  -1506.9330 -3956452.5737 320.6182
44 1.7811  -1506.9313 -3956448.1662 325.0257
45 1.8011  -1506.9297 -3956443.9069 329.2850
46 1.8212  -1506.9281 -3956439.8294 333.3625
47 1.8412  -1506.9275 -3956438.2103 334.9816
48 1.8612  -1506.9838 -3956585.8566 187.3353
49 1.8812  -1506.9867 -3956593.6217 179.5702
50 1.9013  -1506.9896 -3956601.2275 171.9644
51 1.9213  -1506.9924 -3956608.6621 164.5298
52 1.9413  -1506.9952 -3956615.9153 157.2766
53 1.9613  -1506.9979 -3956622.9770 150.2149
54 1.9814  -1507.0005 -3956629.8401 143.3519
55 2.0014  -1507.0030 -3956636.4983 136.6936
56 2.0214  -1507.0055 -3956642.9464 130.2455
57 2.0414  -1507.0079 -3956649.1810 124.0110
58 2.0615  -1507.0102 -3956655.1996 117.9923
59 2.0815  -1507.0124 -3956661.0004 112.1915
60 2.1015  -1507.0145 -3956666.5823 106.6096
61 2.1215  -1507.0165 -3956671.9508 101.2411
62 2.1416  -1507.0185 -3956677.0987 96.0932
63 2.1616  -1507.0204 -3956682.0319 91.1600
64 2.1816  -1507.0222 -3956686.7533 86.4386
65 2.2016  -1507.0239 -3956691.2663 81.9256
66 2.2217  -1507.0255 -3956695.5743 77.6176
67 2.2417  -1507.0271 -3956699.6822 73.5097
68 2.2617  -1507.0286 -3956703.5943 69.5976
69 2.2817  -1507.0300 -3956707.3163 65.8756
70 2.3018  -1507.0314 -3956710.8535 62.3384
71 2.3218  -1507.0326 -3956714.2116 58.9803
72 2.3418  -1507.0339 -3956717.3970 55.7949
73 2.3618  -1507.0350 -3956720.4164 52.7755
74 2.3819  -1507.0361 -3956723.2748 49.9171
75 2.4019  -1507.0371 -3956725.9789 47.2130
76 2.4219  -1507.0381 -3956728.5349 44.6570
77 2.4419  -1507.0390 -3956730.9493 42.2426
78 2.4620  -1507.0399 -3956733.2269 39.9650
79 2.4820  -1507.0407 -3956735.3741 37.8178
80 2.5020  -1507.0415 -3956737.3959 35.7960
81 2.5220  -1507.0422 -3956739.3021 33.8898
82 2.5421  -1507.0429 -3956741.0926 32.0993
83 2.5621  -1507.0435 -3956742.7744 30.4175
84 2.5821  -1507.0441 -3956744.3529 28.8390
85 2.6021  -1507.0447 -3956745.8338 27.3581
86 2.6222  -1507.0452 -3956747.2229 25.9691
87 2.6422  -1507.0457 -3956748.5253 24.6666
88 2.6622  -1507.0462 -3956749.7444 23.4475
89 2.6822  -1507.0466 -3956750.8955 22.2964
90 2.7023  -1507.0470 -3956751.9727 21.2192
91 2.7223  -1507.0474 -3956752.9781 20.2139
92 2.7423  -1507.0478 -3956753.9319 19.2600
93 2.7623  -1507.0481 -3956754.8244 18.3675
94 2.7824  -1507.0484 -3956755.6582 17.5337
95 2.8024  -1507.0487 -3956756.4519 16.7400
96 2.8224  -1507.0490 -3956757.1907 16.0012
97 2.8424  -1507.0493 -3956757.8949 15.2970
98 2.8625  -1507.0495 -3956758.5496 14.6423
99 2.8825  -1507.0498 -3956759.1745 14.0174
100 2.9025  -1507.0500 -3956759.7548 13.4371
