0 0.9000  -1439.8345 -3780285.5935 1551.0290
1 0.9200  -1439.8961 -3780447.1189 1389.5036
2 0.9401  -1439.9503 -3780589.5406 1247.0819
3 0.9601  -1439.9981 -3780714.9949 1121.6276
4 0.9801  -1440.0401 -3780825.3985 1011.2240
5 1.0001  -1440.0771 -3780922.4997 914.1228
6 1.0202  -1440.1097 -3781007.9858 828.6368
7 1.0402  -1440.1511 -3781116.6256 719.9969
8 1.0602  -1440.1776 -3781186.2102 650.4123
9 1.0802  -1440.2007 -3781246.9049 589.7176
10 1.1003  -1440.2208 -3781299.6438 536.9787
11 1.1203  -1440.2382 -3781345.2765 491.3460
12 1.1403  -1440.2531 -3781384.5719 452.0506
13 1.1603  -1440.2659 -3781418.2210 418.4015
14 1.1804  -1440.2768 -3781446.8414 389.7811
15 1.2004  -1440.2860 -3781470.9862 365.6363
16 1.2204  -1440.2937 -3781491.1492 345.4734
17 1.2404  -1440.3000 -3781507.7735 328.8490
18 1.2605  -1440.3052 -3781521.2603 315.3623
19 1.2805  -1440.3093 -3781531.9736 304.6489
20 1.3005  -1440.3124 -3781540.2424 296.3801
21 1.3205  -1440.3147 -3781546.3653 290.2572
22 1.3406  -1440.3164 -3781550.6097 286.0129
23 1.3606  -1440.3174 -3781553.2150 283.4075
24 1.3806  -1440.3178 -3781554.3958 282.2267
25 1.4006  -1440.3178 -3781554.3457 282.2768
26 1.4207  -1440.3174 -3781553.2391 283.3834
27 1.4407  -1440.3166 -3781551.2338 285.3887
28 1.4607  -1440.3155 -3781548.4700 288.1525
29 1.4807  -1440.3143 -3781545.0747 291.5479
30 1.5008  -1440.3128 -3781541.1603 295.4622
31 1.5208  -1440.3111 -3781536.8304 299.7922
32 1.5408  -1440.3093 -3781532.1646 304.4579
33 1.5608  -1440.3137 -3781543.6788 292.9437
34 1.5809  -1440.3119 -3781538.8658 297.7567
35 1.6009  -1440.3099 -3781533.7310 302.8916
36 1.6209  -1440.3079 -3781528.3234 308.2991
37 1.6409  -1440.3057 -3781522.7075 313.9150
38 1.6610  -1440.3035 -3781516.9082 319.7143
39 1.6810  -1440.3013 -3781510.9323 325.6902
40 1.7010  -1440.2995 -3781506.3050 330.3175
41 1.7210  -1440.2971 -3781500.1264 336.4962
42 1.7411  -1440.2948 -3781493.8789 342.7436
43 1.7611  -1440.2924 -3781487.5926 349.0300
44 1.7811  -1440.2900 -3781481.2875 355.3351
45 1.8011  -1440.2876 -3781474.9816 361.6409
46 1.8212  -1440.2852 -3781468.6907 367.9318
47 1.8412  -1440.2828 -3781462.4325 374.1901
48 1.8612  -1440.2804 -3781456.2161 380.4064
49 1.8812  -1440.2781 -3781450.0558 386.5667
50 1.9013  -1440.2757 -3781443.9607 392.6619
51 1.9213  -1440.2735 -3781437.9474 398.6751
52 1.9413  -1440.2712 -3781432.0265 404.5960
53 1.9613  -1440.2690 -3781426.2616 410.3609
54 1.9814  -1440.2753 -3781442.8604 393.7621
55 2.0014  -1440.2743 -3781440.1676 396.4549
56 2.0214  -1440.2734 -3781437.7829 398.8397
57 2.0414  -1440.2811 -3781458.0735 378.5490
58 2.0615  -1440.2817 -3781459.5154 377.1072
59 2.0815  -1440.2822 -3781460.9530 375.6696
60 2.1015  -1440.2828 -3781462.3758 374.2467
61 2.1215  -1440.2833 -3781463.7853 372.8373
62 2.1416  -1440.2838 -3781465.1743 371.4482
63 2.1616  -1440.2843 -3781466.5340 370.0885
64 2.1816  -1440.2848 -3781467.8644 368.7581
65 2.2016  -1440.2853 -3781469.1572 367.4653
66 2.2217  -1440.2858 -3781470.4146 366.2079
67 2.2417  -1440.2863 -3781471.6289 364.9936
68 2.2617  -1440.2867 -3781472.8071 363.8154
69 2.2817  -1440.2872 -3781473.9393 362.6832
70 2.3018  -1440.2876 -3781475.0242 361.5983
71 2.3218  -1440.2880 -3781476.0619 360.5607
72 2.3418  -1440.2883 -3781477.0536 359.5690
73 2.3618  -1440.2887 -3781477.9970 358.6256
74 2.3819  -1440.2890 -3781478.8951 357.7274
75 2.4019  -1440.2894 -3781479.7454 356.8771
76 2.4219  -1440.2897 -3781480.5515 356.0710
77 2.4419  -1440.2900 -3781481.3163 355.3063
78 2.4620  -1440.2902 -3781482.0375 354.5850
79 2.4820  -1440.2905 -3781482.7197 353.9028
80 2.5020  -1440.2907 -3781483.3633 353.2592
81 2.5220  -1440.2910 -3781483.9691 352.6534
82 2.5421  -1440.2912 -3781484.5369 352.0856
83 2.5621  -1440.2914 -3781485.0710 351.5515
84 2.5821  -1440.2916 -3781485.5733 351.0492
85 2.6021  -1440.2918 -3781486.0429 350.5796
86 2.6222  -1440.2919 -3781486.4794 350.1432
87 2.6422  -1440.2921 -3781486.8977 349.7248
88 2.6622  -1440.2922 -3781487.2768 349.3457
89 2.6822  -1440.2924 -3781487.6285 348.9940
90 2.7023  -1440.2925 -3781487.9554 348.6671
91 2.7223  -1440.2926 -3781488.2655 348.3570
92 2.7423  -1440.2927 -3781488.5488 348.0737
93 2.7623  -1440.2928 -3781488.8097 347.8128
94 2.7824  -1440.2929 -3781489.0514 347.5712
95 2.8024  -1440.2930 -3781489.2816 347.3410
96 2.8224  -1440.2931 -3781489.4914 347.1312
97 2.8424  -1440.2932 -3781489.6841 346.9384
98 2.8625  -1440.2932 -3781489.8730 346.7495
99 2.8825  -1440.2933 -3781490.0429 346.5796
100 2.9025  -1440.2934 -3781490.2035 346.4190
101 2.9225  -1440.2934 -3781490.3560 346.2665
102 2.9426  -1440.2935 -3781490.4970 346.1255
103 2.9626  -1440.2935 -3781490.6305 345.9920
104 2.9826  -1440.2936 -3781490.7547 345.8678
105 3.0026  -1440.2936 -3781490.8648 345.7577
106 3.0227  -1440.2936 -3781490.9655 345.6570
107 3.0427  -1440.2937 -3781491.0771 345.5455
108 3.0627  -1440.2937 -3781491.1668 345.4557
109 3.0827  -1440.2938 -3781491.2595 345.3630
110 3.1028  -1440.2938 -3781491.3393 345.2833
111 3.1228  -1440.2938 -3781491.4108 345.2117
112 3.1428  -1440.2939 -3781491.5466 345.0759
113 3.1628  -1440.2939 -3781491.6298 344.9927
114 3.1829  -1440.4236 -3781832.2812 4.3413
115 3.2029  -1440.4237 -3781832.4488 4.1738
116 3.2229  -1440.4238 -3781832.6020 4.0205
117 3.2429  -1440.4238 -3781832.7423 3.8802
118 3.2630  -1440.4239 -3781832.8703 3.7522
119 3.2830  -1440.4239 -3781832.9866 3.6359
120 3.3030  -1440.4240 -3781833.0920 3.5305
121 3.3230  -1440.4240 -3781833.1870 3.4355
122 3.3431  -1440.4240 -3781833.2722 3.3503
123 3.3631  -1440.4241 -3781833.3479 3.2746
124 3.3831  -1440.4241 -3781833.4150 3.2075
125 3.4031  -1440.4241 -3781833.4977 3.1248
126 3.4232  -1440.4241 -3781833.5537 3.0688
127 3.4432  -1440.4241 -3781833.6029 3.0196
128 3.4632  -1440.4242 -3781833.6460 2.9765
129 3.4832  -1440.4242 -3781833.6840 2.9385
130 3.5033  -1440.4242 -3781833.7171 2.9054
131 3.5233  -1440.4242 -3781833.7701 2.8524
132 3.5433  -1440.4242 -3781833.8060 2.8165
133 3.5633  -1440.4242 -3781833.8365 2.7860
134 3.5834  -1440.4242 -3781833.8623 2.7603
135 3.6034  -1440.4243 -3781833.8844 2.7381
136 3.6234  -1440.4245 -3781834.4127 2.2098
137 3.6434  -1440.4245 -3781834.4691 2.1534
138 3.6635  -1440.4245 -3781834.5189 2.1037
139 3.6835  -1440.4245 -3781834.5631 2.0594
140 3.7035  -1440.4245 -3781834.6023 2.0202
141 3.7235  -1440.4246 -3781834.7221 1.9004
142 3.7436  -1440.4246 -3781834.7772 1.8453
143 3.7636  -1440.4246 -3781834.8252 1.7973
144 3.7836  -1440.4246 -3781834.8667 1.7558
145 3.8036  -1440.4247 -3781834.9508 1.6717
146 3.8237  -1440.4247 -3781835.0040 1.6185
147 3.8437  -1440.4247 -3781835.0635 1.5590
148 3.8637  -1440.4247 -3781835.1123 1.5102
149 3.8837  -1440.4247 -3781835.1677 1.4549
150 3.9038  -1440.4248 -3781835.2075 1.4151
151 3.9238  -1440.4248 -3781835.2488 1.3737
152 3.9438  -1440.4248 -3781835.2816 1.3410
153 3.9638  -1440.4248 -3781835.3225 1.3000
154 3.9839  -1440.4248 -3781835.3572 1.2653
155 4.0039  -1440.4248 -3781835.4038 1.2187
156 4.0239  -1440.4248 -3781835.4434 1.1791
157 4.0439  -1440.4249 -3781835.4908 1.1317
158 4.0640  -1440.4249 -3781835.5288 1.0937
159 4.0840  -1440.4249 -3781835.5626 1.0599
160 4.1040  -1440.4249 -3781835.6231 0.9994
161 4.1240  -1440.4249 -3781835.6659 0.9566
162 4.1441  -1440.4250 -3781835.7240 0.8985
163 4.1641  -1440.4250 -3781835.7709 0.8516
164 4.1841  -1440.4250 -3781835.8136 0.8089
165 4.2041  -1440.4250 -3781835.8623 0.7602
166 4.2242  -1440.4250 -3781835.9059 0.7166
167 4.2442  -1440.4250 -3781835.9486 0.6740
168 4.2642  -1440.4251 -3781835.9857 0.6368
169 4.2842  -1440.4251 -3781836.0293 0.5933
170 4.3043  -1440.4251 -3781836.0574 0.5652
171 4.3243  -1440.4251 -3781836.0891 0.5334
172 4.3443  -1440.4251 -3781836.1179 0.5046
173 4.3643  -1440.4251 -3781836.1469 0.4756
174 4.3844  -1440.4251 -3781836.1685 0.4540
175 4.4044  -1440.4251 -3781836.1881 0.4345
176 4.4244  -1440.4251 -3781836.2052 0.4173
177 4.4444  -1440.4251 -3781836.2204 0.4021
178 4.4645  -1440.4252 -3781836.2388 0.3837
179 4.4845  -1440.4252 -3781836.2477 0.3748
180 4.5045  -1440.4252 -3781836.2561 0.3664
181 4.5245  -1440.4252 -3781836.2637 0.3588
182 4.5446  -1440.4252 -3781836.2706 0.3519
183 4.5646  -1440.4252 -3781836.2814 0.3411
184 4.5846  -1440.4252 -3781836.2835 0.3391
185 4.6046  -1440.4252 -3781836.2953 0.3272
186 4.6247  -1440.4252 -3781836.2966 0.3259
