0 0.9000  -340.3625 -893621.6300 1272.5750
1 0.9200  -340.4279 -893793.4377 1100.7673
2 0.9401  -340.4857 -893945.2719 948.9331
3 0.9601  -340.5368 -894079.2474 814.9576
4 0.9801  -340.5817 -894197.2633 696.9417
5 1.0001  -340.6212 -894301.0201 593.1849
6 1.0202  -340.6559 -894392.0340 502.1709
7 1.0402  -340.6862 -894471.6558 422.5492
8 1.0602  -340.7127 -894541.0901 353.1149
9 1.0802  -340.7356 -894601.4165 292.7884
10 1.1003  -340.7555 -894653.6072 240.5978
11 1.1203  -340.7726 -894698.5402 195.6648
12 1.1403  -340.7873 -894737.0082 157.1968
13 1.1603  -340.7997 -894769.7246 124.4804
14 1.1804  -340.8103 -894797.3288 96.8762
15 1.2004  -340.8190 -894820.3932 73.8117
16 1.2204  -340.8263 -894839.4320 54.7730
17 1.2404  -340.8322 -894854.9080 39.2970
18 1.2605  -340.8369 -894867.2409 26.9641
19 1.2805  -340.8405 -894876.8111 17.3939
20 1.3005  -340.8433 -894883.9641 10.2409
21 1.3205  -340.8452 -894889.0124 5.1926
22 1.3406  -340.8464 -894892.2379 1.9671
23 1.3606  -340.8470 -894893.8933 0.3116
24 1.3806  -340.8472 -894894.2050 0.0000
25 1.4006  -340.8468 -894893.3758 0.8292
26 1.4207  -340.8462 -894891.5880 2.6170
27 1.4407  -340.8452 -894889.0052 5.1998
28 1.4607  -340.8439 -894885.7747 8.4303
29 1.4807  -340.8425 -894882.0281 12.1768
30 1.5008  -340.8409 -894877.8830 16.3220
31 1.5208  -340.8392 -894873.4431 20.7619
32 1.5408  -340.8375 -894868.7994 25.4056
33 1.5608  -340.8357 -894864.0305 30.1745
34 1.5809  -340.8338 -894859.2035 35.0014
35 1.6009  -340.8320 -894854.3755 39.8295
36 1.6209  -340.8302 -894849.5939 44.6111
37 1.6409  -340.8284 -894844.8980 49.3070
38 1.6610  -340.8266 -894840.3196 53.8854
39 1.6810  -340.8249 -894835.8841 58.3208
40 1.7010  -340.8233 -894831.6111 62.5939
41 1.7210  -340.8218 -894827.5152 66.6898
42 1.7411  -340.8203 -894823.6063 70.5987
43 1.7611  -340.8188 -894819.8903 74.3147
44 1.7811  -340.8175 -894816.3695 77.8355
45 1.8011  -340.8162 -894813.0433 81.1617
46 1.8212  -340.8150 -894809.9084 84.2966
47 1.8412  -340.8139 -894806.9596 87.2454
48 1.8612  -340.8129 -894804.1902 90.0148
49 1.8812  -340.8119 -894801.5924 92.6125
50 1.9013  -340.8110 -894799.1580 95.0469
51 1.9213  -340.8101 -894796.8784 97.3266
52 1.9413  -340.8093 -894794.7447 99.4602
53 1.9613  -340.8085 -894792.7484 101.4565
54 1.9814  -340.8078 -894790.8809 103.3241
55 2.0014  -340.8071 -894789.1335 105.0715
56 2.0214  -340.8065 -894787.4978 106.7072
57 2.0414  -340.8059 -894785.9654 108.2395
58 2.0615  -340.8054 -894784.5282 109.6768
59 2.0815  -340.8049 -894783.1781 111.0269
60 2.1015  -340.8044 -894781.9073 112.2977
61 2.1215  -340.8039 -894780.7087 113.4963
62 2.1416  -340.8035 -894779.5754 114.6295
63 2.1616  -340.8031 -894778.5015 115.7035
64 2.1816  -340.8027 -894777.4812 116.7238
65 2.2016  -340.8023 -894776.5097 117.6953
66 2.2217  -340.8020 -894775.5824 118.6226
67 2.2417  -340.8016 -894774.6953 119.5097
68 2.2617  -340.8013 -894773.8446 120.3604
69 2.2817  -340.8010 -894773.0269 121.1781
70 2.3018  -340.8007 -894772.2392 121.9658
71 2.3218  -340.8004 -894771.4783 122.7267
72 2.3418  -340.8001 -894770.7417 123.4633
73 2.3618  -340.7999 -894770.0267 124.1783
74 2.3819  -340.7996 -894769.3309 124.8740
75 2.4019  -340.7993 -894768.6528 125.5521
76 2.4219  -340.7991 -894767.9907 126.2143
77 2.4419  -340.7988 -894767.3432 126.8618
78 2.4620  -340.7986 -894766.7093 127.4957
79 2.4820  -340.7984 -894766.0882 128.1168
80 2.5020  -340.7981 -894765.4793 128.7257
81 2.5220  -340.7979 -894764.8820 129.3229
82 2.5421  -340.7977 -894764.2960 129.9090
83 2.5621  -340.7975 -894763.7209 130.4841
84 2.5821  -340.7972 -894763.1561 131.0489
85 2.6021  -340.7970 -894762.6013 131.6037
86 2.6222  -340.7968 -894762.0562 132.1488
87 2.6422  -340.7966 -894761.5202 132.6848
88 2.6622  -340.7964 -894760.9929 133.2121
89 2.6822  -340.7962 -894760.4741 133.7309
90 2.7023  -340.7960 -894759.9632 134.2417
91 2.7223  -340.7958 -894759.4602 134.7448
92 2.7423  -340.7956 -894758.9647 135.2403
93 2.7623  -340.7955 -894758.4767 135.7283
94 2.7824  -340.7953 -894757.9962 136.2087
95 2.8024  -340.7951 -894757.5234 136.6816
96 2.8224  -340.7949 -894757.0581 137.1469
97 2.8424  -340.7947 -894756.6009 137.6041
98 2.8625  -340.7946 -894756.1517 138.0533
99 2.8825  -340.7944 -894755.7108 138.4942
100 2.9025  -340.7942 -894755.2782 138.9267
101 2.9225  -340.7941 -894754.8542 139.3508
102 2.9426  -340.7939 -894754.4386 139.7664
103 2.9626  -340.7938 -894754.0315 140.1735
