0 0.9000  -765.0095 -2008532.3172 1458.7166
1 0.9200  -765.0746 -2008703.2319 1287.8019
2 0.9401  -765.1321 -2008854.3354 1136.6985
3 0.9601  -765.1829 -2008987.6669 1003.3669
4 0.9801  -765.2276 -2009105.1185 885.9153
5 1.0001  -765.2670 -2009208.4204 782.6134
6 1.0202  -765.3015 -2009299.0519 691.9820
7 1.0402  -765.3317 -2009378.3579 612.6759
8 1.0602  -765.3581 -2009447.5665 543.4673
9 1.0802  -765.3810 -2009507.7275 483.3063
10 1.1003  -765.4008 -2009559.8211 431.2128
11 1.1203  -765.4179 -2009604.7243 386.3095
12 1.1403  -765.4326 -2009643.2289 347.8049
13 1.1603  -765.4451 -2009676.0470 314.9868
14 1.1804  -765.4557 -2009703.8199 287.2139
15 1.2004  -765.4645 -2009727.1248 263.9090
16 1.2204  -765.4719 -2009746.4892 244.5447
17 1.2404  -765.4779 -2009762.3506 228.6832
18 1.2605  -765.4842 -2009778.8526 212.1812
19 1.2805  -765.4882 -2009789.2557 201.7781
20 1.3005  -765.4912 -2009797.2256 193.8083
21 1.3205  -765.4935 -2009803.0620 187.9718
22 1.3406  -765.4950 -2009807.0543 183.9796
23 1.3606  -765.4959 -2009809.4338 181.6000
24 1.3806  -765.4963 -2009810.4603 180.5735
25 1.4006  -765.4962 -2009810.2747 180.7592
26 1.4207  -765.4957 -2009809.0762 181.9576
27 1.4407  -765.4951 -2009807.2751 183.7587
28 1.4607  -765.4940 -2009804.5474 186.4865
29 1.4807  -765.4928 -2009801.2273 189.8065
30 1.5008  -765.4913 -2009797.4278 193.6061
31 1.5208  -765.4897 -2009793.2485 197.7854
32 1.5408  -765.4880 -2009788.7776 202.2563
33 1.5608  -765.4862 -2009784.0914 206.9425
34 1.5809  -765.4844 -2009779.2542 211.7796
35 1.6009  -765.4825 -2009774.3256 216.7083
36 1.6209  -765.4806 -2009769.3525 221.6813
37 1.6409  -765.4787 -2009764.3965 226.6374
38 1.6610  -765.4768 -2009759.4595 231.5744
39 1.6810  -765.4750 -2009754.5862 236.4476
40 1.7010  -765.4732 -2009749.8071 241.2267
41 1.7210  -765.4714 -2009745.1397 245.8941
42 1.7411  -765.4697 -2009740.6063 250.4276
43 1.7611  -765.4680 -2009736.2166 254.8172
44 1.7811  -765.4664 -2009731.9847 259.0491
45 1.8011  -765.4648 -2009727.9190 263.1148
46 1.8212  -765.4634 -2009724.0339 267.0000
47 1.8412  -765.4620 -2009720.4290 270.6048
48 1.8612  -765.4607 -2009716.9516 274.0823
49 1.8812  -765.4594 -2009713.6545 277.3794
50 1.9013  -765.4582 -2009710.5390 280.4948
51 1.9213  -765.4571 -2009707.6018 283.4320
52 1.9413  -765.4560 -2009704.8372 286.1967
53 1.9613  -765.4551 -2009702.2473 288.7866
