0 0.9000  -800.7890 -2102471.5353 1302.5689
1 0.9200  -800.8531 -2102639.7579 1134.3464
2 0.9401  -800.9098 -2102788.5898 985.5145
3 0.9601  -800.9599 -2102920.1120 853.9923
4 0.9801  -801.0042 -2103036.4093 737.6949
5 1.0001  -801.0433 -2103139.2535 634.8508
6 1.0202  -801.0780 -2103230.2632 543.8410
7 1.0402  -801.1087 -2103310.8330 463.2713
8 1.0602  -801.1357 -2103381.7807 392.3235
9 1.0802  -801.1594 -2103443.9351 330.1692
10 1.1003  -801.1800 -2103498.1968 275.9075
11 1.1203  -801.1980 -2103545.3649 228.7393
12 1.1403  -801.2136 -2103586.2176 187.8867
13 1.1603  -801.2270 -2103621.4371 152.6672
14 1.1804  -801.2385 -2103651.6319 122.4724
15 1.2004  -801.2483 -2103677.3443 96.7600
16 1.2204  -801.2565 -2103699.0580 75.0463
17 1.2404  -801.2635 -2103717.2072 56.8971
18 1.2605  -801.2692 -2103732.1840 41.9203
19 1.2805  -801.2738 -2103744.3437 29.7606
20 1.3005  -801.2775 -2103754.0084 20.0959
21 1.3205  -801.2803 -2103761.4691 12.6352
22 1.3406  -801.2824 -2103766.9871 7.1172
23 1.3606  -801.2839 -2103770.7965 3.3077
24 1.3806  -801.2847 -2103773.1064 0.9978
25 1.4006  -801.2851 -2103774.1042 0.0000
26 1.4207  -801.2851 -2103773.9585 0.1457
27 1.4407  -801.2846 -2103772.8219 1.2823
28 1.4607  -801.2839 -2103770.8315 3.2727
29 1.4807  -801.2828 -2103768.1113 5.9930
30 1.5008  -801.2816 -2103764.7722 9.3321
31 1.5208  -801.2801 -2103760.9147 13.1896
32 1.5408  -801.2785 -2103756.6266 17.4776
33 1.5608  -801.2767 -2103751.9867 22.1175
34 1.5809  -801.2748 -2103747.0646 27.0397
35 1.6009  -801.2729 -2103741.9218 32.1825
36 1.6209  -801.2708 -2103736.6128 37.4915
37 1.6409  -801.2688 -2103731.1858 42.9184
38 1.6610  -801.2667 -2103725.6836 48.4207
39 1.6810  -801.2646 -2103720.1439 53.9604
40 1.7010  -801.2625 -2103714.6000 59.5043
41 1.7210  -801.2604 -2103709.0815 65.0227
42 1.7411  -801.2583 -2103703.6138 70.4904
43 1.7611  -801.2562 -2103698.2195 75.8848
44 1.7811  -801.2542 -2103692.9179 81.1863
45 1.8011  -801.2522 -2103687.7259 86.3784
46 1.8212  -801.2503 -2103682.6575 91.4467
