0 0.9000  -1040.2244 -2731109.1810 1451.0243
1 0.9200  -1040.2877 -2731275.4014 1284.8039
2 0.9401  -1040.3435 -2731421.7307 1138.4745
3 0.9601  -1040.3924 -2731550.2847 1009.9205
4 0.9801  -1040.4353 -2731662.9590 897.2462
5 1.0001  -1040.4728 -2731761.4511 798.7541
6 1.0202  -1040.5055 -2731847.2735 712.9318
7 1.0402  -1040.5339 -2731921.7735 638.4318
8 1.0602  -1040.5584 -2731986.1546 574.0507
9 1.0802  -1040.5795 -2732041.4959 518.7093
10 1.1003  -1040.5975 -2732088.7710 471.4343
11 1.1203  -1040.6128 -2732128.8558 431.3495
12 1.1403  -1040.6256 -2732162.5423 397.6630
13 1.1603  -1040.6363 -2732190.5426 369.6626
14 1.1804  -1040.6450 -2732213.4953 346.7100
15 1.2004  -1040.6521 -2732231.9722 328.2331
16 1.2204  -1040.6576 -2732246.4869 313.7184
17 1.2404  -1040.6618 -2732257.5030 302.7022
18 1.2605  -1040.6648 -2732265.4408 294.7645
19 1.2805  -1040.6668 -2732270.6817 289.5235
20 1.3005  -1040.6679 -2732273.5739 286.6314
21 1.3205  -1040.6685 -2732275.1647 285.0406
22 1.3406  -1040.6682 -2732274.4337 285.7715
23 1.3606  -1040.6674 -2732272.2220 287.9833
24 1.3806  -1040.6661 -2732268.7943 291.4110
25 1.4006  -1040.6788 -2732302.0947 258.1105
26 1.4207  -1040.6787 -2732301.9258 258.2795
27 1.4407  -1040.6784 -2732301.0230 259.1823
28 1.4607  -1040.6803 -2732306.1034 254.1018
29 1.4807  -1040.6790 -2732302.7454 257.4599
30 1.5008  -1040.6778 -2732299.4387 260.7666
31 1.5208  -1040.6765 -2732296.0343 264.1710
32 1.5408  -1040.6750 -2732292.3216 267.8837
33 1.5608  -1040.6735 -2732288.3550 271.8503
34 1.5809  -1040.6719 -2732284.1643 276.0409
35 1.6009  -1040.6703 -2732279.8023 280.4030
36 1.6209  -1040.6686 -2732275.3155 284.8898
37 1.6409  -1040.6668 -2732270.7434 289.4618
38 1.6610  -1040.6651 -2732266.1250 294.0802
39 1.6810  -1040.6633 -2732261.4944 298.7108
40 1.7010  -1040.6615 -2732256.8825 303.3228
41 1.7210  -1040.6598 -2732252.3173 307.8880
42 1.7411  -1040.6581 -2732247.8239 312.3814
43 1.7611  -1040.6564 -2732243.4254 316.7798
44 1.7811  -1040.6548 -2732239.1413 321.0640
45 1.8011  -1040.6532 -2732234.9889 325.2164
46 1.8212  -1040.6517 -2732230.9836 329.2217
47 1.8412  -1040.6502 -2732227.1392 333.0660
48 1.8612  -1040.6488 -2732223.4691 336.7361
49 1.8812  -1040.6475 -2732219.9850 340.2202
50 1.9013  -1040.6462 -2732216.6999 343.5053
51 1.9213  -1040.6451 -2732213.6644 346.5408
52 1.9413  -1040.6440 -2732210.8345 349.3708
53 1.9613  -1040.6430 -2732208.2552 351.9501
54 1.9814  -1040.6422 -2732206.0040 354.2012
55 2.0014  -1040.6414 -2732204.0563 356.1489
56 2.0214  -1040.6408 -2732202.4330 357.7722
57 2.0414  -1040.6403 -2732201.0631 359.1421
58 2.0615  -1040.6399 -2732199.9280 360.2773
59 2.0815  -1040.6395 -2732199.1369 361.0684
60 2.1015  -1040.6394 -2732198.6969 361.5083
61 2.1215  -1040.6392 -2732198.2004 362.0049
62 2.1416  -1040.6391 -2732197.8500 362.3553
63 2.1616  -1040.6390 -2732197.5801 362.6252
64 2.1816  -1040.6389 -2732197.4211 362.7842
65 2.2016  -1040.6389 -2732197.3691 362.8361
66 2.2217  -1040.6432 -2732208.7312 351.4741
67 2.2417  -1040.6437 -2732209.9065 350.2988
68 2.2617  -1040.6441 -2732211.0435 349.1617
69 2.2817  -1040.6445 -2732212.1395 348.0658
70 2.3018  -1040.6449 -2732213.1927 347.0125
71 2.3218  -1040.6453 -2732214.2024 346.0028
72 2.3418  -1040.6457 -2732215.1678 345.0375
73 2.3618  -1040.6460 -2732216.0881 344.1171
74 2.3819  -1040.6463 -2732216.9640 343.2413
75 2.4019  -1040.6467 -2732217.7957 342.4095
76 2.4219  -1040.6470 -2732218.5845 341.6207
77 2.4419  -1040.6472 -2732219.3313 340.8740
78 2.4620  -1040.6475 -2732220.0371 340.1681
79 2.4820  -1040.6478 -2732220.7030 339.5022
80 2.5020  -1040.6480 -2732221.3311 338.8742
81 2.5220  -1040.6482 -2732221.9231 338.2822
82 2.5421  -1040.6484 -2732222.4796 337.7256
83 2.5621  -1040.6486 -2732223.0028 337.2024
84 2.5821  -1040.6488 -2732223.4928 336.7124
85 2.6021  -1040.6490 -2732223.9525 336.2528
86 2.6222  -1040.6492 -2732224.3835 335.8218
87 2.6422  -1040.6493 -2732224.7855 335.4198
88 2.6622  -1040.6495 -2732225.1580 335.0473
89 2.6822  -1040.6496 -2732225.5073 334.6980
90 2.7023  -1040.6497 -2732225.8313 334.3740
91 2.7223  -1040.6498 -2732226.1300 334.0753
92 2.7423  -1040.6499 -2732226.4086 333.7966
93 2.7623  -1040.6500 -2732226.6658 333.5394
94 2.7824  -1040.6501 -2732226.9031 333.3022
95 2.8024  -1040.6502 -2732227.1273 333.0779
96 2.8224  -1040.6503 -2732227.3319 332.8734
97 2.8424  -1040.6504 -2732227.5181 332.6872
98 2.8625  -1040.6504 -2732227.6953 332.5099
99 2.8825  -1040.6505 -2732227.8561 332.3491
100 2.9025  -1040.6505 -2732228.0018 332.2034
101 2.9225  -1040.6506 -2732228.1426 332.0627
102 2.9426  -1040.6506 -2732228.2686 331.9366
103 2.9626  -1040.6507 -2732228.3815 331.8237
104 2.9826  -1040.6507 -2732228.4945 331.7108
105 3.0026  -1040.6508 -2732228.5920 331.6133
106 3.0227  -1040.6508 -2732228.6758 331.5295
