0 0.9000  -569.0470 -1494032.8783 1585.5381
1 0.9200  -569.1122 -1494203.9623 1414.4541
2 0.9401  -569.1692 -1494353.6289 1264.7875
3 0.9601  -569.2195 -1494485.8172 1132.5992
4 0.9801  -569.2639 -1494602.3690 1016.0474
5 1.0001  -569.3030 -1494705.0178 913.3986
6 1.0202  -569.3373 -1494795.2118 823.2047
7 1.0402  -569.3676 -1494874.5963 743.8202
8 1.0602  -569.3940 -1494944.0666 674.3498
9 1.0802  -569.4172 -1495004.8041 613.6123
10 1.1003  -569.4374 -1495057.7916 560.6248
11 1.1203  -569.4549 -1495103.8947 514.5218
12 1.1403  -569.4702 -1495143.9967 474.4197
13 1.1603  -569.4835 -1495178.8641 439.5523
14 1.1804  -569.4950 -1495209.0526 409.3639
15 1.2004  -569.5049 -1495235.0253 383.3911
16 1.2204  -569.5133 -1495257.2211 361.1953
17 1.2404  -569.5205 -1495276.0103 342.4061
18 1.2605  -569.5265 -1495291.7271 326.6893
19 1.2805  -569.5314 -1495304.6976 313.7189
20 1.3005  -569.5354 -1495315.2198 303.1967
21 1.3205  -569.5386 -1495323.5670 294.8495
22 1.3406  -569.5410 -1495329.9865 288.4299
23 1.3606  -569.5428 -1495334.6993 283.7171
24 1.3806  -569.5440 -1495337.9006 280.5158
25 1.4006  -569.5448 -1495339.7642 278.6522
26 1.4207  -569.5450 -1495340.4464 277.9700
27 1.4407  -569.5449 -1495340.0878 278.3287
28 1.4607  -569.5444 -1495338.8152 279.6012
29 1.4807  -569.5436 -1495336.7469 281.6695
30 1.5008  -569.5426 -1495333.9833 284.4331
31 1.5208  -569.5413 -1495330.6212 287.7953
32 1.5408  -569.5398 -1495326.7435 291.6730
33 1.5608  -569.5382 -1495322.4252 295.9912
34 1.5809  -569.5364 -1495317.7342 300.6822
35 1.6009  -569.5345 -1495312.7305 305.6859
36 1.6209  -569.5325 -1495307.4695 310.9470
37 1.6409  -569.5304 -1495302.0002 316.4162
38 1.6610  -569.5282 -1495296.3698 322.0466
39 1.6810  -569.5260 -1495290.6196 327.7968
40 1.7010  -569.5238 -1495284.7902 333.6262
41 1.7210  -569.5216 -1495278.9193 339.4972
42 1.7411  -569.5193 -1495273.0438 345.3727
43 1.7611  -569.5171 -1495267.1996 351.2168
44 1.7811  -569.5149 -1495261.4226 356.9939
45 1.8011  -569.5128 -1495255.7477 362.6687
46 1.8212  -569.5107 -1495250.2122 368.2042
47 1.8412  -569.5086 -1495244.8605 373.5560
48 1.8612  -569.5067 -1495239.7514 378.6650
49 1.8812  -569.5048 -1495234.9335 383.4829
50 1.9013  -569.5031 -1495230.4143 388.0022
51 1.9213  -569.5015 -1495226.2342 392.1822
52 1.9413  -569.5001 -1495222.5313 395.8851
53 1.9613  -569.4989 -1495219.4486 398.9679
54 1.9814  -569.5102 -1495249.0220 369.3944
55 2.0014  -569.5109 -1495250.7417 367.6747
56 2.0214  -569.5115 -1495252.4627 365.9537
57 2.0414  -569.5122 -1495254.1895 364.2269
58 2.0615  -569.5128 -1495255.9114 362.5050
59 2.0815  -569.5135 -1495257.6197 360.7968
60 2.1015  -569.5141 -1495259.3063 359.1101
61 2.1215  -569.5147 -1495260.9644 357.4520
62 2.1416  -569.5154 -1495262.5882 355.8283
63 2.1616  -569.5160 -1495264.1728 354.2436
64 2.1816  -569.5166 -1495265.7156 352.7008
65 2.2016  -569.5171 -1495267.2102 351.2062
66 2.2217  -569.5177 -1495268.6551 349.7613
67 2.2417  -569.5182 -1495270.0520 348.3644
68 2.2617  -569.5187 -1495271.3920 347.0245
69 2.2817  -569.5192 -1495272.6785 345.7379
70 2.3018  -569.5197 -1495273.9093 344.5071
71 2.3218  -569.5201 -1495275.0850 343.3314
72 2.3418  -569.5206 -1495276.2058 342.2106
73 2.3618  -569.5210 -1495277.2723 341.1441
74 2.3819  -569.5213 -1495278.2853 340.1311
75 2.4019  -569.5217 -1495279.2460 339.1704
76 2.4219  -569.5221 -1495280.1555 338.2610
77 2.4419  -569.5224 -1495281.0152 337.4012
78 2.4620  -569.5227 -1495281.8269 336.5895
79 2.4820  -569.5230 -1495282.5921 335.8243
80 2.5020  -569.5233 -1495283.3129 335.1035
81 2.5220  -569.5235 -1495283.9905 334.4259
82 2.5421  -569.5238 -1495284.6267 333.7898
83 2.5621  -569.5240 -1495285.2230 333.1934
84 2.5821  -569.5242 -1495285.7812 332.6352
85 2.6021  -569.5244 -1495286.3030 332.1135
86 2.6222  -569.5246 -1495286.7899 331.6265
87 2.6422  -569.5248 -1495287.2416 331.1748
88 2.6622  -569.5249 -1495287.6633 330.7531
89 2.6822  -569.5251 -1495288.0562 330.3602
90 2.7023  -569.5252 -1495288.4213 329.9951
91 2.7223  -569.5253 -1495288.7614 329.6550
92 2.7423  -569.5255 -1495289.0892 329.3273
93 2.7623  -569.5256 -1495289.3814 329.0350
94 2.7824  -569.5257 -1495289.6495 328.7669
95 2.8024  -569.5258 -1495289.8977 328.5187
96 2.8224  -569.5259 -1495290.1271 328.2894
97 2.8424  -569.5260 -1495290.4851 327.9313
98 2.8625  -569.5261 -1495290.6867 327.7297
99 2.8825  -569.5261 -1495290.8721 327.5443
100 2.9025  -569.5262 -1495291.0421 327.3743
101 2.9225  -569.5263 -1495291.2023 327.2141
102 2.9426  -569.5263 -1495291.3483 327.0681
103 2.9626  -569.5264 -1495291.4806 326.9358
104 2.9826  -569.5264 -1495291.6021 326.8143
105 3.0026  -569.5265 -1495291.7231 326.6933
106 3.0227  -569.5265 -1495291.8271 326.5893
107 3.0427  -569.5265 -1495291.9193 326.4972
108 3.0627  -569.5266 -1495292.0033 326.4131
109 3.0827  -569.5266 -1495292.0743 326.3421
110 3.1028  -569.5266 -1495292.1681 326.2483
111 3.1228  -569.5267 -1495292.2350 326.1814
112 3.1428  -569.5267 -1495292.2926 326.1238
113 3.1628  -569.5267 -1495292.3396 326.0768
114 3.1829  -569.5267 -1495292.4223 325.9942
115 3.2029  -569.5267 -1495292.4745 325.9420
116 3.2229  -569.5268 -1495292.5150 325.9015
117 3.2429  -569.5268 -1495292.5867 325.8297
118 3.2630  -569.5268 -1495292.6313 325.7851
119 3.2830  -569.5268 -1495292.6883 325.7281
120 3.3030  -569.5268 -1495292.7337 325.6827
121 3.3230  -569.5269 -1495292.7692 325.6472
122 3.3431  -569.5269 -1495292.8172 325.5993
123 3.3631  -569.5269 -1495292.8649 325.5516
124 3.3831  -569.5269 -1495292.9089 325.5075
125 3.4031  -569.5269 -1495292.9588 325.4576
126 3.4232  -569.5269 -1495293.0047 325.4118
127 3.4432  -569.5270 -1495293.0565 325.3599
128 3.4632  -569.5270 -1495293.1061 325.3103
129 3.4832  -569.5270 -1495293.1614 325.2550
130 3.5033  -569.5270 -1495293.2187 325.1977
131 3.5233  -569.5271 -1495293.2843 325.1321
132 3.5433  -569.5271 -1495293.3422 325.0742
133 3.5633  -569.6506 -1495617.5767 0.8397
134 3.5834  -569.6506 -1495617.5963 0.8201
135 3.6034  -569.6506 -1495617.6113 0.8051
136 3.6234  -569.6506 -1495617.6223 0.7941
137 3.6434  -569.6506 -1495617.6325 0.7839
138 3.6635  -569.6506 -1495617.6376 0.7788
