0 0.9000  -416.3922 -1093237.6605 1585.0744
1 0.9200  -416.4541 -1093400.1703 1422.5647
2 0.9401  -416.5087 -1093543.6536 1279.0813
3 0.9601  -416.5569 -1093670.2007 1152.5342
4 0.9801  -416.5994 -1093781.7026 1041.0324
5 1.0001  -416.6386 -1093884.5204 938.2145
6 1.0202  -416.6741 -1093977.7757 844.9593
7 1.0402  -416.7056 -1094060.5526 762.1823
8 1.0602  -416.7334 -1094133.5008 689.2341
9 1.0802  -416.7578 -1094197.6176 625.1174
10 1.1003  -416.7792 -1094253.8086 568.9263
11 1.1203  -416.7979 -1094302.8942 519.8408
12 1.1403  -416.8142 -1094345.6159 477.1190
13 1.1603  -416.8283 -1094382.6416 440.0934
14 1.1804  -416.8404 -1094414.5692 408.1657
15 1.2004  -416.8509 -1094441.9337 380.8012
16 1.2204  -416.8597 -1094465.2143 357.5207
17 1.2404  -416.8672 -1094484.8427 337.8923
18 1.2605  -416.8734 -1094501.2093 321.5257
19 1.2805  -416.8786 -1094514.6696 308.0654
20 1.3005  -416.8827 -1094525.5440 297.1910
21 1.3205  -416.8860 -1094534.1236 288.6113
22 1.3406  -416.8885 -1094540.6691 282.0659
23 1.3606  -416.8903 -1094545.4142 277.3208
24 1.3806  -416.8915 -1094548.5676 274.1674
25 1.4006  -416.8921 -1094550.3164 272.4186
26 1.4207  -416.8923 -1094550.8285 271.9065
27 1.4407  -416.8921 -1094550.2554 272.4795
28 1.4607  -416.8915 -1094548.7343 274.0007
29 1.4807  -416.8906 -1094546.3902 276.3448
30 1.5008  -416.8896 -1094543.6275 279.1074
31 1.5208  -416.8883 -1094540.1483 282.5867
32 1.5408  -416.8868 -1094536.1630 286.5720
33 1.5608  -416.8851 -1094531.7399 290.9951
34 1.5809  -416.8832 -1094526.9404 295.7946
35 1.6009  -416.8813 -1094521.8195 300.9154
36 1.6209  -416.8792 -1094516.4255 306.3094
37 1.6409  -416.8771 -1094510.8005 311.9344
38 1.6610  -416.8749 -1094504.9829 317.7520
39 1.6810  -416.8726 -1094499.0066 323.7283
40 1.7010  -416.8703 -1094492.9045 329.8305
41 1.7210  -416.8679 -1094486.7050 336.0299
42 1.7411  -416.8655 -1094480.4345 342.3004
43 1.7611  -416.8631 -1094474.1165 348.6185
44 1.7811  -416.8607 -1094467.7704 354.9645
45 1.8011  -416.8583 -1094461.4151 361.3198
46 1.8212  -416.8559 -1094455.0667 367.6683
47 1.8412  -416.8535 -1094448.7384 373.9965
48 1.8612  -416.8511 -1094442.4440 380.2910
49 1.8812  -416.8487 -1094436.1895 386.5455
50 1.9013  -416.8463 -1094429.9840 392.7510
51 1.9213  -416.8440 -1094423.8339 398.9011
52 1.9413  -416.8416 -1094417.7455 404.9894
53 1.9613  -416.8394 -1094411.7243 411.0107
54 1.9814  -416.8371 -1094405.7745 416.9605
55 2.0014  -416.8349 -1094399.9002 422.8348
56 2.0214  -416.8326 -1094394.1036 428.6313
57 2.0414  -416.8305 -1094388.3884 434.3466
58 2.0615  -416.8283 -1094382.7556 439.9794
59 2.0815  -416.8262 -1094377.2060 445.5289
60 2.1015  -416.8241 -1094371.7402 450.9948
61 2.1215  -416.8221 -1094366.3597 456.3752
62 2.1416  -416.8201 -1094361.0626 461.6724
63 2.1616  -416.8181 -1094355.8504 466.8846
64 2.1816  -416.8161 -1094350.7237 472.0112
65 2.2016  -416.8142 -1094345.6824 477.0525
66 2.2217  -416.8123 -1094340.7264 482.0085
67 2.2417  -416.8105 -1094335.8556 486.8793
68 2.2617  -416.8086 -1094331.0699 491.6651
69 2.2817  -416.8068 -1094326.3688 496.3662
70 2.3018  -416.8051 -1094321.7522 500.9828
71 2.3218  -416.8034 -1094317.2197 505.5152
72 2.3418  -416.8017 -1094312.7713 509.9637
73 2.3618  -416.8000 -1094308.4064 514.3285
74 2.3819  -416.7984 -1094304.1247 518.6103
75 2.4019  -416.7968 -1094299.9258 522.8091
76 2.4219  -416.7952 -1094295.8095 526.9255
77 2.4419  -416.7937 -1094291.7756 530.9593
78 2.4620  -416.7922 -1094287.8240 534.9109
79 2.4820  -416.7907 -1094283.9546 538.7803
80 2.5020  -416.7893 -1094280.1946 542.5404
81 2.5220  -416.7878 -1094276.4890 546.2459
82 2.5421  -416.7865 -1094272.8670 549.8679
83 2.5621  -416.7851 -1094269.3291 553.4059
84 2.5821  -416.7838 -1094265.8770 556.8579
85 2.6021  -416.7825 -1094262.5137 560.2213
86 2.6222  -416.7813 -1094259.2439 563.4911
87 2.6422  -416.7801 -1094256.0764 566.6585
88 2.6622  -416.7789 -1094253.0312 569.7038
89 2.6822  -416.9883 -1094802.8765 19.8585
90 2.7023  -416.9888 -1094803.9777 18.7572
91 2.7223  -416.9891 -1094805.0053 17.7297
92 2.7423  -416.9895 -1094805.9641 16.7709
93 2.7623  -416.9899 -1094806.8586 15.8763
94 2.7824  -416.9902 -1094807.6928 15.0422
95 2.8024  -416.9905 -1094808.4701 14.2648
96 2.8224  -416.9907 -1094809.1940 13.5410
97 2.8424  -416.9910 -1094809.8673 12.8677
98 2.8625  -416.9912 -1094810.4930 12.2420
99 2.8825  -416.9915 -1094811.0735 11.6614
100 2.9025  -416.9917 -1094811.6117 11.1233
101 2.9225  -416.9919 -1094812.1098 10.6251
102 2.9426  -416.9920 -1094812.5705 10.1645
103 2.9626  -416.9922 -1094812.9961 9.7389
104 2.9826  -416.9923 -1094813.3885 9.3465
105 3.0026  -416.9925 -1094813.7504 8.9845
106 3.0227  -416.9926 -1094814.0844 8.6505
107 3.0427  -416.9927 -1094814.3927 8.3422
108 3.0627  -416.9928 -1094814.6763 8.0586
109 3.0827  -416.9929 -1094814.9382 7.7968
110 3.1028  -416.9930 -1094815.1805 7.5545
111 3.1228  -416.9931 -1094815.4053 7.3297
112 3.1428  -416.9932 -1094815.6487 7.0862
113 3.1628  -416.9933 -1094815.8458 6.8891
114 3.1829  -416.9933 -1094816.0275 6.7075
115 3.2029  -416.9934 -1094816.1954 6.5395
116 3.2229  -416.9935 -1094816.3512 6.3838
117 3.2429  -416.9936 -1094816.6051 6.1299
118 3.2630  -416.9936 -1094816.7548 5.9802
119 3.2830  -416.9937 -1094816.8928 5.8421
120 3.3030  -416.9937 -1094817.0202 5.7148
121 3.3230  -416.9938 -1094817.1374 5.5976
122 3.3431  -416.9938 -1094817.2452 5.4897
123 3.3631  -416.9938 -1094817.3444 5.3906
124 3.3831  -416.9939 -1094817.4597 5.2752
125 3.4031  -416.9939 -1094817.5474 5.1876
126 3.4232  -416.9940 -1094817.6269 5.1080
127 3.4432  -416.9940 -1094817.6998 5.0352
128 3.4632  -416.9940 -1094817.8762 4.8587
129 3.4832  -416.9941 -1094817.9573 4.7776
130 3.5033  -416.9941 -1094818.0335 4.7015
131 3.5233  -416.9942 -1094818.1419 4.5930
132 3.5433  -416.9942 -1094818.2353 4.4996
133 3.5633  -416.9942 -1094818.3248 4.4102
134 3.5834  -416.9943 -1094818.4247 4.3102
135 3.6034  -416.9943 -1094818.5217 4.2132
136 3.6234  -416.9943 -1094818.6196 4.1153
137 3.6434  -416.9944 -1094818.7158 4.0192
138 3.6635  -416.9944 -1094818.8130 3.9220
139 3.6835  -416.9944 -1094818.9098 3.8252
140 3.7035  -416.9945 -1094819.0039 3.7311
141 3.7235  -416.9945 -1094819.0963 3.6387
142 3.7436  -416.9945 -1094819.1873 3.5476
143 3.7636  -416.9946 -1094819.2744 3.4605
144 3.7836  -416.9946 -1094819.3592 3.3757
145 3.8036  -416.9946 -1094819.4469 3.2880
146 3.8237  -416.9947 -1094819.5313 3.2037
147 3.8437  -416.9947 -1094819.6136 3.1213
148 3.8637  -416.9947 -1094819.6985 3.0365
149 3.8837  -416.9948 -1094819.7797 2.9552
150 3.9038  -416.9948 -1094819.8576 2.8774
151 3.9238  -416.9948 -1094819.9376 2.7973
152 3.9438  -416.9949 -1094820.0129 2.7221
153 3.9638  -416.9949 -1094820.0849 2.6501
154 3.9839  -416.9949 -1094820.1561 2.5789
155 4.0039  -416.9949 -1094820.2267 2.5082
156 4.0239  -416.9950 -1094820.2981 2.4369
157 4.0439  -416.9950 -1094820.3629 2.3721
158 4.0640  -416.9950 -1094820.4327 2.3022
159 4.0840  -416.9950 -1094820.5000 2.2349
160 4.1040  -416.9951 -1094820.5654 2.1695
161 4.1240  -416.9951 -1094820.6287 2.1062
162 4.1441  -416.9951 -1094820.6902 2.0448
163 4.1641  -416.9951 -1094820.7499 1.9850
164 4.1841  -416.9952 -1094820.8086 1.9264
165 4.2041  -416.9952 -1094820.8664 1.8685
166 4.2242  -416.9952 -1094820.9234 1.8116
167 4.2442  -416.9952 -1094820.9795 1.7555
168 4.2642  -416.9953 -1094821.0343 1.7006
169 4.2842  -416.9953 -1094821.0878 1.6471
170 4.3043  -416.9953 -1094821.1400 1.5949
171 4.3243  -416.9953 -1094821.1909 1.5440
172 4.3443  -416.9953 -1094821.2406 1.4944
173 4.3643  -416.9953 -1094821.2888 1.4461
174 4.3844  -416.9954 -1094821.3350 1.3999
175 4.4044  -416.9954 -1094821.3802 1.3547
176 4.4244  -416.9954 -1094821.4196 1.3154
177 4.4444  -416.9954 -1094821.4697 1.2652
178 4.4645  -416.9954 -1094821.5108 1.2242
179 4.4845  -416.9955 -1094821.5612 1.1738
180 4.5045  -416.9955 -1094821.6023 1.1326
181 4.5245  -416.9955 -1094821.6522 1.0828
182 4.5446  -416.9955 -1094821.6927 1.0422
183 4.5646  -416.9955 -1094821.7405 0.9945
184 4.5846  -416.9955 -1094821.7790 0.9559
185 4.6046  -416.9956 -1094821.8255 0.9095
186 4.6247  -416.9956 -1094821.8634 0.8715
187 4.6447  -416.9956 -1094821.9087 0.8262
188 4.6647  -416.9956 -1094821.9472 0.7878
189 4.6847  -416.9956 -1094821.9896 0.7453
190 4.7048  -416.9956 -1094822.0286 0.7063
191 4.7248  -416.9956 -1094822.0675 0.6675
192 4.7448  -416.9957 -1094822.1071 0.6278
193 4.7648  -416.9957 -1094822.1411 0.5938
194 4.7849  -416.9957 -1094822.1769 0.5581
195 4.8049  -416.9957 -1094822.2139 0.5211
196 4.8249  -416.9957 -1094822.2528 0.4821
197 4.8449  -416.9957 -1094822.2891 0.4458
198 4.8650  -416.9957 -1094822.3236 0.4114
199 4.8850  -416.9958 -1094822.3600 0.3750
200 4.9050  -416.9958 -1094822.3934 0.3416
201 4.9250  -416.9958 -1094822.4300 0.3050
202 4.9451  -416.9958 -1094822.4596 0.2753
203 4.9651  -416.9958 -1094822.4925 0.2425
204 4.9851  -416.9958 -1094822.5187 0.2163
205 5.0051  -416.9958 -1094822.5527 0.1822
206 5.0252  -416.9958 -1094822.5770 0.1580
207 5.0452  -416.9958 -1094822.5959 0.1390
208 5.0652  -416.9959 -1094822.6437 0.0913
209 5.0852  -416.9959 -1094822.6570 0.0779
210 5.1053  -416.9959 -1094822.6648 0.0702
211 5.1253  -416.9959 -1094822.6787 0.0563
212 5.1453  -416.9959 -1094822.6959 0.0391
213 5.1653  -416.9959 -1094822.6844 0.0505
214 5.1854  -416.9959 -1094822.7350 0.0000
215 5.2054  -416.9959 -1094822.7204 0.0145
216 5.2254  -416.9959 -1094822.6960 0.0389
217 5.2454  -416.9959 -1094822.6635 0.0715
218 5.2655  -416.9959 -1094822.6236 0.1114
219 5.2855  -416.9958 -1094822.5762 0.1588
220 5.3055  -416.9958 -1094822.5212 0.2138
221 5.3255  -416.9958 -1094822.4646 0.2703
222 5.3456  -416.9958 -1094822.3996 0.3354
223 5.3656  -416.9958 -1094822.3904 0.3445
224 5.3856  -416.9957 -1094822.3178 0.4172
225 5.4056  -416.9957 -1094822.2395 0.4954
226 5.4257  -416.9957 -1094822.1586 0.5763
227 5.4457  -416.9956 -1094822.0713 0.6637
228 5.4657  -416.9956 -1094821.9803 0.7546
229 5.4857  -416.9956 -1094821.8860 0.8489
230 5.5058  -416.9955 -1094821.7890 0.9459
231 5.5258  -416.9955 -1094821.6896 1.0453
232 5.5458  -416.9955 -1094821.5882 1.1468
233 5.5658  -416.9954 -1094821.4850 1.2499
234 5.5859  -416.9954 -1094821.3804 1.3546
235 5.6059  -416.9953 -1094821.2744 1.4605
236 5.6259  -416.9953 -1094821.1676 1.5674
237 5.6459  -416.9953 -1094821.0600 1.6750
238 5.6660  -416.9952 -1094820.9519 1.7830
239 5.6860  -416.9952 -1094820.8438 1.8912
240 5.7060  -416.9951 -1094820.7356 1.9993
241 5.7260  -416.9951 -1094820.6278 2.1072
242 5.7461  -416.9951 -1094820.5204 2.2146
243 5.7661  -416.9950 -1094820.4136 2.3214
244 5.7861  -416.9950 -1094820.3074 2.4275
245 5.8061  -416.9949 -1094820.2021 2.5328
246 5.8262  -416.9949 -1094820.0976 2.6373
247 5.8462  -416.9949 -1094819.9941 2.7408
248 5.8662  -416.9948 -1094819.8917 2.8432
249 5.8862  -416.9948 -1094819.7906 2.9443
250 5.9063  -416.9947 -1094819.6909 3.0441
251 5.9263  -416.9947 -1094819.5926 3.1423
252 5.9463  -416.9947 -1094819.4960 3.2390
253 5.9663  -416.9946 -1094819.4009 3.3341
254 5.9864  -416.9946 -1094819.3073 3.4277
255 6.0064  -416.9946 -1094819.2152 3.5198
256 6.0264  -416.9945 -1094819.1246 3.6104
257 6.0464  -416.9945 -1094819.0355 3.6995
258 6.0665  -416.9945 -1094818.9480 3.7870
259 6.0865  -416.9944 -1094818.8621 3.8729
260 6.1065  -416.9944 -1094818.7779 3.9570
261 6.1265  -416.9944 -1094818.6955 4.0395
262 6.1466  -416.9943 -1094818.6149 4.1201
263 6.1666  -416.9943 -1094818.5359 4.1990
264 6.1866  -416.9943 -1094818.4586 4.2763
265 6.2066  -416.9942 -1094818.3828 4.3522
266 6.2267  -416.9942 -1094818.3082 4.4267
267 6.2467  -416.9942 -1094818.2349 4.5001
268 6.2667  -416.9942 -1094818.1627 4.5722
269 6.2867  -416.9941 -1094818.0918 4.6432
270 6.3068  -416.9941 -1094818.0220 4.7130
271 6.3268  -416.9941 -1094817.9535 4.7814
272 6.3468  -416.9941 -1094817.8864 4.8486
273 6.3668  -416.9940 -1094817.8207 4.9142
274 6.3869  -416.9940 -1094817.7566 4.9784
275 6.4069  -416.9940 -1094817.6940 5.0409
276 6.4269  -416.9940 -1094817.6331 5.1019
277 6.4469  -416.9939 -1094817.5739 5.1611
278 6.4670  -416.9939 -1094817.5158 5.2191
279 6.4870  -416.9939 -1094817.4599 5.2750
280 6.5070  -416.9939 -1094817.4050 5.3299
281 6.5270  -416.9938 -1094817.3523 5.3826
282 6.5471  -416.9938 -1094817.3006 5.4344
283 6.5671  -416.9938 -1094817.2510 5.4839
284 6.5871  -416.9938 -1094817.2024 5.5326
285 6.6071  -416.9938 -1094817.1558 5.5792
286 6.6272  -416.9938 -1094817.1098 5.6252
287 6.6472  -416.9937 -1094817.0654 5.6695
288 6.6672  -416.9937 -1094817.0215 5.7135
289 6.6872  -416.9937 -1094816.9800 5.7550
290 6.7073  -416.9937 -1094816.9384 5.7966
291 6.7273  -416.9937 -1094816.8979 5.8371
292 6.7473  -416.9937 -1094816.8581 5.8769
293 6.7673  -416.9936 -1094816.8194 5.9155
294 6.7874  -416.9936 -1094816.7816 5.9534
295 6.8074  -416.9936 -1094816.7450 5.9900
296 6.8274  -416.9936 -1094816.7091 6.0258
297 6.8474  -416.9936 -1094816.6746 6.0604
298 6.8675  -416.9936 -1094816.6408 6.0942
299 6.8875  -416.9936 -1094816.6084 6.1266
300 6.9075  -416.9936 -1094816.5768 6.1582
301 6.9275  -416.9935 -1094816.5466 6.1883
302 6.9476  -416.9935 -1094816.5174 6.2176
303 6.9676  -416.9935 -1094816.4897 6.2453
304 6.9876  -416.9935 -1094816.4627 6.2723
305 7.0076  -416.9935 -1094816.4372 6.2978
306 7.0277  -416.9935 -1094816.4124 6.3226
307 7.0477  -416.9935 -1094816.3890 6.3459
308 7.0677  -416.9935 -1094816.3660 6.3689
309 7.0877  -416.9935 -1094816.3403 6.3946
310 7.1078  -416.9935 -1094816.3197 6.4152
311 7.1278  -416.9934 -1094816.2996 6.4353
312 7.1478  -416.9934 -1094816.2801 6.4548
313 7.1678  -416.9934 -1094816.2612 6.4738
314 7.1879  -416.9934 -1094816.2428 6.4922
315 7.2079  -416.9934 -1094816.2250 6.5100
316 7.2279  -416.9934 -1094816.2077 6.5273
317 7.2479  -416.9934 -1094816.1909 6.5441
318 7.2680  -416.9934 -1094816.1746 6.5604
319 7.2880  -416.9934 -1094816.1587 6.5762
320 7.3080  -416.9934 -1094816.1433 6.5916
321 7.3280  -416.9934 -1094816.1285 6.6065
322 7.3481  -416.9934 -1094816.1141 6.6209
323 7.3681  -416.9934 -1094816.1002 6.6347
324 7.3881  -416.9934 -1094816.0868 6.6481
325 7.4081  -416.9934 -1094816.0740 6.6609
326 7.4282  -416.9934 -1094816.0617 6.6732
327 7.4482  -416.9934 -1094816.0499 6.6851
328 7.4682  -416.9933 -1094816.0385 6.6965
329 7.4882  -416.9933 -1094816.0274 6.7076
330 7.5083  -416.9933 -1094816.0166 6.7184
331 7.5283  -416.9933 -1094816.0060 6.7289
332 7.5483  -416.9933 -1094815.9957 6.7392
333 7.5683  -416.9933 -1094815.9857 6.7493
334 7.5884  -416.9933 -1094815.9759 6.7591
335 7.6084  -416.9933 -1094815.9663 6.7687
336 7.6284  -416.9933 -1094815.9570 6.7780
337 7.6484  -416.9933 -1094815.9479 6.7870
338 7.6685  -416.9933 -1094815.9391 6.7959
339 7.6885  -416.9933 -1094815.9304 6.8045
340 7.7085  -416.9933 -1094815.9221 6.8129
341 7.7285  -416.9933 -1094815.9139 6.8210
342 7.7486  -416.9933 -1094815.9059 6.8290
343 7.7686  -416.9933 -1094815.8981 6.8368
344 7.7886  -416.9933 -1094815.8906 6.8444
345 7.8086  -416.9933 -1094815.8832 6.8518
346 7.8287  -416.9933 -1094815.8760 6.8590
347 7.8487  -416.9933 -1094815.8690 6.8660
348 7.8687  -416.9933 -1094815.8621 6.8729
349 7.8887  -416.9933 -1094815.8554 6.8795
350 7.9088  -416.9933 -1094815.8489 6.8860
351 7.9288  -416.9933 -1094815.8426 6.8924
352 7.9488  -416.9933 -1094815.8364 6.8986
353 7.9688  -416.9933 -1094815.8304 6.9046
354 7.9889  -416.9933 -1094815.8245 6.9104
355 8.0089  -416.9933 -1094815.8187 6.9162
356 8.0289  -416.9933 -1094815.8131 6.9219
357 8.0489  -416.9933 -1094815.8075 6.9275
358 8.0690  -416.9933 -1094815.8020 6.9329
359 8.0890  -416.9933 -1094815.7966 6.9384
360 8.1090  -416.9933 -1094815.7913 6.9437
361 8.1290  -416.9933 -1094815.7861 6.9489
362 8.1491  -416.9933 -1094815.7809 6.9540
363 8.1691  -416.9932 -1094815.7759 6.9591
364 8.1891  -416.9932 -1094815.7709 6.9641
365 8.2091  -416.9932 -1094815.7660 6.9689
366 8.2292  -416.9932 -1094815.7612 6.9737
367 8.2492  -416.9932 -1094815.7565 6.9784
368 8.2692  -416.9932 -1094815.7519 6.9831
369 8.2892  -416.9932 -1094815.7473 6.9877
370 8.3093  -416.9932 -1094815.7428 6.9921
371 8.3293  -416.9932 -1094815.7384 6.9965
372 8.3493  -416.9932 -1094815.7341 7.0009
373 8.3693  -416.9932 -1094815.7298 7.0051
374 8.3894  -416.9932 -1094815.7256 7.0093
375 8.4094  -416.9932 -1094815.7215 7.0134
376 8.4294  -416.9932 -1094815.7175 7.0175
377 8.4494  -416.9932 -1094815.7135 7.0215
378 8.4695  -416.9932 -1094815.7096 7.0254
379 8.4895  -416.9932 -1094815.7058 7.0292
380 8.5095  -416.9932 -1094815.7020 7.0330
381 8.5295  -416.9932 -1094815.6983 7.0366
382 8.5496  -416.9932 -1094815.6947 7.0403
383 8.5696  -416.9932 -1094815.6911 7.0438
384 8.5896  -416.9932 -1094815.6876 7.0473
385 8.6096  -416.9932 -1094815.6842 7.0508
386 8.6297  -416.9932 -1094815.6808 7.0541
387 8.6497  -416.9932 -1094815.6775 7.0574
388 8.6697  -416.9932 -1094815.6742 7.0607
389 8.6897  -416.9932 -1094815.6710 7.0640
390 8.7098  -416.9932 -1094815.6678 7.0671
391 8.7298  -416.9932 -1094815.6647 7.0703
392 8.7498  -416.9932 -1094815.6616 7.0734
393 8.7698  -416.9932 -1094815.6585 7.0764
394 8.7899  -416.9932 -1094815.6556 7.0794
395 8.8099  -416.9932 -1094815.6526 7.0824
396 8.8299  -416.9932 -1094815.6497 7.0853
397 8.8499  -416.9932 -1094815.6468 7.0881
398 8.8700  -416.9932 -1094815.6440 7.0910
399 8.8900  -416.9932 -1094815.6412 7.0937
400 8.9100  -416.9932 -1094815.6385 7.0965
401 8.9300  -416.9932 -1094815.6358 7.0992
402 8.9501  -416.9932 -1094815.6331 7.1018
403 8.9701  -416.9932 -1094815.6305 7.1044
