0 0.9000  -1302.0101 -3418427.5997 1449.3063
1 0.9200  -1302.0734 -3418593.6074 1283.2986
2 0.9401  -1302.1290 -3418739.7764 1137.1296
3 0.9601  -1302.1779 -3418868.2013 1008.7047
4 0.9801  -1302.2208 -3418980.7698 896.1362
5 1.0001  -1302.2583 -3419079.1763 797.7297
6 1.0202  -1302.2910 -3419164.9320 711.9740
7 1.0402  -1302.3193 -3419239.3814 637.5246
8 1.0602  -1302.3438 -3419303.7255 573.1806
9 1.0802  -1302.3649 -3419359.0419 517.8641
10 1.1003  -1302.3829 -3419406.3021 470.6039
11 1.1203  -1302.3982 -3419446.3831 430.5229
12 1.1403  -1302.4110 -3419480.0768 396.8293
13 1.1603  -1302.4217 -3419508.0952 368.8108
14 1.1804  -1302.4304 -3419531.0771 345.8289
15 1.2004  -1302.4375 -3419549.5955 327.3105
16 1.2204  -1302.4430 -3419564.1660 312.7400
17 1.2404  -1302.4472 -3419575.2549 301.6512
18 1.2605  -1302.4503 -3419583.2865 293.6196
19 1.2805  -1302.4524 -3419588.6514 288.2547
20 1.3005  -1302.4535 -3419591.7207 285.1853
21 1.3205  -1302.4732 -3419643.4518 233.4542
22 1.3406  -1302.4747 -3419647.3594 229.5466
23 1.3606  -1302.4756 -3419649.6774 227.2287
24 1.3806  -1302.4760 -3419650.6213 226.2847
25 1.4006  -1302.4759 -3419650.3843 226.5218
26 1.4207  -1302.4754 -3419649.1353 227.7708
27 1.4407  -1302.4746 -3419647.0286 229.8774
28 1.4607  -1302.4735 -3419644.2002 232.7058
29 1.4807  -1302.4722 -3419640.7722 236.1339
30 1.5008  -1302.4707 -3419636.8529 240.0531
31 1.5208  -1302.4691 -3419632.5388 244.3672
32 1.5408  -1302.4673 -3419627.9152 248.9908
33 1.5608  -1302.4655 -3419623.0571 253.8490
34 1.5809  -1302.4635 -3419618.0312 258.8748
35 1.6009  -1302.4616 -3419612.8963 264.0097
36 1.6209  -1302.4596 -3419607.7041 269.2019
37 1.6409  -1302.4576 -3419602.5003 274.4057
38 1.6610  -1302.4557 -3419597.3260 279.5800
39 1.6810  -1302.4537 -3419592.2172 284.6888
40 1.7010  -1302.4518 -3419587.2065 289.6995
41 1.7210  -1302.4499 -3419582.3237 294.5823
42 1.7411  -1302.4481 -3419577.5955 299.3105
43 1.7611  -1302.4464 -3419573.0470 303.8590
44 1.7811  -1302.4448 -3419568.6936 308.2125
45 1.8011  -1302.4432 -3419564.5563 312.3498
46 1.8212  -1302.4417 -3419560.6552 316.2509
47 1.8412  -1302.4403 -3419557.0164 319.8896
48 1.8612  -1302.4390 -3419553.6901 323.2159
49 1.8812  -1302.4405 -3419557.5450 319.3611
