0 0.9000  -1235.3845 -3243501.8888 1432.0751
1 0.9200  -1235.4474 -3243667.0176 1266.9464
2 0.9401  -1235.5027 -3243812.2981 1121.6659
3 0.9601  -1235.5513 -3243939.8462 994.1178
4 0.9801  -1235.5938 -3244051.5621 882.4019
5 1.0001  -1235.6310 -3244149.1447 784.8193
6 1.0202  -1235.6633 -3244234.1040 699.8600
7 1.0402  -1235.6914 -3244307.7832 626.1808
8 1.0602  -1235.7156 -3244371.3845 562.5795
9 1.0802  -1235.7364 -3244425.9898 507.9741
10 1.1003  -1235.7542 -3244472.5790 461.3850
11 1.1203  -1235.7692 -3244512.1252 421.8388
12 1.1403  -1235.7819 -3244545.2582 388.7057
13 1.1603  -1235.7923 -3244572.7524 361.2116
14 1.1804  -1235.8010 -3244595.6188 338.3451
15 1.2004  -1235.8079 -3244613.6864 320.2776
16 1.2204  -1235.8133 -3244627.9440 306.0200
17 1.2404  -1235.8174 -3244638.7044 295.2596
18 1.2605  -1235.8204 -3244646.3974 287.5666
19 1.2805  -1235.8223 -3244651.4072 282.5568
20 1.3005  -1235.8233 -3244654.0656 279.8983
21 1.3205  -1235.8235 -3244654.6847 279.2792
22 1.3406  -1235.8231 -3244653.5447 280.4193
23 1.3606  -1235.8221 -3244650.8967 283.0673
24 1.3806  -1235.8206 -3244646.9659 286.9981
25 1.4006  -1235.8187 -3244641.9593 292.0047
26 1.4207  -1235.8164 -3244636.0637 297.9003
27 1.4407  -1235.8139 -3244629.4471 304.5169
28 1.4607  -1235.8112 -3244622.2652 311.6988
29 1.4807  -1235.8083 -3244614.6570 319.3070
30 1.5008  -1235.8053 -3244606.7527 327.2112
31 1.5208  -1235.8022 -3244598.6698 335.2942
32 1.5408  -1235.7991 -3244590.5201 343.4438
33 1.5608  -1235.7960 -3244582.4118 351.5522
34 1.5809  -1235.8222 -3244651.1977 282.7663
35 1.6009  -1235.8206 -3244646.9898 286.9742
36 1.6209  -1235.8189 -3244642.6163 291.3477
37 1.6409  -1235.8172 -3244638.1236 295.8404
38 1.6610  -1235.8155 -3244633.5528 300.4111
39 1.6810  -1235.8137 -3244628.9414 305.0226
40 1.7010  -1235.8120 -3244624.3226 309.6413
41 1.7210  -1235.8102 -3244619.7268 314.2372
42 1.7411  -1235.8085 -3244615.1804 318.7836
43 1.7611  -1235.8068 -3244610.7078 323.2562
44 1.7811  -1235.8051 -3244606.3292 327.6348
45 1.8011  -1235.8035 -3244602.0628 331.9012
46 1.8212  -1235.8019 -3244597.9244 336.0396
47 1.8412  -1235.8004 -3244593.9277 340.0363
48 1.8612  -1235.7989 -3244590.0848 343.8792
49 1.8812  -1235.7975 -3244586.4064 347.5576
50 1.9013  -1235.7962 -3244582.9018 351.0622
51 1.9213  -1235.7949 -3244579.5818 354.3822
52 1.9413  -1235.7937 -3244576.4552 357.5087
53 1.9613  -1235.7926 -3244573.5321 360.4319
54 1.9814  -1235.7916 -3244570.8237 363.1403
55 2.0014  -1235.7906 -3244568.3437 365.6203
56 2.0214  -1235.7898 -3244566.1108 367.8532
57 2.0414  -1235.7891 -3244564.1932 369.7708
58 2.0615  -1235.7884 -3244562.5477 371.4163
59 2.0815  -1235.7879 -3244561.2215 372.7424
60 2.1015  -1235.7880 -3244561.2642 372.6998
61 2.1215  -1235.7877 -3244560.6508 373.3132
62 2.1416  -1235.7934 -3244575.4469 358.5170
63 2.1616  -1235.7939 -3244576.8890 357.0750
64 2.1816  -1235.7944 -3244578.3062 355.6578
65 2.2016  -1235.7950 -3244579.8212 354.1427
66 2.2217  -1235.7955 -3244581.1574 352.8066
67 2.2417  -1235.7960 -3244582.4509 351.5131
68 2.2617  -1235.7965 -3244583.7000 350.2639
69 2.2817  -1235.7970 -3244584.9026 349.0614
70 2.3018  -1235.7974 -3244586.0583 347.9056
71 2.3218  -1235.7978 -3244587.1663 346.7977
72 2.3418  -1235.7982 -3244588.2251 345.7389
73 2.3618  -1235.7986 -3244589.2360 344.7280
74 2.3819  -1235.7990 -3244590.1981 343.7659
75 2.4019  -1235.7993 -3244591.1129 342.8511
76 2.4219  -1235.7997 -3244591.9813 341.9826
