0 0.9000  -1040.3448 -2731425.1517 1180.9553
1 0.9100  -1040.3767 -2731509.0376 1097.0695
2 0.9201  -1040.4067 -2731587.8187 1018.2883
3 0.9301  -1040.4349 -2731661.7643 944.3428
4 0.9401  -1040.4613 -2731731.1431 874.9639
5 0.9501  -1040.4861 -2731796.3256 809.7814
6 0.9602  -1040.5094 -2731857.3373 748.7698
7 0.9702  -1040.5311 -2731914.4392 691.6678
8 0.9802  -1040.5515 -2731967.9138 638.1933
9 0.9902  -1040.5705 -2732017.8751 588.2319
10 1.0003  -1040.5883 -2732064.6300 541.4770
11 1.0103  -1040.6049 -2732108.2172 497.8898
12 1.0203  -1040.6204 -2732148.8546 457.2524
13 1.0303  -1040.6348 -2732186.7333 419.3737
14 1.0404  -1040.6482 -2732221.9717 384.1353
15 1.0504  -1040.6607 -2732254.7527 351.3544
16 1.0604  -1040.6723 -2732285.1741 320.9329
17 1.0704  -1040.6831 -2732313.4023 292.7047
18 1.0805  -1040.6930 -2732339.5234 266.5836
19 1.0905  -1040.7022 -2732363.6896 242.4174
20 1.1005  -1040.7107 -2732385.9763 220.1307
21 1.1105  -1040.7185 -2732406.5227 199.5843
22 1.1206  -1040.7257 -2732425.3930 180.7140
23 1.1306  -1040.7323 -2732442.7156 163.3914
24 1.1406  -1040.7384 -2732458.5460 147.5610
25 1.1506  -1040.7439 -2732472.9815 133.1256
26 1.1607  -1040.7489 -2732486.1310 119.9760
27 1.1707  -1040.7534 -2732498.0212 108.0858
28 1.1807  -1040.7575 -2732508.7447 97.3623
29 1.1907  -1040.7611 -2732518.3740 87.7330
30 1.2008  -1040.7644 -2732526.9739 79.1331
31 1.2108  -1040.7673 -2732534.6056 71.5014
32 1.2208  -1040.7699 -2732541.3271 64.7800
33 1.2308  -1040.7721 -2732547.1937 58.9134
34 1.2409  -1040.7740 -2732552.2578 53.8492
35 1.2509  -1040.7757 -2732556.5694 49.5376
36 1.2609  -1040.7771 -2732560.1759 45.9311
37 1.2709  -1040.7782 -2732563.1225 42.9845
38 1.2810  -1040.7791 -2732565.4522 40.6548
39 1.2910  -1040.7797 -2732567.2058 38.9012
40 1.3010  -1040.7802 -2732568.4225 37.6845
41 1.3110  -1040.7805 -2732569.1393 36.9677
42 1.3211  -1040.7806 -2732569.3918 36.7152
43 1.3311  -1040.7805 -2732569.2136 36.8934
44 1.3411  -1040.7803 -2732568.6369 37.4701
45 1.3511  -1040.7799 -2732567.6924 38.4146
46 1.3612  -1040.7794 -2732566.4091 39.6979
47 1.3712  -1040.7788 -2732564.8149 41.2921
48 1.3812  -1040.7781 -2732562.9362 43.1708
49 1.3912  -1040.7773 -2732560.7984 45.3086
50 1.4013  -1040.7764 -2732558.4258 47.6813
51 1.4113  -1040.7754 -2732555.8414 50.2656
52 1.4213  -1040.7744 -2732553.0675 53.0395
53 1.4313  -1040.7732 -2732550.1256 55.9814
54 1.4414  -1040.7946 -2732606.1070 0.0000
55 1.4514  -1040.7942 -2732605.2017 0.9053
56 1.4614  -1040.7938 -2732604.1286 1.9784
57 1.4714  -1040.7933 -2732602.9077 3.1993
58 1.4815  -1040.7928 -2732601.5555 4.5515
59 1.4915  -1040.7923 -2732600.0863 6.0207
60 1.5015  -1040.7917 -2732598.5137 7.5933
61 1.5115  -1040.7910 -2732596.8499 9.2571
62 1.5216  -1040.7904 -2732595.1060 11.0011
63 1.5316  -1040.7897 -2732593.2923 12.8147
64 1.5416  -1040.7890 -2732591.4183 14.6887
65 1.5516  -1040.7882 -2732589.4925 16.6145
66 1.5617  -1040.7875 -2732587.5225 18.5845
67 1.5717  -1040.7867 -2732585.5155 20.5915
68 1.5817  -1040.7859 -2732583.4778 22.6292
69 1.5917  -1040.7852 -2732581.4151 24.6919
70 1.6018  -1040.7844 -2732579.3327 26.7744
71 1.6118  -1040.7838 -2732577.9679 28.1392
72 1.6218  -1040.7830 -2732575.8422 30.2648
73 1.6318  -1040.7822 -2732573.6996 32.4074
74 1.6419  -1040.7814 -2732571.5465 34.5605
75 1.6519  -1040.7806 -2732569.3881 36.7189
76 1.6619  -1040.7797 -2732567.2286 38.8784
77 1.6719  -1040.7789 -2732565.0720 41.0350
78 1.6820  -1040.7781 -2732562.9467 43.1603
79 1.6920  -1040.7773 -2732560.8051 45.3019
80 1.7020  -1040.7765 -2732558.6722 47.4348
81 1.7120  -1040.7757 -2732556.5551 49.5519
82 1.7221  -1040.7749 -2732554.4572 51.6498
83 1.7321  -1040.7741 -2732552.3808 53.7262
84 1.7421  -1040.7733 -2732550.3572 55.7498
85 1.7521  -1040.7726 -2732548.3308 57.7763
86 1.7622  -1040.7718 -2732546.3271 59.7799
87 1.7722  -1040.7710 -2732544.3532 61.7538
88 1.7822  -1040.7703 -2732542.4477 63.6593
89 1.7922  -1040.7696 -2732540.5465 65.5605
90 1.8023  -1040.7689 -2732538.6737 67.4333
91 1.8123  -1040.7682 -2732536.8372 69.2698
92 1.8223  -1040.7675 -2732535.1018 71.0052
93 1.8323  -1040.7668 -2732533.3610 72.7460
94 1.8424  -1040.7662 -2732531.6496 74.4574
95 1.8524  -1040.7656 -2732530.0622 76.0449
96 1.8624  -1040.7650 -2732528.4667 77.6403
97 1.8724  -1040.7644 -2732526.8979 79.2092
98 1.8825  -1040.7639 -2732525.6616 80.4454
99 1.8925  -1040.7634 -2732524.2602 81.8468
100 1.9025  -1040.7629 -2732522.9051 83.2019
101 1.9125  -1040.7624 -2732521.6029 84.5041
102 1.9226  -1040.7619 -2732520.3493 85.7577
103 1.9326  -1040.7614 -2732519.1586 86.9484
104 1.9426  -1040.7611 -2732518.1639 87.9431
105 1.9526  -1040.7607 -2732517.1058 89.0012
106 1.9627  -1040.7603 -2732516.0932 90.0138
107 1.9727  -1040.7599 -2732515.1231 90.9839
108 1.9827  -1040.7596 -2732514.2133 91.8937
109 1.9927  -1040.7592 -2732513.3555 92.7515
110 2.0028  -1040.7589 -2732512.5309 93.5762
111 2.0128  -1040.7586 -2732511.7349 94.3721
112 2.0228  -1040.7584 -2732511.0580 95.0490
113 2.0328  -1040.7581 -2732510.4185 95.6885
114 2.0429  -1040.7579 -2732509.7737 96.3333
115 2.0529  -1040.7576 -2732509.1779 96.9291
116 2.0629  -1040.7574 -2732508.6259 97.4811
117 2.0729  -1040.7572 -2732508.0809 98.0261
118 2.0830  -1040.7570 -2732507.6154 98.4916
119 2.0930  -1040.7569 -2732507.1951 98.9120
120 2.1030  -1040.7567 -2732506.7710 99.3360
121 2.1130  -1040.7566 -2732506.3609 99.7462
122 2.1231  -1040.7564 -2732505.9762 100.1308
123 2.1331  -1040.7563 -2732505.6673 100.4398
124 2.1431  -1040.7562 -2732505.3448 100.7622
125 2.1531  -1040.7561 -2732505.0404 101.0666
126 2.1632  -1040.7560 -2732504.7587 101.3483
127 2.1732  -1040.7559 -2732504.5619 101.5451
128 2.1832  -1040.7558 -2732504.3346 101.7724
129 2.1932  -1040.7557 -2732504.1202 101.9868
130 2.2033  -1040.7556 -2732503.9237 102.1833
131 2.2133  -1040.7556 -2732503.8238 102.2833
132 2.2233  -1040.7555 -2732503.6775 102.4295
133 2.2333  -1040.7555 -2732503.5384 102.5686
134 2.2434  -1040.7554 -2732503.4119 102.6951
135 2.2534  -1040.7554 -2732503.2994 102.8076
136 2.2634  -1040.7554 -2732503.2027 102.9043
137 2.2734  -1040.7554 -2732503.1794 102.9277
138 2.2835  -1040.7553 -2732503.1146 102.9924
139 2.2935  -1040.7553 -2732503.0527 103.0543
140 2.3035  -1040.7553 -2732503.0019 103.1051
141 2.3135  -1040.7553 -2732502.9628 103.1442
142 2.3236  -1040.7553 -2732502.9348 103.1722
143 2.3336  -1040.7553 -2732502.9177 103.1893
144 2.3436  -1040.7553 -2732502.9107 103.1964
145 2.3536  -1040.7553 -2732502.9132 103.1938
146 2.3637  -1040.7553 -2732502.9249 103.1821
147 2.3737  -1040.7553 -2732502.9452 103.1618
148 2.3837  -1040.7624 -2732521.6068 84.5002
149 2.3937  -1040.7626 -2732522.1595 83.9475
150 2.4038  -1040.7628 -2732522.7147 83.3923
151 2.4138  -1040.7630 -2732523.1741 82.9329
152 2.4238  -1040.7631 -2732523.6202 82.4868
153 2.4338  -1040.7633 -2732524.0547 82.0523
154 2.4439  -1040.7635 -2732524.4784 81.6286
155 2.4539  -1040.7636 -2732524.9083 81.1987
156 2.4639  -1040.7638 -2732525.3153 80.7917
157 2.4739  -1040.7639 -2732525.7177 80.3893
158 2.4840  -1040.7641 -2732526.1005 80.0065
159 2.4940  -1040.7642 -2732526.4865 79.6205
160 2.5040  -1040.7644 -2732526.8531 79.2539
161 2.5140  -1040.7645 -2732527.2160 78.8910
162 2.5241  -1040.7646 -2732527.5631 78.5440
163 2.5341  -1040.7648 -2732527.8968 78.2102
164 2.5441  -1040.7649 -2732528.2357 77.8713
