0 0.9000  -621.0005 -1630436.7011 1146.6647
1 0.9100  -621.0325 -1630520.8423 1062.5235
2 0.9201  -621.0626 -1630599.8163 983.5495
3 0.9301  -621.0908 -1630673.9253 909.4405
4 0.9401  -621.1173 -1630743.4231 839.9427
5 0.9501  -621.1421 -1630808.5633 774.8025
6 0.9602  -621.1653 -1630869.5785 713.7873
7 0.9702  -621.1871 -1630926.6968 656.6690
8 0.9802  -621.2074 -1630980.1259 603.2399
9 0.9902  -621.2265 -1631030.0823 553.2836
10 1.0003  -621.2442 -1631076.7257 506.6401
11 1.0103  -621.2608 -1631120.2788 463.0870
12 1.0203  -621.2763 -1631160.8725 422.4933
13 1.0303  -621.2907 -1631198.6916 384.6742
14 1.0404  -621.3041 -1631233.9065 349.4593
15 1.0504  -621.3165 -1631266.3882 316.9776
16 1.0604  -621.3281 -1631297.0000 286.3659
17 1.0704  -621.3388 -1631325.1503 258.2155
18 1.0805  -621.3488 -1631351.2330 232.1328
19 1.0905  -621.3580 -1631375.3210 208.0448
20 1.1005  -621.3664 -1631397.5549 185.8109
21 1.1105  -621.3742 -1631418.0452 165.3206
22 1.1206  -621.3814 -1631436.8386 146.5272
23 1.1306  -621.3880 -1631454.1067 129.2591
24 1.1406  -621.3940 -1631469.8669 113.4989
25 1.1506  -621.3995 -1631484.2675 99.0983
26 1.1607  -621.4044 -1631497.3251 86.0407
27 1.1707  -621.4089 -1631509.1556 74.2102
28 1.1807  -621.4130 -1631519.8320 63.5338
29 1.1907  -621.4166 -1631529.3757 53.9901
30 1.2008  -621.4199 -1631537.9274 45.4384
31 1.2108  -621.4228 -1631545.4808 37.8850
32 1.2208  -621.4253 -1631552.1502 31.2156
33 1.2308  -621.4275 -1631557.9380 25.4278
34 1.2409  -621.4294 -1631562.9172 20.4486
35 1.2509  -621.4310 -1631567.1586 16.2073
36 1.2609  -621.4324 -1631570.6979 12.6680
37 1.2709  -621.4335 -1631573.5647 9.8011
38 1.2810  -621.4343 -1631575.8035 7.5624
39 1.2910  -621.4350 -1631577.4794 5.8864
40 1.3010  -621.4354 -1631578.5979 4.7679
41 1.3110  -621.4356 -1631579.2104 4.1554
