0 0.9000  -866.9326 -2276131.6434 1150.3969
1 0.9100  -866.9647 -2276215.8610 1066.1793
2 0.9201  -866.9948 -2276294.9067 987.1337
3 0.9301  -867.0231 -2276369.0868 912.9535
4 0.9401  -867.0496 -2276438.6703 843.3700
5 0.9501  -867.0744 -2276503.8658 778.1745
6 0.9602  -867.0977 -2276564.9717 717.0686
7 0.9702  -867.1195 -2276622.1491 659.8913
8 0.9802  -867.1398 -2276675.6241 606.4162
9 0.9902  -867.1589 -2276725.6649 556.3755
10 1.0003  -867.1767 -2276772.3867 509.6536
11 1.0103  -867.1933 -2276815.9828 466.0575
12 1.0203  -867.2088 -2276856.6506 425.3898
13 1.0303  -867.2232 -2276894.5268 387.5135
14 1.0404  -867.2366 -2276929.7964 352.2439
15 1.0504  -867.2491 -2276962.5616 319.4787
16 1.0604  -867.2607 -2276992.9913 289.0490
17 1.0704  -867.2714 -2277021.1582 260.8822
18 1.0805  -867.2814 -2277047.3501 234.6902
19 1.0905  -867.2906 -2277071.4904 210.5499
20 1.1005  -867.2991 -2277093.7675 188.2728
21 1.1105  -867.3069 -2277114.3060 167.7343
22 1.1206  -867.3141 -2277133.1496 148.8907
23 1.1306  -867.3207 -2277150.4748 131.5655
24 1.1406  -867.3267 -2277166.2854 115.7549
25 1.1506  -867.3322 -2277180.7023 101.3380
26 1.1607  -867.3372 -2277193.8096 88.2307
27 1.1707  -867.3417 -2277205.6430 76.3973
28 1.1807  -867.3458 -2277216.4060 65.6343
29 1.1907  -867.3495 -2277226.0054 56.0349
30 1.2008  -867.3527 -2277234.5723 47.4680
31 1.2108  -867.3556 -2277242.1688 39.8715
32 1.2208  -867.3582 -2277248.8524 33.1879
33 1.2308  -867.3604 -2277254.6772 27.3631
34 1.2409  -867.3623 -2277259.6881 22.3522
35 1.2509  -867.3639 -2277263.9987 18.0416
36 1.2609  -867.3653 -2277267.5535 14.4869
37 1.2709  -867.3664 -2277270.4435 11.5968
38 1.2810  -867.3672 -2277272.7122 9.3281
39 1.2910  -867.3679 -2277274.4312 7.6091
40 1.3010  -867.3683 -2277275.5855 6.4548
41 1.3110  -867.3686 -2277276.2335 5.8068
42 1.3211  -867.3687 -2277276.4131 5.6272
43 1.3311  -867.3686 -2277276.1577 5.8826
44 1.3411  -867.3683 -2277275.5332 6.5071
45 1.3511  -867.3679 -2277274.5066 7.5337
46 1.3612  -867.3674 -2277273.1330 8.9074
47 1.3712  -867.3668 -2277271.4452 10.5951
48 1.3812  -867.3660 -2277269.4671 12.5733
49 1.3912  -867.3652 -2277267.2576 14.7827
50 1.4013  -867.3642 -2277264.7925 17.2479
51 1.4113  -867.3632 -2277262.0885 19.9518
52 1.4213  -867.3621 -2277259.1851 22.8552
53 1.4313  -867.3609 -2277256.1340 25.9063
54 1.4414  -867.3597 -2277252.9004 29.1399
55 1.4514  -867.3584 -2277249.5515 32.4888
56 1.4614  -867.3571 -2277246.0551 35.9852
57 1.4714  -867.3557 -2277242.4528 39.5875
58 1.4815  -867.3543 -2277238.8114 43.2289
59 1.4915  -867.3529 -2277235.0578 46.9825
60 1.5015  -867.3515 -2277231.2964 50.7439
61 1.5115  -867.3500 -2277227.4440 54.5963
62 1.5216  -867.3485 -2277223.5803 58.4600
63 1.5316  -867.3471 -2277219.7355 62.3048
64 1.5416  -867.3456 -2277215.8428 66.1975
65 1.5516  -867.3441 -2277211.9391 70.1012
66 1.5617  -867.3426 -2277208.0494 73.9909
67 1.5717  -867.3411 -2277204.1806 77.8597
68 1.5817  -867.3708 -2277282.0403 0.0000
69 1.5917  -867.3700 -2277279.9595 2.0808
70 1.6018  -867.3692 -2277277.8212 4.2191
71 1.6118  -867.3684 -2277275.6363 6.4040
72 1.6218  -867.3675 -2277273.4124 8.6279
73 1.6318  -867.3667 -2277271.1552 10.8851
74 1.6419  -867.3658 -2277268.8703 13.1700
75 1.6519  -867.3649 -2277266.5627 15.4776
76 1.6619  -867.3640 -2277264.2371 17.8032
77 1.6719  -867.3631 -2277261.8977 20.1426
78 1.6820  -867.3622 -2277259.5486 22.4917
79 1.6920  -867.3613 -2277257.1935 24.8468
80 1.7020  -867.3604 -2277254.8360 27.2043
81 1.7120  -867.3595 -2277252.4791 29.5612
82 1.7221  -867.3586 -2277250.1262 31.9141
83 1.7321  -867.3578 -2277247.7801 34.2602
84 1.7421  -867.3569 -2277245.4433 36.5970
85 1.7521  -867.3560 -2277243.1182 38.9221
86 1.7622  -867.3551 -2277240.8073 41.2331
87 1.7722  -867.3542 -2277238.5126 43.5277
88 1.7822  -867.3534 -2277236.2365 45.8038
89 1.7922  -867.3525 -2277234.0251 48.0152
90 1.8023  -867.3517 -2277231.7941 50.2462
91 1.8123  -867.3508 -2277229.5810 52.4593
92 1.8223  -867.3500 -2277227.3932 54.6471
93 1.8323  -867.3492 -2277225.2728 56.7675
94 1.8424  -867.3484 -2277223.1489 58.8914
95 1.8524  -867.3476 -2277221.0489 60.9914
96 1.8624  -867.3468 -2277219.0466 62.9937
97 1.8724  -867.3460 -2277217.0317 65.0086
98 1.8825  -867.3453 -2277215.0368 67.0035
99 1.8925  -867.3446 -2277213.1626 68.8777
100 1.9025  -867.3439 -2277211.2881 70.7522
101 1.9125  -867.3431 -2277209.4303 72.6100
102 1.9226  -867.3425 -2277207.6097 74.4306
103 1.9326  -867.3467 -2277218.8852 63.1551
104 1.9426  -867.3463 -2277217.7664 64.2739
105 1.9526  -867.3459 -2277216.6945 65.3458
106 1.9627  -867.3455 -2277215.6620 66.3783
107 1.9727  -867.3451 -2277214.6663 67.3740
108 1.9827  -867.3448 -2277213.7368 68.3035
109 1.9927  -867.3444 -2277212.8296 69.2108
110 2.0028  -867.3441 -2277212.0393 70.0010
111 2.0128  -867.3438 -2277211.2412 70.7991
112 2.0228  -867.3435 -2277210.4741 71.5662
113 2.0328  -867.3433 -2277209.8523 72.1880
114 2.0429  -867.3431 -2277209.2087 72.8316
115 2.0529  -867.3428 -2277208.5908 73.4495
116 2.0629  -867.3426 -2277208.1074 73.9329
117 2.0729  -867.3425 -2277207.6109 74.4294
118 2.0830  -867.3423 -2277207.1364 74.9039
119 2.0930  -867.3421 -2277206.8137 75.2266
120 2.1030  -867.3420 -2277206.4697 75.5706
121 2.1130  -867.3419 -2277206.1420 75.8983
122 2.1231  -867.3476 -2277221.0761 60.9642
123 2.1331  -867.3479 -2277221.8537 60.1866
124 2.1431  -867.3482 -2277222.6314 59.4089
125 2.1531  -867.3485 -2277223.3896 58.6507
126 2.1632  -867.3487 -2277224.1392 57.9011
127 2.1732  -867.3490 -2277224.8783 57.1620
128 2.1832  -867.3493 -2277225.6265 56.4138
129 2.1932  -867.3496 -2277226.3491 55.6912
130 2.2033  -867.3499 -2277227.0605 54.9798
131 2.2133  -867.3501 -2277227.7572 54.2831
132 2.2233  -867.3504 -2277228.4777 53.5626
133 2.2333  -867.3507 -2277229.1607 52.8796
134 2.2434  -867.3509 -2277229.8289 52.2114
135 2.2534  -867.3512 -2277230.5221 51.5182
136 2.2634  -867.3514 -2277231.1733 50.8670
137 2.2734  -867.3517 -2277231.8068 50.2335
138 2.2835  -867.3519 -2277232.4691 49.5713
139 2.2935  -867.3522 -2277233.0870 48.9533
140 2.3035  -867.3524 -2277233.6874 48.3529
141 2.3135  -867.3526 -2277234.3169 47.7234
142 2.3236  -867.3528 -2277234.9001 47.1402
143 2.3336  -867.3531 -2277235.4642 46.5761
144 2.3436  -867.3533 -2277236.0601 45.9803
145 2.3536  -867.3535 -2277236.6080 45.4323
146 2.3637  -867.3537 -2277237.1370 44.9033
147 2.3737  -867.3539 -2277237.6984 44.3419
148 2.3837  -867.3541 -2277238.2109 43.8294
149 2.3937  -867.3543 -2277238.7035 43.3368
150 2.4038  -867.3545 -2277239.2145 42.8258
151 2.4138  -867.3547 -2277239.6991 42.3412
152 2.4238  -867.3549 -2277240.1725 41.8678
153 2.4338  -867.3550 -2277240.6353 41.4050
154 2.4439  -867.3552 -2277241.0873 40.9530
155 2.4539  -867.3554 -2277241.5289 40.5114
156 2.4639  -867.3555 -2277241.9600 40.0803
157 2.4739  -867.3557 -2277242.3807 39.6596
158 2.4840  -867.3559 -2277242.7913 39.2490
159 2.4940  -867.3560 -2277243.1915 38.8488
160 2.5040  -867.3562 -2277243.5819 38.4584
161 2.5140  -867.3563 -2277243.9623 38.0780
162 2.5241  -867.3564 -2277244.3333 37.7070
163 2.5341  -867.3566 -2277244.6945 37.3458
164 2.5441  -867.3567 -2277245.0462 36.9941
165 2.5541  -867.3568 -2277245.3886 36.6517
166 2.5642  -867.3570 -2277245.7220 36.3183
167 2.5742  -867.3577 -2277247.6375 34.4028
168 2.5842  -867.3578 -2277247.9301 34.1102
169 2.5942  -867.3579 -2277248.2111 33.8292
170 2.6043  -867.3580 -2277248.4827 33.5576
171 2.6143  -867.3581 -2277248.7458 33.2945
172 2.6243  -867.3582 -2277249.0008 33.0395
173 2.6343  -867.3583 -2277249.2482 32.7921
174 2.6444  -867.3584 -2277249.4882 32.5521
175 2.6544  -867.3585 -2277249.7211 32.3192
176 2.6644  -867.3586 -2277249.9470 32.0933
177 2.6744  -867.3587 -2277250.1662 31.8741
178 2.6845  -867.3587 -2277250.3789 31.6614
179 2.6945  -867.3588 -2277250.5850 31.4553
