0 0.9000  -569.1287 -1494247.5212 1288.4555
1 0.9100  -569.1616 -1494333.8208 1202.1559
2 0.9201  -569.1925 -1494415.0034 1120.9733
3 0.9301  -569.2216 -1494491.3316 1044.6451
4 0.9401  -569.2489 -1494563.1130 972.8637
5 0.9501  -569.2746 -1494630.5428 905.4339
6 0.9602  -569.2988 -1494693.9120 842.0647
7 0.9702  -569.3214 -1494753.3921 782.5846
8 0.9802  -569.3427 -1494809.2466 726.7301
9 0.9902  -569.3626 -1494861.6251 674.3516
10 1.0003  -569.3814 -1494910.7709 625.2058
11 1.0103  -569.3989 -1494956.8096 579.1671
12 1.0203  -569.4153 -1494999.9344 536.0422
13 1.0303  -569.4307 -1495040.3568 495.6199
14 1.0404  -569.4451 -1495078.1420 457.8347
15 1.0504  -569.4586 -1495113.4693 422.5074
16 1.0604  -569.4711 -1495146.4826 389.4941
17 1.0704  -569.4829 -1495177.3108 358.6659
18 1.0805  -569.4938 -1495206.0752 329.9015
19 1.0905  -569.5041 -1495232.8909 303.0858
20 1.1005  -569.5136 -1495257.8668 278.1099
21 1.1105  -569.5224 -1495281.1061 254.8705
22 1.1206  -569.5306 -1495302.7066 233.2701
23 1.1306  -569.5383 -1495322.7605 213.2162
24 1.1406  -569.5454 -1495341.3556 194.6211
25 1.1506  -569.5519 -1495358.5748 177.4019
26 1.1607  -569.5580 -1495374.5098 161.4669
27 1.1707  -569.5636 -1495389.2207 146.7560
28 1.1807  -569.5688 -1495402.7792 133.1975
29 1.1907  -569.5735 -1495415.2526 120.7241
30 1.2008  -569.5779 -1495426.7044 109.2723
31 1.2108  -569.5819 -1495437.1949 98.7818
32 1.2208  -569.5887 -1495455.1783 80.7984
33 1.2308  -569.5923 -1495464.6746 71.3021
34 1.2409  -569.5956 -1495473.3311 62.6456
35 1.2509  -569.5986 -1495481.2071 54.7696
36 1.2609  -569.6015 -1495488.6683 47.3084
37 1.2709  -569.6040 -1495495.2624 40.7143
38 1.2810  -569.6062 -1495501.1793 34.7974
39 1.2910  -569.6083 -1495506.5485 29.4282
40 1.3010  -569.6101 -1495511.3082 24.6685
41 1.3110  -569.6118 -1495515.7609 20.2158
42 1.3211  -569.6132 -1495519.5444 16.4323
43 1.3311  -569.6145 -1495522.8694 13.1073
44 1.3411  -569.6156 -1495525.7423 10.2344
45 1.3511  -569.6165 -1495528.2023 7.7744
46 1.3612  -569.6173 -1495530.2804 5.6963
47 1.3712  -569.6180 -1495532.0357 3.9410
48 1.3812  -569.6185 -1495533.4092 2.5675
49 1.3912  -569.6189 -1495534.5029 1.4738
50 1.4013  -569.6192 -1495535.2495 0.7272
51 1.4113  -569.6194 -1495535.7643 0.2124
52 1.4213  -569.6195 -1495535.9711 0.0056
53 1.4313  -569.6195 -1495535.9767 0.0000
54 1.4414  -569.6194 -1495535.7033 0.2734
55 1.4514  -569.6192 -1495535.2390 0.7377
56 1.4614  -569.6189 -1495534.5420 1.4347
57 1.4714  -569.6186 -1495533.6767 2.3000
58 1.4815  -569.6182 -1495532.6111 3.3656
59 1.4915  -569.6177 -1495531.3917 4.5850
60 1.5015  -569.6172 -1495530.0073 5.9694
61 1.5115  -569.6166 -1495528.4762 7.5005
62 1.5216  -569.6160 -1495526.8065 9.1702
63 1.5316  -569.6153 -1495524.9875 10.9892
64 1.5416  -569.6146 -1495523.0930 12.8837
65 1.5516  -569.6138 -1495521.0668 14.9099
66 1.5617  -569.6130 -1495518.9467 17.0300
67 1.5717  -569.6122 -1495516.7121 19.2646
68 1.5817  -569.6113 -1495514.4269 21.5498
69 1.5917  -569.6104 -1495512.0484 23.9283
70 1.6018  -569.6095 -1495509.6142 26.3625
71 1.6118  -569.6085 -1495507.1122 28.8645
72 1.6218  -569.6075 -1495504.5504 31.4263
73 1.6318  -569.6065 -1495501.9418 34.0349
74 1.6419  -569.6055 -1495499.2789 36.6977
75 1.6519  -569.6045 -1495496.5968 39.3799
76 1.6619  -569.6035 -1495493.8771 42.0996
77 1.6719  -569.6024 -1495491.0945 44.8822
78 1.6820  -569.6014 -1495488.3529 47.6238
79 1.6920  -569.6003 -1495485.5592 50.4175
80 1.7020  -569.5992 -1495482.7914 53.1853
81 1.7120  -569.5982 -1495480.0039 55.9727
82 1.7221  -569.5971 -1495477.2311 58.7456
83 1.7321  -569.5960 -1495474.4235 61.5532
84 1.7421  -569.5950 -1495471.6832 64.2935
85 1.7521  -569.5939 -1495468.9153 67.0614
86 1.7622  -569.5929 -1495466.2432 69.7335
87 1.7722  -569.5919 -1495463.6060 72.3706
88 1.7822  -569.5909 -1495461.0071 74.9696
89 1.7922  -569.5900 -1495458.4419 77.5347
90 1.8023  -569.5890 -1495455.9107 80.0660
91 1.8123  -569.5881 -1495453.4274 82.5493
92 1.8223  -569.5871 -1495451.0071 84.9696
93 1.8323  -569.5862 -1495448.5919 87.3848
94 1.8424  -569.5853 -1495446.2080 89.7687
95 1.8524  -569.5845 -1495444.0931 91.8836
96 1.8624  -569.5837 -1495441.9027 94.0740
97 1.8724  -569.5828 -1495439.7380 96.2386
98 1.8825  -569.5820 -1495437.6104 98.3663
99 1.8925  -569.5812 -1495435.5275 100.4492
100 1.9025  -569.5808 -1495434.3871 101.5896
101 1.9125  -569.5802 -1495432.6965 103.2802
102 1.9226  -569.5796 -1495431.1275 104.8492
103 1.9326  -569.5790 -1495429.5712 106.4055
104 1.9426  -569.5786 -1495428.5973 107.3794
105 1.9526  -569.5782 -1495427.4656 108.5110
106 1.9627  -569.5778 -1495426.4011 109.5756
107 1.9727  -569.5894 -1495457.0411 78.9356
108 1.9827  -569.5898 -1495458.0763 77.9004
109 1.9927  -569.5902 -1495458.9956 76.9811
110 2.0028  -569.5905 -1495459.8214 76.1553
111 2.0128  -569.5909 -1495460.8346 75.1421
112 2.0228  -569.5912 -1495461.7637 74.2130
113 2.0328  -569.5916 -1495462.6728 73.3039
114 2.0429  -569.5919 -1495463.5883 72.3884
115 2.0529  -569.5923 -1495464.5066 71.4700
116 2.0629  -569.5926 -1495465.4203 70.5564
117 2.0729  -569.5930 -1495466.3324 69.6443
118 2.0830  -569.5933 -1495467.2331 68.7436
119 2.0930  -569.5936 -1495468.1167 67.8600
120 2.1030  -569.5940 -1495468.9847 66.9919
121 2.1130  -569.5943 -1495469.8877 66.0890
122 2.1231  -569.5947 -1495470.7674 65.2093
123 2.1331  -569.5950 -1495471.6197 64.3570
124 2.1431  -569.5953 -1495472.4914 63.4853
