0 0.9000  -1040.3448 -2731425.1499 1180.6122
1 0.9100  -1040.3767 -2731509.0335 1096.7286
2 0.9201  -1040.4067 -2731587.8016 1017.9605
3 0.9301  -1040.4349 -2731661.7937 943.9684
4 0.9401  -1040.4613 -2731731.1830 874.5791
5 0.9501  -1040.4861 -2731796.2183 809.5438
6 0.9602  -1040.5094 -2731857.3470 748.4151
7 0.9702  -1040.5311 -2731914.4803 691.2818
8 0.9802  -1040.5515 -2731967.9301 637.8320
9 0.9902  -1040.5705 -2732017.8930 587.8690
10 1.0003  -1040.5883 -2732064.6074 541.1547
11 1.0103  -1040.6049 -2732108.1807 497.5813
12 1.0203  -1040.6204 -2732148.8561 456.9060
13 1.0303  -1040.6348 -2732186.7215 419.0406
14 1.0404  -1040.6483 -2732221.9807 383.7813
15 1.0504  -1040.6607 -2732254.7413 351.0207
16 1.0604  -1040.6723 -2732285.1832 320.5788
17 1.0704  -1040.6831 -2732313.3915 292.3706
18 1.0805  -1040.6930 -2732339.5325 266.2296
19 1.0905  -1040.7022 -2732363.6812 242.0809
20 1.1005  -1040.7107 -2732385.9855 219.7766
21 1.1105  -1040.7185 -2732406.5150 199.2471
22 1.1206  -1040.7257 -2732425.4019 180.3602
23 1.1306  -1040.7323 -2732442.7075 163.0546
24 1.1406  -1040.7384 -2732458.5535 147.2086
25 1.1506  -1040.7439 -2732472.9919 132.7702
26 1.1607  -1040.7489 -2732486.1155 119.6466
27 1.1707  -1040.7534 -2732498.0287 107.7333
28 1.1807  -1040.7575 -2732508.7555 97.0066
29 1.1907  -1040.7611 -2732518.3830 87.3791
30 1.2008  -1040.7644 -2732526.9812 78.7809
31 1.2108  -1040.7673 -2732534.6115 71.1506
32 1.2208  -1040.7699 -2732541.3319 64.4302
33 1.2308  -1040.7721 -2732547.1977 58.5644
34 1.2409  -1040.7740 -2732552.2612 53.5009
35 1.2509  -1040.7757 -2732556.5723 49.1898
36 1.2609  -1040.7771 -2732560.1784 45.5837
37 1.2709  -1040.7782 -2732563.1246 42.6375
38 1.2810  -1040.7791 -2732565.4540 40.3081
39 1.2910  -1040.7797 -2732567.2074 38.5547
40 1.3010  -1040.7802 -2732568.4238 37.3383
41 1.3110  -1040.7805 -2732569.1406 36.6215
42 1.3211  -1040.7806 -2732569.3928 36.3692
43 1.3311  -1040.7805 -2732569.2145 36.5476
44 1.3411  -1040.7803 -2732568.6378 37.1243
45 1.3511  -1040.7799 -2732567.6931 38.0689
46 1.3612  -1040.7794 -2732566.4098 39.3523
47 1.3712  -1040.7788 -2732564.8155 40.9466
48 1.3812  -1040.7781 -2732562.9368 42.8253
49 1.3912  -1040.7773 -2732560.7990 44.9631
50 1.4013  -1040.7764 -2732558.4262 47.3358
51 1.4113  -1040.7754 -2732555.8418 49.9203
52 1.4213  -1040.7744 -2732553.0679 52.6942
53 1.4313  -1040.7732 -2732550.1260 55.6361
54 1.4414  -1040.7944 -2732605.7621 0.0000
55 1.4514  -1040.7940 -2732604.7644 0.9977
56 1.4614  -1040.7936 -2732603.6081 2.1539
57 1.4714  -1040.7931 -2732602.3283 3.4338
58 1.4815  -1040.7926 -2732600.9073 4.8547
59 1.4915  -1040.7920 -2732599.3961 6.3660
60 1.5015  -1040.7914 -2732597.9511 7.8109
61 1.5115  -1040.7908 -2732596.2801 9.4819
62 1.5216  -1040.7901 -2732594.5176 11.2445
63 1.5316  -1040.7894 -2732592.6769 13.0852
64 1.5416  -1040.7887 -2732590.7715 14.9906
65 1.5516  -1040.7880 -2732588.8414 16.9207
66 1.5617  -1040.7872 -2732586.8417 18.9204
67 1.5717  -1040.7866 -2732585.1413 20.6208
68 1.5817  -1040.7858 -2732583.1115 22.6506
69 1.5917  -1040.7850 -2732581.0434 24.7187
70 1.6018  -1040.7842 -2732578.9450 26.8171
71 1.6118  -1040.7834 -2732576.8232 28.9388
72 1.6218  -1040.7826 -2732574.6838 31.0782
73 1.6318  -1040.7818 -2732572.5323 33.2298
74 1.6419  -1040.7809 -2732570.3735 35.3886
75 1.6519  -1040.7801 -2732568.2120 37.5501
76 1.6619  -1040.7793 -2732566.0516 39.7105
77 1.6719  -1040.7785 -2732563.8965 41.8655
78 1.6820  -1040.7777 -2732561.7500 44.0121
79 1.6920  -1040.7769 -2732559.6723 46.0898
80 1.7020  -1040.7761 -2732557.5586 48.2035
81 1.7120  -1040.7753 -2732555.4528 50.3093
82 1.7221  -1040.7745 -2732553.3665 52.3956
83 1.7321  -1040.7737 -2732551.3041 54.4580
84 1.7421  -1040.7729 -2732549.3363 56.4258
85 1.7521  -1040.7722 -2732547.3423 58.4198
86 1.7622  -1040.7714 -2732545.3648 60.3972
87 1.7722  -1040.7707 -2732543.4173 62.3448
88 1.7822  -1040.7700 -2732541.6018 64.1603
89 1.7922  -1040.7693 -2732539.7552 66.0068
90 1.8023  -1040.7686 -2732537.9246 67.8374
91 1.8123  -1040.7682 -2732536.9336 68.8285
92 1.8223  -1040.7675 -2732535.1889 70.5732
