0 0.9000  -1302.1688 -3418844.0684 1425.0018
1 0.9100  -1302.2009 -3418928.5865 1340.4837
2 0.9201  -1302.2312 -3419007.9354 1261.1348
3 0.9301  -1302.2595 -3419082.3917 1186.6786
4 0.9401  -1302.2861 -3419152.2186 1116.8516
5 0.9501  -1302.3111 -3419217.6723 1051.3979
6 0.9602  -1302.3344 -3419278.9923 990.0779
7 0.9702  -1302.3563 -3419336.4057 932.6646
8 0.9802  -1302.3767 -3419390.1276 878.9426
9 0.9902  -1302.3959 -3419440.3618 828.7085
10 1.0003  -1302.4138 -3419487.3009 781.7693
11 1.0103  -1302.4304 -3419531.1265 737.9437
12 1.0203  -1302.4460 -3419572.0106 697.0596
13 1.0303  -1302.4605 -3419610.1144 658.9558
14 1.0404  -1302.4740 -3419645.5918 623.4784
15 1.0504  -1302.4866 -3419678.5862 590.4840
16 1.0604  -1302.4983 -3419709.2352 559.8350
17 1.0704  -1302.5091 -3419737.6693 531.4010
18 1.0805  -1302.5191 -3419764.0107 505.0595
19 1.0905  -1302.5284 -3419788.3766 480.6936
20 1.1005  -1302.5370 -3419810.8777 458.1925
21 1.1105  -1302.5449 -3419831.6199 437.4504
22 1.1206  -1302.5522 -3419850.7035 418.3667
23 1.1306  -1302.5588 -3419868.2224 400.8478
24 1.1406  -1302.5649 -3419884.2676 384.8026
25 1.1506  -1302.5705 -3419898.9305 370.1397
26 1.1607  -1302.5756 -3419912.2772 356.7930
27 1.1707  -1302.5803 -3419924.5651 344.5051
28 1.1807  -1302.5845 -3419935.5467 333.5235
29 1.1907  -1302.5882 -3419945.4343 323.6359
30 1.2008  -1302.5916 -3419954.3039 314.7663
31 1.2108  -1302.5946 -3419962.1987 306.8715
32 1.2208  -1302.5973 -3419969.1983 299.8719
33 1.2308  -1302.5996 -3419975.3389 293.7313
34 1.2409  -1302.6017 -3419980.6979 288.3723
35 1.2509  -1302.6034 -3419985.3011 283.7691
36 1.2609  -1302.6049 -3419989.2276 279.8426
37 1.2709  -1302.6062 -3419992.4970 276.5732
38 1.2810  -1302.6186 -3420025.0449 244.0253
39 1.2910  -1302.6201 -3420029.0745 239.9957
