0 0.9000  -1235.5029 -3243812.8646 1152.8062
1 0.9100  -1235.5350 -3243897.1728 1068.4980
2 0.9201  -1235.5652 -3243976.3220 989.3488
3 0.9301  -1235.5934 -3244050.5406 915.1303
4 0.9401  -1235.6199 -3244120.1655 845.5054
5 0.9501  -1235.6448 -3244185.4267 780.2441
6 0.9602  -1235.6681 -3244246.5366 719.1342
7 0.9702  -1235.6899 -3244303.7432 661.9276
8 0.9802  -1235.7102 -3244357.2564 608.4144
9 0.9902  -1235.7293 -3244407.2862 558.3846
10 1.0003  -1235.7471 -3244454.0231 511.6477
11 1.0103  -1235.7637 -3244497.6486 468.0222
12 1.0203  -1235.7792 -3244538.3325 427.3384
13 1.0303  -1235.7937 -3244576.2445 389.4264
14 1.0404  -1235.8071 -3244611.5379 354.1329
15 1.0504  -1235.8196 -3244644.3454 321.3255
16 1.0604  -1235.8312 -3244674.8067 290.8641
17 1.0704  -1235.8420 -3244703.0561 262.6147
18 1.0805  -1235.8519 -3244729.2149 236.4560
19 1.0905  -1235.8611 -3244753.3896 212.2812
20 1.1005  -1235.8695 -3244775.4734 190.1974
21 1.1105  -1235.8774 -3244796.0517 169.6191
22 1.1206  -1235.8846 -3244814.9583 150.7126
23 1.1306  -1235.8912 -3244832.2995 133.3714
24 1.1406  -1235.8972 -3244848.1634 117.5074
25 1.1506  -1235.9027 -3244862.6368 103.0340
26 1.1607  -1235.9078 -3244875.8014 89.8694
27 1.1707  -1235.9123 -3244887.7309 77.9399
28 1.1807  -1235.9164 -3244898.4860 67.1849
29 1.1907  -1235.9201 -3244908.1537 57.5172
30 1.2008  -1235.9234 -3244916.7891 48.8817
31 1.2108  -1235.9263 -3244924.4516 41.2192
32 1.2208  -1235.9289 -3244931.2001 34.4707
33 1.2308  -1235.9311 -3244937.1155 28.5553
34 1.2409  -1235.9330 -3244942.2081 23.4627
35 1.2509  -1235.9347 -3244946.5554 19.1154
36 1.2609  -1235.9361 -3244950.1947 15.4761
37 1.2709  -1235.9372 -3244953.1789 12.4919
38 1.2810  -1235.9381 -3244955.5361 10.1348
39 1.2910  -1235.9388 -3244957.3097 8.3612
40 1.3010  -1235.9393 -3244958.5510 7.1198
41 1.3110  -1235.9396 -3244959.2911 6.3797
42 1.3211  -1235.9397 -3244959.5620 6.1088
43 1.3311  -1235.9396 -3244959.4033 6.2675
44 1.3411  -1235.9394 -3244958.8453 6.8255
45 1.3511  -1235.9390 -3244957.9086 7.7622
46 1.3612  -1235.9385 -3244956.6323 9.0386
47 1.3712  -1235.9379 -3244955.0348 10.6360
48 1.3812  -1235.9372 -3244953.1492 12.5216
