0 0.9000  -1154.8781 -3032132.4551 1433.5901
1 0.9100  -1154.9108 -3032218.3967 1347.6485
2 0.9201  -1154.9416 -3032299.1566 1266.8886
3 0.9301  -1154.9705 -3032374.9962 1191.0490
4 0.9401  -1154.9976 -3032446.1722 1119.8730
5 0.9501  -1155.0230 -3032512.9833 1053.0619
6 0.9602  -1155.0469 -3032575.6371 990.4081
7 0.9702  -1155.0693 -3032634.3817 931.6635
8 0.9802  -1155.0902 -3032689.3862 876.6590
9 0.9902  -1155.1099 -3032740.9150 825.1302
10 1.0003  -1155.1282 -3032789.0963 776.9489
11 1.0103  -1155.1454 -3032834.1769 731.8683
12 1.0203  -1155.1614 -3032876.2642 689.7810
13 1.0303  -1155.1764 -3032915.5860 650.4592
14 1.0404  -1155.1903 -3032952.2314 613.8138
15 1.0504  -1155.2034 -3032986.4123 579.6329
16 1.0604  -1155.2155 -3033018.2026 547.8426
17 1.0704  -1155.2267 -3033047.8026 518.2426
18 1.0805  -1155.2372 -3033075.2596 490.7856
19 1.0905  -1155.2469 -3033100.7657 465.2795
20 1.1005  -1155.2559 -3033124.3627 441.6825
21 1.1105  -1155.2642 -3033146.2322 419.8130
22 1.1206  -1155.2719 -3033166.3867 399.6585
23 1.1306  -1155.2790 -3033184.9518 381.0934
24 1.1406  -1155.2855 -3033202.0830 363.9622
25 1.1506  -1155.2915 -3033217.7643 348.2809
26 1.1607  -1155.2969 -3033232.1129 333.9323
27 1.1707  -1155.3020 -3033245.2719 320.7734
28 1.1807  -1155.3065 -3033257.2078 308.8374
29 1.1907  -1155.3106 -3033268.0266 298.0186
30 1.2008  -1155.3143 -3033277.8042 288.2410
31 1.2108  -1155.3177 -3033286.6033 279.4419
32 1.2208  -1155.3207 -3033294.4819 271.5633
33 1.2308  -1155.3234 -3033301.4955 264.5497
34 1.2409  -1155.3257 -3033307.6965 258.3487
35 1.2509  -1155.3278 -3033313.1347 252.9105
36 1.2609  -1155.3296 -3033317.8574 248.1878
37 1.2709  -1155.3311 -3033321.9096 244.1356
38 1.2810  -1155.3324 -3033325.3345 240.7107
39 1.2910  -1155.3335 -3033328.1730 237.8722
40 1.3010  -1155.3344 -3033330.4639 235.5813
41 1.3110  -1155.3351 -3033332.2440 233.8012
42 1.3211  -1155.3356 -3033333.5484 232.4968
43 1.3311  -1155.3359 -3033334.4114 231.6338
44 1.3411  -1155.3361 -3033334.9965 231.0487
45 1.3511  -1155.3362 -3033335.0863 230.9589
46 1.3612  -1155.3361 -3033334.8032 231.2420
47 1.3712  -1155.3358 -3033334.1945 231.8507
48 1.3812  -1155.3355 -3033333.2892 232.7560
49 1.3912  -1155.3350 -3033332.1122 233.9330
50 1.4013  -1155.3345 -3033330.6867 235.3585
51 1.4113  -1155.3348 -3033331.3920 234.6532
52 1.4213  -1155.3341 -3033329.7619 236.2833
53 1.4313  -1155.3335 -3033327.9744 238.0708
54 1.4414  -1155.3327 -3033325.9072 240.1380
55 1.4514  -1155.3318 -3033323.7528 242.2924
56 1.4614  -1155.3310 -3033321.4136 244.6316
57 1.4714  -1155.3301 -3033319.0629 246.9823
58 1.4815  -1155.3291 -3033316.5174 249.5278
59 1.4915  -1155.3353 -3033332.7143 233.3309
60 1.5015  -1155.3344 -3033330.5744 235.4708
61 1.5115  -1155.3336 -3033328.3593 237.6859
62 1.5216  -1155.3341 -3033329.6485 236.3967
63 1.5316  -1155.3332 -3033327.3784 238.6668
64 1.5416  -1155.3323 -3033325.0489 240.9963
65 1.5516  -1155.3314 -3033322.6721 243.3731
66 1.5617  -1155.3305 -3033320.2574 245.7878
67 1.5717  -1155.3296 -3033317.8133 248.2319
68 1.5817  -1155.3286 -3033315.3473 250.6979
69 1.5917  -1155.3277 -3033312.8660 253.1792
70 1.6018  -1155.3267 -3033310.3762 255.6690
71 1.6118  -1155.3258 -3033307.8834 258.1618
72 1.6218  -1155.3248 -3033305.3928 260.6524
73 1.6318  -1155.3239 -3033302.9090 263.1362
74 1.6419  -1155.3230 -3033300.4364 265.6088
75 1.6519  -1155.3220 -3033297.9786 268.0666
76 1.6619  -1155.3211 -3033295.5390 270.5062
77 1.6719  -1155.3202 -3033293.1204 272.9248
78 1.6820  -1155.3193 -3033290.7254 275.3198
79 1.6920  -1155.3184 -3033288.3564 277.6888
80 1.7020  -1155.3175 -3033286.0155 280.0297
81 1.7120  -1155.3166 -3033283.7048 282.3404
82 1.7221  -1155.3158 -3033281.7606 284.2847
83 1.7321  -1155.3150 -3033279.4846 286.5606
84 1.7421  -1155.3141 -3033277.2388 288.8064
85 1.7521  -1155.3133 -3033275.0286 291.0166
86 1.7622  -1155.3125 -3033272.8550 293.1902
87 1.7722  -1155.3116 -3033270.7199 295.3253
88 1.7822  -1155.3108 -3033268.6244 297.4208
89 1.7922  -1155.3101 -3033266.6066 299.4386
90 1.8023  -1155.3093 -3033264.5922 301.4530
91 1.8123  -1155.3086 -3033262.6161 303.4291
92 1.8223  -1155.3078 -3033260.6841 305.3611
93 1.8323  -1155.3071 -3033258.8389 307.2063
94 1.8424  -1155.3064 -3033257.0043 309.0409
95 1.8524  -1155.3057 -3033255.2348 310.8104
96 1.8624  -1155.3051 -3033253.5170 312.5282
97 1.8724  -1155.3045 -3033251.8521 314.1931
98 1.8825  -1155.3038 -3033250.2261 315.8191
99 1.8925  -1155.3032 -3033248.6587 317.3865
100 1.9025  -1155.3027 -3033247.1342 318.9110
101 1.9125  -1155.3021 -3033245.6743 320.3709
102 1.9226  -1155.3016 -3033244.2654 321.7798
103 1.9326  -1155.3011 -3033242.9158 323.1294
104 1.9426  -1155.3006 -3033241.6256 324.4196
105 1.9526  -1155.3001 -3033240.3436 325.7017
106 1.9627  -1155.2996 -3033239.1760 326.8692
107 1.9727  -1155.2992 -3033238.0306 328.0146
108 1.9827  -1155.2988 -3033236.9313 329.1139
109 1.9927  -1155.2984 -3033235.8990 330.1462
110 2.0028  -1155.2980 -3033234.9080 331.1372
111 2.0128  -1155.2976 -3033233.9731 332.0721
112 2.0228  -1155.2973 -3033233.0830 332.9622
113 2.0328  -1155.2970 -3033232.1996 333.8456
114 2.0429  -1155.2967 -3033231.4080 334.6372
115 2.0529  -1155.2964 -3033230.6284 335.4168
116 2.0629  -1155.2961 -3033229.8883 336.1569
117 2.0729  -1155.2958 -3033229.1874 336.8578
118 2.0830  -1155.2956 -3033228.5403 337.5049
119 2.0930  -1155.2953 -3033227.9228 338.1224
120 2.1030  -1155.2951 -3033227.3135 338.7317
121 2.1130  -1155.2949 -3033226.7784 339.2668
122 2.1231  -1155.2947 -3033226.2766 339.7686
123 2.1331  -1155.2945 -3033225.7674 340.2778
124 2.1431  -1155.2943 -3033225.2829 340.7623
125 2.1531  -1155.2942 -3033224.8252 341.2200
126 2.1632  -1155.2940 -3033224.4447 341.6005
127 2.1732  -1155.2939 -3033224.0471 341.9981
128 2.1832  -1155.2937 -3033223.6672 342.3780
129 2.1932  -1155.2936 -3033223.3090 342.7362
130 2.2033  -1155.2935 -3033223.0274 343.0178
131 2.2133  -1155.2934 -3033222.7202 343.3250
132 2.2233  -1155.2932 -3033222.4271 343.6181
133 2.2333  -1155.2931 -3033222.1515 343.8937
134 2.2434  -1155.2930 -3033221.8944 344.1508
135 2.2534  -1155.2930 -3033221.6553 344.3899
136 2.2634  -1155.2929 -3033221.5201 344.5251
137 2.2734  -1155.2928 -3033221.3174 344.7278
138 2.2835  -1155.2928 -3033221.1247 344.9205
139 2.2935  -1155.2927 -3033220.9447 345.1005
140 2.3035  -1155.2926 -3033220.7780 345.2672
141 2.3135  -1155.2926 -3033220.6244 345.4208
142 2.3236  -1155.2925 -3033220.4835 345.5617
143 2.3336  -1155.2925 -3033220.3542 345.6910
144 2.3436  -1155.2924 -3033220.2364 345.8088
145 2.3536  -1155.2924 -3033220.1296 345.9156
146 2.3637  -1155.2923 -3033220.0332 346.0120
147 2.3737  -1155.2923 -3033219.9468 346.0984
148 2.3837  -1155.2923 -3033219.8694 346.1758
149 2.3937  -1155.2922 -3033219.8009 346.2443
150 2.4038  -1155.2922 -3033219.7408 346.3044
151 2.4138  -1155.2922 -3033219.6892 346.3560
152 2.4238  -1155.2922 -3033219.6451 346.4001
153 2.4338  -1155.2922 -3033219.6089 346.4363
154 2.4439  -1155.2922 -3033219.5797 346.4655
155 2.4539  -1155.2922 -3033219.5577 346.4875
156 2.4639  -1155.2922 -3033219.5426 346.5026
157 2.4739  -1155.2998 -3033239.6698 326.3754
158 2.4840  -1155.2999 -3033240.0141 326.0311
159 2.4940  -1155.3001 -3033240.3542 325.6910
160 2.5040  -1155.3002 -3033240.6767 325.3685
161 2.5140  -1155.3003 -3033240.9884 325.0568
162 2.5241  -1155.3004 -3033241.3045 324.7407
163 2.5341  -1155.3006 -3033241.6021 324.4431
164 2.5441  -1155.3007 -3033241.8889 324.1563
165 2.5541  -1155.3008 -3033242.1825 323.8627
166 2.5642  -1155.3009 -3033242.4569 323.5883
167 2.5742  -1155.3010 -3033242.7203 323.3249
168 2.5842  -1155.3011 -3033242.9918 323.0534
