0 0.9000  -735.5466 -1931177.6287 1412.7752
1 0.9100  -735.5788 -1931262.0539 1328.3500
2 0.9201  -735.6089 -1931341.2749 1249.1290
3 0.9301  -735.6373 -1931415.6286 1174.7753
4 0.9401  -735.6638 -1931485.3238 1105.0801
5 0.9501  -735.6887 -1931550.6692 1039.7346
6 0.9602  -735.7120 -1931611.7502 978.6536
7 0.9702  -735.7338 -1931669.1598 921.2441
8 0.9802  -735.7542 -1931722.7511 867.6527
9 0.9902  -735.7733 -1931772.8468 817.5570
10 1.0003  -735.7910 -1931819.2605 771.1434
11 1.0103  -735.8078 -1931863.3153 727.0886
12 1.0203  -735.8233 -1931904.0393 686.3646
13 1.0303  -735.8377 -1931941.9675 648.4364
14 1.0404  -735.8512 -1931977.2800 613.1239
15 1.0504  -735.8637 -1932010.0980 580.3059
16 1.0604  -735.8753 -1932040.5576 549.8463
17 1.0704  -735.8860 -1932068.8131 521.5907
18 1.0805  -735.8960 -1932094.9556 495.4482
19 1.0905  -735.9052 -1932119.1372 471.2667
20 1.1005  -735.9137 -1932141.4346 448.9692
21 1.1105  -735.9215 -1932161.9673 428.4366
22 1.1206  -735.9287 -1932180.8610 409.5429
23 1.1306  -735.9353 -1932198.1494 392.2545
24 1.1406  -735.9413 -1932213.9924 376.4115
25 1.1506  -735.9468 -1932228.4137 361.9902
26 1.1607  -735.9518 -1932241.5397 348.8642
27 1.1707  -735.9564 -1932253.4043 336.9996
28 1.1807  -735.9604 -1932264.1124 326.2915
29 1.1907  -735.9641 -1932273.6940 316.7099
30 1.2008  -735.9673 -1932282.2765 308.1274
31 1.2108  -735.9702 -1932289.8587 300.5452
32 1.2208  -735.9728 -1932296.5461 293.8577
33 1.2308  -735.9750 -1932302.3539 288.0499
34 1.2409  -735.9769 -1932307.3692 283.0346
35 1.2509  -735.9785 -1932311.5740 278.8299
36 1.2609  -735.9799 -1932315.1533 275.2505
37 1.2709  -735.9810 -1932318.0190 272.3849
38 1.2810  -735.9818 -1932320.2629 270.1410
39 1.2910  -735.9824 -1932321.8919 268.5119
40 1.3010  -735.9829 -1932323.0660 267.3378
41 1.3110  -735.9831 -1932323.6788 266.7250
42 1.3211  -735.9832 -1932323.8102 266.5937
43 1.3311  -735.9831 -1932323.5507 266.8532
44 1.3411  -735.9828 -1932322.8504 267.5534
45 1.3511  -735.9824 -1932321.7676 268.6362
46 1.3612  -735.9819 -1932320.3808 270.0231
47 1.3712  -735.9812 -1932318.6408 271.7631
48 1.3812  -735.9804 -1932316.5897 273.8141
49 1.3912  -735.9796 -1932314.3340 276.0699
50 1.4013  -735.9786 -1932311.7898 278.6141
51 1.4113  -735.9775 -1932309.0160 281.3879
52 1.4213  -735.9764 -1932306.0929 284.3110
53 1.4313  -735.9752 -1932302.9477 287.4562
54 1.4414  -735.9740 -1932299.7015 290.7024
55 1.4514  -735.9727 -1932296.2601 294.1438
56 1.4614  -735.9713 -1932292.6828 297.7211
57 1.4714  -735.9699 -1932289.0501 301.3537
58 1.4815  -735.9685 -1932285.2867 305.1172
59 1.4915  -735.9671 -1932281.6173 308.7865
60 1.5015  -735.9656 -1932277.7795 312.6243
61 1.5115  -735.9641 -1932273.8741 316.5298
62 1.5216  -735.9626 -1932269.9147 320.4892
63 1.5316  -735.9612 -1932266.0100 324.3938
64 1.5416  -735.9596 -1932262.0454 328.3585
65 1.5516  -735.9826 -1932322.2170 268.1869
66 1.5617  -735.9817 -1932320.0522 270.3516
67 1.5717  -735.9809 -1932317.8158 272.5881
68 1.5817  -735.9800 -1932315.5231 274.8808
69 1.5917  -735.9791 -1932313.1828 277.2211
70 1.6018  -735.9782 -1932310.8018 279.6020
71 1.6118  -735.9773 -1932308.3865 282.0174
72 1.6218  -735.9764 -1932305.9423 284.4615
73 1.6318  -735.9754 -1932303.4747 286.9292
74 1.6419  -735.9745 -1932300.9884 289.4154
75 1.6519  -735.9735 -1932298.4880 291.9158
76 1.6619  -735.9726 -1932295.9780 294.4259
77 1.6719  -735.9716 -1932293.4622 296.9417
78 1.6820  -735.9707 -1932290.9445 299.4594
79 1.6920  -735.9697 -1932288.4284 301.9755
80 1.7020  -735.9687 -1932285.9172 304.4867
81 1.7120  -735.9678 -1932283.4141 306.9897
