0 0.9000  -981.4396 -2576769.6825 1268.7238
1 0.9100  -981.4726 -2576856.3481 1182.0582
2 0.9201  -981.5036 -2576937.8287 1100.5776
3 0.9301  -981.5328 -2577014.4244 1023.9819
4 0.9401  -981.5602 -2577086.3457 952.0606
5 0.9501  -981.5859 -2577153.8956 884.5107
6 0.9602  -981.6101 -2577217.3041 821.1022
7 0.9702  -981.6327 -2577276.7835 761.6228
8 0.9802  -981.6540 -2577332.5416 705.8647
9 0.9902  -981.6739 -2577384.8170 653.5893
10 1.0003  -981.6925 -2577433.7560 604.6503
11 1.0103  -981.7100 -2577479.5876 558.8187
12 1.0203  -981.7263 -2577522.4435 515.9628
13 1.0303  -981.7416 -2577562.5329 475.8734
14 1.0404  -981.7558 -2577599.9487 438.4576
15 1.0504  -981.7693 -2577635.2510 403.1553
16 1.0604  -981.7817 -2577667.8967 370.5096
17 1.0704  -981.7933 -2577698.3013 340.1050
18 1.0805  -981.8041 -2577726.6351 311.7712
19 1.0905  -981.8141 -2577752.9680 285.4383
20 1.1005  -981.8249 -2577781.3030 257.1033
21 1.1105  -981.8337 -2577804.4161 233.9902
22 1.1206  -981.8425 -2577827.4483 210.9580
23 1.1306  -981.8502 -2577847.7653 190.6410
24 1.1406  -981.8574 -2577866.5889 171.8174
25 1.1506  -981.8640 -2577884.0074 154.3990
26 1.1607  -981.8702 -2577900.1023 138.3040
27 1.1707  -981.8758 -2577914.9501 123.4562
28 1.1807  -981.8810 -2577928.6227 109.7836
29 1.1907  -981.8858 -2577941.1886 97.2177
30 1.2008  -981.8902 -2577952.7128 85.6935
31 1.2108  -981.8942 -2577963.2560 75.1503
32 1.2208  -981.8981 -2577973.4111 64.9952
33 1.2308  -981.9014 -2577982.2252 56.1811
34 1.2409  -981.9045 -2577990.1961 48.2102
35 1.2509  -981.9072 -2577997.3823 41.0240
36 1.2609  -981.9097 -2578003.8336 34.5727
37 1.2709  -981.9119 -2578009.5961 28.8102
38 1.2810  -981.9138 -2578014.7126 23.6937
39 1.2910  -981.9155 -2578019.2237 19.1826
40 1.3010  -981.9170 -2578023.1678 15.2386
41 1.3110  -981.9183 -2578026.5801 11.8262
42 1.3211  -981.9194 -2578029.4946 8.9118
43 1.3311  -981.9204 -2578031.9431 6.4632
44 1.3411  -981.9211 -2578033.9554 4.4509
45 1.3511  -981.9218 -2578035.5598 2.8465
46 1.3612  -981.9222 -2578036.7830 1.6233
47 1.3712  -981.9225 -2578037.6496 0.7567
48 1.3812  -981.9228 -2578038.1834 0.2230
49 1.3912  -981.9228 -2578038.4063 0.0000
50 1.4013  -981.9228 -2578038.3397 0.0667
51 1.4113  -981.9227 -2578038.0030 0.4033
52 1.4213  -981.9225 -2578037.4151 0.9912
53 1.4313  -981.9221 -2578036.5938 1.8125
54 1.4414  -981.9218 -2578035.5562 2.8501
55 1.4514  -981.9213 -2578034.3178 4.0886
56 1.4614  -981.9209 -2578033.2056 5.2007
57 1.4714  -981.9202 -2578031.5863 6.8200
58 1.4815  -981.9196 -2578029.8072 8.5991
59 1.4915  -981.9188 -2578027.8838 10.5225
