0 0.9000  -683.6659 -1794964.7828 1287.1880
1 0.9100  -683.6992 -1795052.2587 1199.7120
2 0.9201  -683.7303 -1795134.0248 1117.9460
3 0.9301  -683.7597 -1795211.0359 1040.9349
4 0.9401  -683.7873 -1795283.5254 968.4453
5 0.9501  -683.8133 -1795351.7412 900.2295
6 0.9602  -683.8377 -1795415.9098 836.0610
7 0.9702  -683.8607 -1795476.2495 775.7213
8 0.9802  -683.8823 -1795532.9691 719.0017
9 0.9902  -683.9026 -1795586.2627 665.7080
10 1.0003  -683.9657 -1795752.0754 499.8954
11 1.0103  -683.9823 -1795795.6392 456.3316
12 1.0203  -683.9978 -1795836.2081 415.7626
13 1.0303  -684.0122 -1795873.9957 377.9751
14 1.0404  -684.0256 -1795909.1606 342.8102
15 1.0504  -684.0380 -1795941.8220 310.1488
16 1.0604  -684.0496 -1795972.1506 279.8201
17 1.0704  -684.0603 -1796000.2465 251.7242
18 1.0805  -684.0702 -1796026.2561 225.7146
19 1.0905  -684.0793 -1796050.2714 201.6993
20 1.1005  -684.0878 -1796072.4217 179.5491
21 1.1105  -684.0955 -1796092.7838 159.1870
22 1.1206  -684.1027 -1796111.5681 140.4026
23 1.1306  -684.1092 -1796128.7236 123.2472
24 1.1406  -684.1152 -1796144.4132 107.5575
25 1.1506  -684.1206 -1796158.6857 93.2850
26 1.1607  -684.1256 -1796171.6727 80.2981
27 1.1707  -684.1300 -1796183.3984 68.5724
28 1.1807  -684.1341 -1796193.9558 58.0149
29 1.1907  -684.1377 -1796203.4088 48.5619
30 1.2008  -684.1409 -1796211.8725 40.0982
31 1.2108  -684.1437 -1796219.3267 32.6440
32 1.2208  -684.1462 -1796225.8657 26.1051
33 1.2308  -684.1484 -1796231.5447 20.4261
34 1.2409  -684.1502 -1796236.4419 15.5289
35 1.2509  -684.1518 -1796240.5646 11.4062
36 1.2609  -684.1531 -1796243.9726 7.9981
37 1.2709  -684.1541 -1796246.7126 5.2581
38 1.2810  -684.1550 -1796248.8699 3.1008
39 1.2910  -684.1556 -1796250.4162 1.5546
40 1.3010  -684.1559 -1796251.4202 0.5506
41 1.3110  -684.1561 -1796251.9187 0.0521
42 1.3211  -684.1561 -1796251.9707 0.0000
43 1.3311  -684.1560 -1796251.5700 0.4008
44 1.3411  -684.1557 -1796250.7589 1.2118
45 1.3511  -684.1552 -1796249.5678 2.4030
46 1.3612  -684.1547 -1796248.0749 3.8959
47 1.3712  -684.1540 -1796246.2305 5.7402
48 1.3812  -684.1531 -1796244.0935 7.8773
49 1.3912  -684.1522 -1796241.6880 10.2828
50 1.4013  -684.1512 -1796239.0684 12.9024
51 1.4113  -684.1501 -1796236.2017 15.7690
52 1.4213  -684.1490 -1796233.1332 18.8376
53 1.4313  -684.1477 -1796229.8855 22.0853
54 1.4414  -684.1464 -1796226.4745 25.4962
55 1.4514  -684.1451 -1796222.9577 29.0130
56 1.4614  -684.1437 -1796219.2849 32.6859
57 1.4714  -684.1423 -1796215.5020 36.4688
58 1.4815  -684.1408 -1796211.6274 40.3434
59 1.4915  -684.1393 -1796207.6715 44.2992
60 1.5015  -684.1378 -1796203.6963 48.2744
61 1.5115  -684.1362 -1796199.6345 52.3362
62 1.5216  -684.1347 -1796195.5336 56.4372
63 1.5316  -684.1331 -1796191.4084 60.5624
64 1.5416  -684.1315 -1796187.2650 64.7057
65 1.5516  -684.1299 -1796183.1751 68.7957
