0 0.9000  -644.3902 -1691846.4713 1139.0013
1 0.9100  -644.4222 -1691930.6077 1054.8650
2 0.9201  -644.4523 -1692009.5825 975.8901
3 0.9301  -644.4805 -1692083.6721 901.8005
4 0.9401  -644.5070 -1692153.1244 832.3483
5 0.9501  -644.5318 -1692218.2391 767.2335
6 0.9602  -644.5550 -1692279.1890 706.2836
7 0.9702  -644.5768 -1692336.2691 649.2035
8 0.9802  -644.5971 -1692389.6461 595.8265
9 0.9902  -644.6161 -1692439.5368 545.9358
10 1.0003  -644.6338 -1692486.0934 499.3793
11 1.0103  -644.6504 -1692529.5955 455.8771
12 1.0203  -644.6658 -1692570.1131 415.3596
13 1.0303  -644.6802 -1692607.8668 377.6058
14 1.0404  -644.6936 -1692642.9698 342.5028
15 1.0504  -644.7060 -1692675.6151 309.8575
16 1.0604  -644.7175 -1692705.8918 279.5808
17 1.0704  -644.7282 -1692733.9729 251.4997
18 1.0805  -644.7381 -1692759.9433 225.5293
19 1.0905  -644.7472 -1692783.8717 201.6010
20 1.1005  -644.7557 -1692806.0938 179.3788
21 1.1105  -644.7635 -1692826.4646 159.0080
22 1.1206  -644.7706 -1692845.1736 140.2990
23 1.1306  -644.7771 -1692862.3374 123.1352
24 1.1406  -644.7831 -1692878.0029 107.4697
25 1.1506  -644.7885 -1692892.2723 93.2003
26 1.1607  -644.7935 -1692905.2481 80.2245
27 1.1707  -644.7979 -1692916.9671 68.5055
28 1.1807  -644.8019 -1692927.5169 57.9557
29 1.1907  -644.8056 -1692936.9885 48.4842
30 1.2008  -644.8088 -1692945.4079 40.0647
31 1.2108  -644.8116 -1692952.8385 32.6342
32 1.2208  -644.8141 -1692959.4075 26.0651
33 1.2308  -644.8163 -1692965.0834 20.3892
34 1.2409  -644.8181 -1692969.9522 15.5204
35 1.2509  -644.8197 -1692974.0922 11.3804
36 1.2609  -644.8210 -1692977.5002 7.9724
37 1.2709  -644.8220 -1692980.2416 5.2310
38 1.2810  -644.8228 -1692982.3830 3.0896
39 1.2910  -644.8234 -1692983.9264 1.5462
40 1.3010  -644.8238 -1692984.9441 0.5286
41 1.3110  -644.8240 -1692985.4439 0.0287
42 1.3211  -644.8240 -1692985.4726 0.0000
43 1.3311  -644.8239 -1692985.0870 0.3856
44 1.3411  -644.8236 -1692984.2791 1.1935
45 1.3511  -644.8231 -1692983.0843 2.3883
46 1.3612  -644.8225 -1692981.5875 3.8852
47 1.3712  -644.8218 -1692979.7436 5.7290
48 1.3812  -644.8210 -1692977.6048 7.8678
49 1.3912  -644.8201 -1692975.2279 10.2448
50 1.4013  -644.8191 -1692972.5831 12.8895
51 1.4113  -644.8180 -1692969.7087 15.7639
52 1.4213  -644.8169 -1692966.6697 18.8029
53 1.4313  -644.8156 -1692963.4331 22.0395
54 1.4414  -644.8143 -1692960.0385 25.4341
55 1.4514  -644.8130 -1692956.4918 28.9808
56 1.4614  -644.8116 -1692952.8099 32.6627
57 1.4714  -644.8102 -1692949.0665 36.4061
58 1.4815  -644.8087 -1692945.2110 40.2616
59 1.4915  -644.8072 -1692941.2660 44.2067
60 1.5015  -644.8057 -1692937.2729 48.1997
61 1.5115  -644.8041 -1692933.2173 52.2554
62 1.5216  -644.8026 -1692929.1435 56.3291
63 1.5316  -644.8010 -1692925.0420 60.4307
64 1.5416  -644.7994 -1692920.9135 64.5591
65 1.5516  -644.7979 -1692916.7731 68.6995
66 1.5617  -644.7963 -1692912.6945 72.7782
67 1.5717  -644.7947 -1692908.6055 76.8671
