0 0.9000  -1350.0394 -3544528.5508 1186.3562
1 0.9100  -1350.0716 -3544612.8741 1102.0329
2 0.9201  -1350.1017 -3544692.0020 1022.9051
3 0.9301  -1350.1300 -3544766.2634 948.6436
4 0.9401  -1350.1565 -3544835.9003 879.0068
5 0.9501  -1350.1814 -3544901.1584 813.7487
6 0.9602  -1350.2046 -3544962.2853 752.6218
7 0.9702  -1350.2264 -3545019.5054 695.4016
8 0.9802  -1350.2468 -3545073.0458 641.8612
9 0.9902  -1350.2659 -3545123.0985 591.8085
10 1.0003  -1350.2837 -3545169.8562 545.0508
11 1.0103  -1350.3003 -3545213.5039 501.4032
12 1.0203  -1350.3158 -3545254.2068 460.7002
13 1.0303  -1350.3303 -3545292.1362 422.7708
14 1.0404  -1350.3437 -3545327.4405 387.4665
15 1.0504  -1350.3562 -3545360.2666 354.6404
16 1.0604  -1350.3678 -3545390.7405 324.1665
17 1.0704  -1350.3786 -3545419.0047 295.9023
18 1.0805  -1350.3886 -3545445.1727 269.7343
19 1.0905  -1350.3978 -3545469.3718 245.5352
20 1.1005  -1350.4063 -3545491.6993 223.2077
21 1.1105  -1350.4141 -3545512.2706 202.6364
22 1.1206  -1350.4213 -3545531.1801 183.7269
23 1.1306  -1350.4279 -3545548.5270 166.3800
24 1.1406  -1350.4340 -3545564.3920 150.5150
25 1.1506  -1350.4395 -3545578.8703 136.0367
26 1.1607  -1350.4445 -3545592.0339 122.8731
27 1.1707  -1350.4490 -3545603.9639 110.9431
28 1.1807  -1350.4531 -3545614.7294 100.1776
29 1.1907  -1350.4568 -3545624.4020 90.5050
30 1.2008  -1350.4601 -3545633.0416 81.8654
31 1.2108  -1350.4630 -3545640.7158 74.1912
32 1.2208  -1350.4656 -3545647.4765 67.4305
33 1.2308  -1350.4679 -3545653.5273 61.3797
34 1.2409  -1350.4699 -3545658.6070 56.3000
35 1.2509  -1350.4715 -3545662.9481 51.9590
36 1.2609  -1350.4729 -3545666.5794 48.3277
37 1.2709  -1350.4740 -3545669.5473 45.3597
