0 0.9000  -1005.4045 -2639689.4148 1263.2281
1 0.9100  -1005.4363 -2639773.1186 1179.5244
2 0.9201  -1005.4664 -2639851.9930 1100.6500
3 0.9301  -1005.4947 -2639926.2461 1026.3968
4 0.9401  -1005.5213 -2639996.1410 956.5020
5 0.9501  -1005.5463 -2640061.8910 890.7520
6 0.9602  -1005.5699 -2640123.7097 828.9332
7 0.9702  -1005.5920 -2640181.8028 770.8401
8 0.9802  -1005.6128 -2640236.3612 716.2818
9 0.9902  -1005.6323 -2640287.5823 665.0606
10 1.0003  -1005.6506 -2640335.6478 616.9952
11 1.0103  -1005.6678 -2640380.6854 571.9576
12 1.0203  -1005.6839 -2640422.9494 529.6936
13 1.0303  -1005.6989 -2640462.4799 490.1631
14 1.0404  -1005.7130 -2640499.5454 453.0976
15 1.0504  -1005.7262 -2640534.1620 418.4810
16 1.0604  -1005.7386 -2640566.5894 386.0535
17 1.0704  -1005.7501 -2640596.8753 355.7676
18 1.0805  -1005.7608 -2640625.1056 327.5373
19 1.0905  -1005.7709 -2640651.4907 301.1523
20 1.1005  -1005.7803 -2640676.1346 276.5084
21 1.1105  -1005.7890 -2640699.0717 253.5713
22 1.1206  -1005.7972 -2640720.4512 232.1917
23 1.1306  -1005.8047 -2640740.3605 212.2824
24 1.1406  -1005.8118 -2640758.8962 193.7468
25 1.1506  -1005.8184 -2640776.1183 176.5247
26 1.1607  -1005.8245 -2640792.1633 160.4796
27 1.1707  -1005.8302 -2640807.1162 145.5267
28 1.1807  -1005.8354 -2640820.9197 131.7233
29 1.1907  -1005.8403 -2640833.7546 118.8884
30 1.2008  -1005.8449 -2640845.7346 106.9083
31 1.2108  -1005.8491 -2640856.6812 95.9617
32 1.2208  -1005.8530 -2640866.9816 85.6613
33 1.2308  -1005.8565 -2640876.3187 76.3243
34 1.2409  -1005.8599 -2640885.0602 67.5828
35 1.2509  -1005.8629 -2640892.9484 59.6945
36 1.2609  -1005.8657 -2640900.2836 52.3594
37 1.2709  -1005.8682 -2640906.8777 45.7653
38 1.2810  -1005.8705 -2640912.8932 39.7498
39 1.2910  -1005.8726 -2640918.3819 34.2611
