0 0.9000  -1244.8748 -3268418.8773 1433.8940
1 0.9100  -1244.9071 -3268503.5215 1349.2498
2 0.9201  -1244.9373 -3268582.9733 1269.7981
3 0.9301  -1244.9657 -3268657.5357 1195.2356
4 0.9401  -1244.9924 -3268727.4763 1125.2950
5 0.9501  -1245.0173 -3268792.9435 1059.8278
6 0.9602  -1245.0407 -3268854.4676 998.3037
7 0.9702  -1245.0627 -3268911.9946 940.7767
8 0.9802  -1245.0831 -3268965.7916 886.9797
9 0.9902  -1245.1023 -3269016.1530 836.6183
10 1.0003  -1245.1202 -3269063.1419 789.6294
11 1.0103  -1245.1370 -3269107.1030 745.6683
12 1.0203  -1245.1526 -3269148.0584 704.7129
13 1.0303  -1245.1671 -3269186.2068 666.5645
14 1.0404  -1245.1807 -3269221.7966 630.9747
15 1.0504  -1245.1932 -3269254.8493 597.9220
16 1.0604  -1245.2049 -3269285.5085 567.2628
17 1.0704  -1245.2158 -3269314.0664 538.7049
18 1.0805  -1245.2258 -3269340.4576 512.3137
19 1.0905  -1245.2351 -3269364.8711 487.9002
20 1.1005  -1245.2437 -3269387.4429 465.3284
21 1.1105  -1245.2517 -3269408.2275 444.5438
22 1.1206  -1245.2589 -3269427.3460 425.4253
23 1.1306  -1245.2656 -3269444.9191 407.8522
24 1.1406  -1245.2718 -3269460.9893 391.7820
25 1.1506  -1245.2773 -3269475.6771 377.0942
26 1.1607  -1245.2824 -3269489.0352 363.7361
27 1.1707  -1245.2871 -3269501.1517 351.6196
28 1.1807  -1245.2912 -3269512.1200 340.6514
29 1.1907  -1245.2950 -3269521.9695 330.8018
30 1.2008  -1245.2983 -3269530.7807 321.9906
31 1.2108  -1245.3013 -3269538.6403 314.1310
32 1.2208  -1245.3040 -3269545.5590 307.2123
33 1.2308  -1245.3063 -3269551.6430 301.1283
34 1.2409  -1245.3083 -3269556.9003 295.8710
35 1.2509  -1245.3100 -3269561.3653 291.4060
36 1.2609  -1245.3114 -3269565.2107 287.5606
37 1.2709  -1245.3126 -3269568.3376 284.4337
38 1.2810  -1245.3136 -3269570.8398 281.9315
39 1.2910  -1245.3143 -3269572.7981 279.9732
40 1.3010  -1245.3149 -3269574.1819 278.5894
