0 0.9000  -825.5329 -2167436.5954 1440.9502
1 0.9100  -825.5649 -2167520.7712 1356.7745
2 0.9201  -825.5951 -2167599.8893 1277.6564
3 0.9301  -825.6233 -2167674.1038 1203.4418
4 0.9401  -825.6499 -2167743.6970 1133.8486
5 0.9501  -825.6747 -2167808.8155 1068.7301
6 0.9602  -825.6980 -2167870.0502 1007.4955
7 0.9702  -825.7198 -2167927.2977 950.2480
8 0.9802  -825.7402 -2167980.8460 896.6997
9 0.9902  -825.7592 -2168030.6835 846.8621
10 1.0003  -825.7771 -2168077.6897 799.8559
11 1.0103  -825.7937 -2168121.3540 756.1916
12 1.0203  -825.8092 -2168162.0856 715.4600
13 1.0303  -825.8237 -2168200.0359 677.5097
14 1.0404  -825.8370 -2168235.0895 642.4561
15 1.0504  -825.8496 -2168268.1963 609.3493
16 1.0604  -825.8612 -2168298.7019 578.8437
17 1.0704  -825.8720 -2168326.9733 550.5723
18 1.0805  -825.8820 -2168353.1655 524.3801
19 1.0905  -825.8912 -2168377.3481 500.1975
20 1.1005  -825.8997 -2168399.7588 477.7868
21 1.1105  -825.9076 -2168420.3453 457.2004
22 1.1206  -825.9148 -2168439.3002 438.2455
23 1.1306  -825.9214 -2168456.6618 420.8838
24 1.1406  -825.9275 -2168472.5618 404.9838
25 1.1506  -825.9330 -2168487.0522 390.4934
26 1.1607  -825.9380 -2168500.1585 377.3872
27 1.1707  -825.9426 -2168512.1892 365.3564
28 1.1807  -825.9467 -2168522.9602 354.5854
29 1.1907  -825.9503 -2168532.6275 344.9181
30 1.2008  -825.9536 -2168541.2801 336.2655
31 1.2108  -825.9566 -2168548.9579 328.5878
32 1.2208  -825.9591 -2168555.6984 321.8473
33 1.2308  -825.9614 -2168561.6220 315.9236
34 1.2409  -825.9633 -2168566.6849 310.8607
35 1.2509  -825.9650 -2168571.0473 306.4983
36 1.2609  -825.9664 -2168574.6629 302.8827
37 1.2709  -825.9675 -2168577.6387 299.9069
38 1.2810  -825.9684 -2168579.9733 297.5723
39 1.2910  -825.9690 -2168581.7039 295.8417
40 1.3010  -825.9695 -2168582.9312 294.6144
41 1.3110  -825.9698 -2168583.6685 293.8771
42 1.3211  -825.9699 -2168583.9049 293.6407
43 1.3311  -825.9698 -2168583.6958 293.8498
44 1.3411  -825.9696 -2168583.1029 294.4427
45 1.3511  -825.9691 -2168581.9477 295.5979
46 1.3612  -825.9687 -2168580.8288 296.7168
47 1.3712  -825.9681 -2168579.1846 298.3610
48 1.3812  -825.9673 -2168577.2625 300.2832
49 1.3912  -825.9665 -2168575.0529 302.4927
50 1.4013  -825.9656 -2168572.6293 304.9163
51 1.4113  -825.9646 -2168569.9591 307.5866
