0 0.9000  -1071.4237 -2813022.8188 1272.9136
1 0.9100  -1071.4549 -2813104.7863 1190.9460
2 0.9201  -1071.4842 -2813181.7917 1113.9407
3 0.9301  -1071.5118 -2813254.3450 1041.3874
4 0.9401  -1071.5378 -2813322.3729 973.3595
5 0.9501  -1071.5622 -2813386.5704 909.1619
6 0.9602  -1071.5852 -2813446.9747 848.7576
7 0.9702  -1071.6085 -2813508.0222 787.7101
8 0.9802  -1071.6307 -2813566.3964 729.3360
9 0.9902  -1071.6566 -2813634.3081 661.4243
10 1.0003  -1071.6756 -2813684.2534 611.4789
11 1.0103  -1071.6931 -2813730.3321 565.4002
12 1.0203  -1071.7096 -2813773.5671 522.1652
13 1.0303  -1071.7250 -2813813.9836 481.7488
14 1.0404  -1071.7394 -2813851.8579 443.8744
15 1.0504  -1071.7529 -2813887.2138 408.5186
16 1.0604  -1071.7655 -2813920.2979 375.4345
17 1.0704  -1071.7772 -2813951.1468 344.5856
18 1.0805  -1071.7882 -2813979.9759 315.7564
19 1.0905  -1071.7984 -2814006.7841 288.9482
20 1.1005  -1071.8080 -2814031.8153 263.9170
21 1.1105  -1071.8168 -2814055.0558 240.6765
22 1.1206  -1071.8250 -2814076.6289 219.1034
23 1.1306  -1071.8327 -2814096.7420 198.9904
24 1.1406  -1071.8398 -2814115.3227 180.4096
25 1.1506  -1071.8464 -2814132.6359 163.0964
26 1.1607  -1071.8524 -2814148.5366 147.1958
27 1.1707  -1071.8580 -2814163.2556 132.4767
28 1.1807  -1071.8632 -2814176.7552 118.9771
29 1.1907  -1071.8679 -2814189.2227 106.5096
30 1.2008  -1071.8723 -2814200.6108 95.1216
31 1.2108  -1071.8763 -2814211.3246 84.4078
32 1.2208  -1071.8800 -2814220.8931 74.8392
33 1.2308  -1071.8833 -2814229.6243 66.1081
34 1.2409  -1071.8863 -2814237.5548 58.1776
35 1.2509  -1071.8891 -2814244.7110 51.0213
36 1.2609  -1071.8915 -2814251.1118 44.6206
37 1.2709  -1071.8937 -2814256.8820 38.8503
38 1.2810  -1071.8968 -2814265.0156 30.7168
39 1.2910  -1071.8987 -2814270.0766 25.6558
40 1.3010  -1071.9004 -2814274.4822 21.2501
41 1.3110  -1071.9019 -2814278.3842 17.3481
42 1.3211  -1071.9032 -2814281.7514 13.9809
43 1.3311  -1071.9043 -2814284.7048 11.0276
44 1.3411  -1071.9052 -2814287.1843 8.5481
45 1.3511  -1071.9060 -2814289.2337 6.4987
46 1.3612  -1071.9067 -2814291.0207 4.7116
47 1.3712  -1071.9072 -2814292.3698 3.3626
48 1.3812  -1071.9079 -2814294.1340 1.5984
