0 0.9000  -773.6757 -2031285.6185 1545.6418
1 0.9100  -773.7106 -2031377.2940 1453.9662
2 0.9201  -773.7399 -2031454.1086 1377.1517
3 0.9301  -773.7674 -2031526.1859 1305.0744
4 0.9401  -773.7932 -2031593.9908 1237.2695
5 0.9501  -773.8174 -2031657.4867 1173.7736
6 0.9602  -773.8401 -2031717.0749 1114.1854
7 0.9702  -773.8613 -2031772.9510 1058.3093
8 0.9802  -773.8813 -2031825.3089 1005.9513
9 0.9902  -773.8999 -2031874.2534 957.0069
10 1.0003  -773.9175 -2031920.3690 910.8913
11 1.0103  -773.9339 -2031963.4134 867.8468
12 1.0203  -773.9492 -2032003.6524 827.6079
13 1.0303  -773.9636 -2032041.3728 789.8875
14 1.0404  -773.9770 -2032076.5638 754.6965
15 1.0504  -773.9896 -2032109.6352 721.6251
16 1.0604  -774.0024 -2032143.4159 687.8444
17 1.0704  -774.0139 -2032173.4734 657.7869
18 1.0805  -774.0248 -2032202.0122 629.2481
19 1.0905  -774.0350 -2032228.8182 602.4421
20 1.1005  -774.0446 -2032254.0362 577.2241
21 1.1105  -774.0536 -2032277.6951 553.5652
22 1.1206  -774.0621 -2032299.9192 531.3411
23 1.1306  -774.0700 -2032320.7391 510.5212
24 1.1406  -774.0774 -2032340.2422 491.0181
25 1.1506  -774.0844 -2032358.4708 472.7895
26 1.1607  -774.0908 -2032375.4990 455.7613
27 1.1707  -774.0969 -2032391.3740 439.8863
28 1.1807  -774.1025 -2032406.1652 425.0951
29 1.1907  -774.1078 -2032419.9195 411.3408
30 1.2008  -774.1126 -2032432.6930 398.5673
31 1.2108  -774.1171 -2032444.5371 386.7232
32 1.2208  -774.1213 -2032455.4983 375.7620
33 1.2308  -774.1252 -2032465.5984 365.6619
34 1.2409  -774.1287 -2032474.9322 356.3281
35 1.2509  -774.1320 -2032483.4829 347.7774
36 1.2609  -774.1350 -2032491.3490 339.9113
37 1.2709  -774.1377 -2032498.5107 332.7496
38 1.2810  -774.1402 -2032505.0611 326.1992
39 1.2910  -774.1424 -2032510.9867 320.2736
40 1.3010  -774.1445 -2032516.2764 314.9839
41 1.3110  -774.1463 -2032521.1819 310.0784
42 1.3211  -774.1480 -2032525.4596 305.8007
43 1.3311  -774.1500 -2032530.7158 300.5445
44 1.3411  -774.1512 -2032533.8854 297.3749
45 1.3511  -774.1522 -2032536.6242 294.6361
46 1.3612  -774.1531 -2032538.9800 292.2803
47 1.3712  -774.1538 -2032540.9226 290.3377
48 1.3812  -774.1545 -2032542.5266 288.7336
49 1.3912  -774.1549 -2032543.7952 287.4651
50 1.4013  -774.1553 -2032544.7132 286.5471
51 1.4113  -774.1555 -2032545.3606 285.8997
52 1.4213  -774.1556 -2032545.6556 285.6047
53 1.4313  -774.1557 -2032545.8006 285.4597
54 1.4414  -774.1556 -2032545.5818 285.6785
55 1.4514  -774.1555 -2032545.2875 285.9727
56 1.4614  -774.1553 -2032544.6916 286.5687
57 1.4714  -774.1550 -2032543.9251 287.3352
58 1.4815  -774.1546 -2032542.9422 288.3180
59 1.4915  -774.1542 -2032541.7992 289.4611
60 1.5015  -774.1537 -2032540.4505 290.8098
61 1.5115  -774.1531 -2032538.9622 292.2981
62 1.5216  -774.1524 -2032537.1621 294.0982
63 1.5316  -774.1518 -2032535.6099 295.6504
64 1.5416  -774.1511 -2032533.7122 297.5481
65 1.5516  -774.1503 -2032531.6966 299.5637
66 1.5617  -774.1495 -2032529.6088 301.6515
67 1.5717  -774.1487 -2032527.3862 303.8741
68 1.5817  -774.1478 -2032525.0533 306.2070
69 1.5917  -774.1469 -2032522.7153 308.5450
70 1.6018  -774.1460 -2032520.2400 311.0203
71 1.6118  -774.1450 -2032517.7059 313.5544
72 1.6218  -774.1440 -2032515.0899 316.1704
73 1.6318  -774.1430 -2032512.4178 318.8425
74 1.6419  -774.1420 -2032509.7004 321.5598
75 1.6519  -774.1409 -2032506.9227 324.3376
76 1.6619  -774.1398 -2032504.0823 327.1780
77 1.6719  -774.1387 -2032501.0603 330.2000
78 1.6820  -774.1376 -2032498.3314 332.9289
79 1.6920  -774.1365 -2032495.3940 335.8663
80 1.7020  -774.1354 -2032492.4252 338.8351
81 1.7120  -774.1342 -2032489.3849 341.8753
82 1.7221  -774.1329 -2032486.0234 345.2369
83 1.7321  -774.1319 -2032483.3991 347.8611
84 1.7421  -774.1308 -2032480.3520 350.9082
85 1.7521  -774.1296 -2032477.2702 353.9901
86 1.7622  -774.1284 -2032474.2259 357.0344
87 1.7722  -774.1273 -2032471.1480 360.1123
88 1.7822  -774.1261 -2032468.0592 363.2011
89 1.7922  -774.1249 -2032464.9840 366.2763
90 1.8023  -774.1237 -2032461.8407 369.4196
