0 0.9000  -734.3486 -1928032.1914 1255.6445
1 0.9100  -734.3799 -1928114.3024 1173.5335
2 0.9201  -734.4090 -1928190.7750 1097.0609
3 0.9301  -734.4366 -1928263.3988 1024.4371
4 0.9401  -734.4624 -1928331.1409 956.6950
5 0.9501  -734.4866 -1928394.5649 893.2711
6 0.9602  -734.5094 -1928454.5095 833.3265
7 0.9702  -734.5307 -1928510.4742 777.3617
8 0.9802  -734.5508 -1928563.0548 724.7811
9 0.9902  -734.5696 -1928612.4208 675.4151
10 1.0003  -734.5872 -1928658.6245 629.2114
11 1.0103  -734.6037 -1928702.0654 585.7705
12 1.0203  -734.6195 -1928743.5144 544.3215
13 1.0303  -734.6343 -1928782.2726 505.5633
14 1.0404  -734.6483 -1928819.1708 468.6652
15 1.0504  -734.6615 -1928853.7902 434.0457
16 1.0604  -734.6738 -1928886.1853 401.6506
17 1.0704  -734.6854 -1928916.6093 371.2266
18 1.0805  -734.6962 -1928944.9744 342.8615
19 1.0905  -734.7064 -1928971.5598 316.2762
20 1.1005  -734.7158 -1928996.3811 291.4548
21 1.1105  -734.7246 -1929019.4827 268.3532
22 1.1206  -734.7329 -1929041.1463 246.6896
23 1.1306  -734.7408 -1929061.9074 225.9285
24 1.1406  -734.7481 -1929081.0743 206.7616
25 1.1506  -734.7583 -1929107.8168 180.0191
26 1.1607  -734.7648 -1929124.9824 162.8535
27 1.1707  -734.7708 -1929140.6259 147.2100
28 1.1807  -734.7763 -1929155.0837 132.7522
29 1.1907  -734.7814 -1929168.5041 119.3318
30 1.2008  -734.7861 -1929180.9290 106.9069
31 1.2108  -734.7905 -1929192.4455 95.3904
32 1.2208  -734.7948 -1929203.6847 84.1512
33 1.2308  -734.7985 -1929213.5543 74.2816
34 1.2409  -734.8020 -1929222.6093 65.2267
35 1.2509  -734.8051 -1929230.8437 56.9923
36 1.2609  -734.8080 -1929238.3509 49.4850
37 1.2709  -734.8106 -1929245.1801 42.6558
38 1.2810  -734.8129 -1929251.3235 36.5124
39 1.2910  -734.8150 -1929256.8764 30.9595
40 1.3010  -734.8169 -1929261.8292 26.0067
41 1.3110  -734.8186 -1929266.2108 21.6251
42 1.3211  -734.8201 -1929270.0921 17.7438
43 1.3311  -734.8214 -1929273.4639 14.3721
44 1.3411  -734.8225 -1929276.3475 11.4884
45 1.3511  -734.8234 -1929278.8779 8.9580
46 1.3612  -734.8243 -1929281.1148 6.7211
47 1.3712  -734.8251 -1929283.2643 4.5717
48 1.3812  -734.8256 -1929284.7196 3.1163
49 1.3912  -734.8261 -1929285.8019 2.0340
50 1.4013  -734.8264 -1929286.6411 1.1949
51 1.4113  -734.8267 -1929287.4922 0.3437
52 1.4213  -734.8268 -1929287.7989 0.0370
53 1.4313  -734.8268 -1929287.8359 0.0000
54 1.4414  -734.8268 -1929287.6508 0.1852
55 1.4514  -734.8266 -1929287.2117 0.6242
56 1.4614  -734.8263 -1929286.5464 1.2895
57 1.4714  -734.8260 -1929285.7338 2.1021
58 1.4815  -734.8256 -1929284.6934 3.1425
59 1.4915  -734.8252 -1929283.5023 4.3336
60 1.5015  -734.8246 -1929281.9846 5.8513
61 1.5115  -734.8241 -1929280.6445 7.1914
62 1.5216  -734.8235 -1929279.0081 8.8278
63 1.5316  -734.8228 -1929277.2145 10.6214
64 1.5416  -734.8220 -1929275.2854 12.5505
65 1.5516  -734.8213 -1929273.2775 14.5585
66 1.5617  -734.8205 -1929271.1232 16.7127
67 1.5717  -734.8196 -1929268.8686 18.9673
68 1.5817  -734.8187 -1929266.5654 21.2705
69 1.5917  -734.8178 -1929264.0602 23.7757
70 1.6018  -734.8169 -1929261.7655 26.0704
71 1.6118  -734.8159 -1929259.2429 28.5930
72 1.6218  -734.8149 -1929256.6340 31.2019
73 1.6318  -734.8139 -1929253.9856 33.8504
74 1.6419  -734.8129 -1929251.2667 36.5692
75 1.6519  -734.8118 -1929248.4638 39.3721
76 1.6619  -734.8108 -1929245.7088 42.1271
77 1.6719  -734.8097 -1929242.8581 44.9778
78 1.6820  -734.8086 -1929239.9723 47.8637
79 1.6920  -734.8075 -1929237.0547 50.7813
80 1.7020  -734.8064 -1929234.1242 53.7117
81 1.7120  -734.8052 -1929231.1555 56.6804
82 1.7221  -734.8041 -1929228.1555 59.6804
83 1.7321  -734.8030 -1929225.1509 62.6850
84 1.7421  -734.8018 -1929222.1174 65.7185
85 1.7521  -734.8006 -1929219.0935 68.7424
86 1.7622  -734.7995 -1929216.0352 71.8008
87 1.7722  -734.7983 -1929213.0028 74.8331
88 1.7822  -734.7972 -1929209.9278 77.9081
89 1.7922  -734.7960 -1929206.8921 80.9438
90 1.8023  -734.7948 -1929203.8027 84.0332
91 1.8123  -734.7937 -1929200.7782 87.0577
92 1.8223  -734.7925 -1929197.6710 90.1649
93 1.8323  -734.7913 -1929194.6803 93.1557
